X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_med_pos,prop_qual_min_govt_unstable,prop_qual_condorcet_winner,prop_strict_min_govt_size,spat_char_corr4,prop_strict_util_from_winner,major_qual_med_pos,prop_strict_unanimity,prop_qual_coalition_size,prop_gallagher_index,tangian_adj_pop_parties,spat_char_corr5,prop_qual_util_eff,major_util_from_max_avg,major_cond_efficiency,prop_strict_nonzero_pos,major_qual_nonzero_pos,major_vse,spat_med_entropy1,prop_strict_util_from_max,major_util_max_elec_rate,major_condorcet_paradox,prop_qual_elec_failed,major_strict_nonzero_pos,major_util_from_max_med,tangian_raw_pop_body,prop_qual_util_from_winner,prop_qual_nonzero_pos,spat_med_entropy3,prop_strict_cond_paradox,prop_qual_min_govt_size,major_strict_med_pos,prop_strict_util_max_elec,spat_med_entropy2,major_util_eff_avg,spat_med_entropy5,spat_avg_entropy2,prop_strict_min_govt_unstable,spat_agg_dist_corr,prop_qual_util_maxer,tangian_raw_uni_parties,prop_qual_single_party_win,tangian_adj_uni_parties,spat_char_corr2,major_util_from_winner_avg,tangian_adj_uni_body,spat_med_entropy4,prop_qual_med_pos,prop_strict_min_govt_elec,prop_qual_unanimity_rate,prop_qual_winner_smith,major_smith_efficiency,spat_avg_entropy5,prop_strict_elec_failed,prop_strict_winner_smith,major_strict_social_util,prop_qual_util_from_max,spat_char_corr3,prop_qual_condorcet_paradox,spat_avg_entropy4,major_qual_social_util,prop_strict_coalition_size,spat_avg_entropy1,prop_strict_condorcet_winner,prop_qual_min_govt_elec,tangian_raw_pop_parties,prop_strict_unanimity_rate,prop_strict_single_party_win,prop_strict_util_eff,tangian_raw_uni_body,prop_qual_unanimity,major_util_eff_med,major_util_from_winner_med,spat_char_corr1,tangian_adj_pop_body,spat_avg_entropy3,major_gallagher_index
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],Bool[0],Bool[0],[0],[0.2327794697942728],[2.2158084480897582e8],[0.0],[20],[1],[0.6791170738539858],[0.20536221999999998],[0.22717950260898176],[0.9394871113291],[4.559526253535606e6],[0.92],[16],[8],[0.996513513147006],[1.5252881238790552e-10],[2.3625029881768134e8],[0.7],[0],Bool[0],[0],[4.547309646068227e6],[0.24281819999999998],[2.2157250121927255e8],[16],[1.1634748868093877e-10],Bool[0],[0],[0.0],Bool[0],[1.85130566954654e-10],[0.9965039141994935],[2.297663246769403e-10],[2.6032098015200287e-10],Bool[0],[0.4137702918762963],Bool[0],[0.0],Bool[1],[0.0],[0.12127259299401072],[4.543629525196773e6],[0.0],[1.8211599136085514e-10],[0.0],Bool[1],[0.4],Bool[0],[0.92],[4.3705597466781615e-10],Bool[0],Bool[0],[4.035211215519649e6],[2.3584410956507125e8],[0.23926453455299582],Bool[0],[2.536873303991013e-10],[4.0794716268411297e6],[1],[1.7422701370877144e-10],Bool[0],Bool[1],[0.20536222],[0.4],Bool[1],[0.9379071515163406],[0.0],[20],[1.0],[4.543753770652251e6],[0.1997642329139469],[0.24281819999999998],[3.356595288249234e-10],[0.07600796368802415]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],Bool[0],Bool[0],[0],[-0.08213691780144165],[2.2212284952840376e8],[0.0],[20],[1],[0.6791170738539858],[0.194988792],[0.186729511312902],[0.9364419906734072],[4.492988334428953e6],[0.86],[16],[9],[0.991667325205927],[1.0415133307689795e-10],[2.375589972255449e8],[0.48],[0],Bool[0],[0],[4.490422086708865e6],[0.2356166],[2.2212101894143617e8],[16],[1.301132158629882e-10],Bool[0],[0],[0.0],Bool[0],[7.645151030421913e-11],[0.9916996819998625],[1.17917727575485e-10],[1.1715355679475685e-10],Bool[0],[0.21767901445052548],Bool[0],[0.0],Bool[1],[0.0],[-0.023809308130236084],[4.455549723784593e6],[0.0],[1.2002492370302222e-10],[0.0],Bool[1],[0.4],Bool[0],[0.86],[2.0418361407325648e-10],Bool[0],Bool[0],[4.165541083666348e6],[2.3719677369626084e8],[0.18054289345759394],Bool[0],[1.8789927503729625e-10],[4.205752095065353e6],[1],[1.7765905964388257e-10],Bool[0],Bool[1],[0.19498879199999997],[0.4],Bool[1],[0.9350218350918292],[0.0],[20],[0.999345685943007],[4.462315406473443e6],[0.22290271620566526],[0.23561660000000004],[1.8451303593335815e-10],[0.09360615603687612]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],Bool[0],Bool[1],[0],[0.3242134935070964],[2.2096009896696964e8],[0.0],[20],[1],[0.6791170738539858],[0.21068010799999995],[0.07599092427971121],[0.9389749086213395],[4.483680691680252e6],[0.96],[14],[14],[0.9951409836224823],[1.1863057269076142e-10],[2.361183644949068e8],[0.54],[0],Bool[0],[0],[4.484295535182588e6],[0.2325322],[2.210079639297396e8],[14],[1.9240088574472595e-10],Bool[0],[0],[0.0],Bool[0],[3.1109522076722666e-10],[0.9951367087514853],[1.46024862205552e-10],[4.980248741382707e-10],Bool[0],[0.39892686671418714],Bool[0],[0.0],Bool[1],[0.0],[0.16393642185477691],[4.461894413767817e6],[0.0],[2.428991774094021e-10],[0.0],Bool[1],[0.4],Bool[1],[0.96],[2.3314415536077936e-10],Bool[0],Bool[0],[4.0032548859779537e6],[2.353715332545329e8],[0.02775658783387186],Bool[0],[5.189719950392384e-10],[4.218013157918766e6],[1],[2.03229894053262e-10],Bool[0],Bool[1],[0.210680108],[0.4],Bool[1],[0.935802259344109],[0.0],[20],[1.0],[4.459750062752573e6],[0.27950420594603326],[0.2325322],[2.255525068051684e-10],[0.12300236303421166]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[-0.5],Bool[0],Bool[0],[0],[0.22091161508419788],[2.2166475192204875e8],[0.0],[20],[1],[0.6791170738539858],[0.20384824800000004],[0.34033396308917413],[0.9429883920769767],[4.543441104606825e6],[0.88],[18],[10],[0.9954651512392131],[1.1003676206736359e-10],[2.3548270362885934e8],[0.54],[0],Bool[0],[0],[4.54908806035056e6],[0.23448439999999998],[2.2166475192204875e8],[18],[2.8277789437062005e-10],Bool[0],[0],[0.0],Bool[0],[1.7055978396660331e-10],[0.9954580880892598],[1.2898028212960814e-10],[2.391550707441879e-10],Bool[0],[0.5168789087149536],Bool[0],[0.0],Bool[1],[0.0],[0.12170205992198391],[4.52283728634389e6],[0.0],[2.3083936759426114e-10],[-0.5],Bool[1],[0.4],Bool[0],[0.88],[1.781104958557572e-10],Bool[0],Bool[0],[4.0400162380942027e6],[2.3506625721428195e8],[0.2978389840568327],Bool[0],[2.5534347123080827e-10],[4.205972017292915e6],[1],[1.3867277865117468e-10],Bool[0],Bool[1],[0.20384824800000004],[0.4],Bool[1],[0.9413207361140679],[0.0],[20],[1.0],[4.536334655385785e6],[0.27075801972199115],[0.23448439999999998],[3.0104594578014773e-10],[0.1704438252093633]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.0],Bool[0],Bool[0],[0],[0.077430599446167],[2.2521155778652486e8],[0.0],[20],[1],[0.6791170738539858],[0.203337332],[0.19203503218710977],[0.9476552721279237],[4.533191757140427e6],[0.72],[17],[6],[0.9916608268727996],[1.45436416593998e-10],[2.3765135319811067e8],[0.36],[0],Bool[0],[0],[4.536272301873429e6],[0.2410716],[2.2521155778652486e8],[17],[1.496621634412927e-10],Bool[0],[0],[0.0],Bool[0],[8.300026147003371e-11],[0.9916902534994111],[1.0097043099176473e-10],[1.840542514292047e-10],Bool[0],[0.11674538686174453],Bool[0],[0.0],Bool[1],[0.0],[0.048567858143859235],[4.495388686258835e6],[0.0],[1.5160439437002773e-10],[0.0],Bool[1],[0.4],Bool[0],[0.72],[1.4170438881227555e-10],Bool[0],Bool[1],[4.289209021405504e6],[2.3765135319811067e8],[0.11806376247137054],Bool[0],[2.247285843133285e-10],[4.214755208645539e6],[1],[2.8917901615075034e-10],Bool[1],Bool[1],[0.20333733199999995],[0.4],Bool[1],[0.9476552721279237],[0.0],[20],[0.9963139894783546],[4.490643054673048e6],[-0.1087666166907781],[0.2410716],[3.3519825004429635e-10],[0.05728765214249928]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.5],Bool[0],Bool[0],[0],[0.17129967196992923],[2.1832674361115304e8],[0.0],[20],[1],[0.6791170738539858],[0.205827488],[0.0005335016503851811],[0.9304101313366557],[4.6150660533357235e6],[0.72],[16],[8],[0.992330609131591],[8.221244530856784e-11],[2.3465645553267795e8],[0.4],[0],Bool[0],[0],[4.619742928891944e6],[0.24106760000000002],[2.183393810151297e8],[16],[1.5684817180114287e-10],Bool[0],[0],[0.0],Bool[0],[7.656992830275754e-11],[0.9923357319303169],[1.8231531227412148e-10],[1.806915640786068e-10],Bool[0],[0.20059218803489232],Bool[0],[0.0],Bool[1],[0.0],[0.07243476886010461],[4.579671307889166e6],[0.0],[1.8300387625771037e-10],[0.5],Bool[1],[0.4],Bool[0],[0.72],[2.48977447832256e-10],Bool[0],Bool[0],[4.245137940391277e6],[2.346700381491511e8],[0.10701157001971451],Bool[0],[2.856391756496685e-10],[4.320603625837546e6],[1],[1.3164645518292164e-10],Bool[0],Bool[1],[0.20582748799999995],[0.4],Bool[1],[0.9304101313366558],[0.0],[20],[0.9947424813692838],[4.582468736559462e6],[0.1512652776855174],[0.24106760000000002],[2.0361613652793925e-10],[0.10178431368339623]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.0],Bool[0],Bool[0],[0],[0.08779215235203276],[2.2598334302012444e8],[0.0],[20],[1],[0.6791170738539858],[0.231280728],[0.25829056237882564],[0.9563751768082258],[4.536643465283516e6],[0.7551020408163265],[14],[6],[0.994672688728814],[1.3966770379612026e-10],[2.362915187471862e8],[0.46],[1],Bool[0],[0],[4.538781270440668e6],[0.24719319999999997],[2.2597144382260138e8],[14],[1.4238207042241006e-10],Bool[0],[0],[0.0],Bool[0],[8.89382828226622e-11],[0.9946768547174958],[7.203344120229844e-11],[2.371788619398152e-10],Bool[0],[0.19270205387287567],Bool[0],[0.0],Bool[1],[0.0],[0.20264090282453237],[4.512475353417559e6],[0.0],[1.2414059555721343e-10],[0.0],Bool[1],[0.4],Bool[0],[0.76],[1.5547545013335696e-10],Bool[0],Bool[0],[4.100368611262177e6],[2.3627907677063602e8],[0.07048666686390799],Bool[0],[1.873254576726725e-10],[4.196032144678542e6],[1],[2.541153088330987e-10],Bool[0],Bool[1],[0.23128072800000005],[0.4],Bool[1],[0.9563751768082259],[0.0],[20],[0.9985063985451688],[4.509546958265641e6],[-0.06450248407313752],[0.24719319999999997],[1.7187289727306073e-10],[0.07658339078416417]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.0],Bool[0],Bool[0],[0],[0.08977931379468575],[2.2190202488032818e8],[0.0],[20],[1],[0.6791170738539858],[0.20394284399999996],[0.11700261358643366],[0.9401713477227011],[4.5158501036120765e6],[0.76],[17],[14],[0.9910444052713129],[1.0849030688814653e-10],[2.3602296051440307e8],[0.46],[0],Bool[0],[0],[4.513387965543865e6],[0.2360094],[2.2188977686196047e8],[17],[5.962665032925722e-11],Bool[0],[0],[0.0],Bool[0],[1.1549672457806978e-10],[0.9910585481009151],[1.586116561161195e-10],[2.2025702510979652e-10],Bool[0],[0.3028078942082112],Bool[0],[0.0],Bool[1],[0.0],[0.05721604585793259],[4.475407980228627e6],[0.0],[2.5232210104978315e-10],[0.0],Bool[1],[0.4],Bool[0],[0.76],[2.0166829048187334e-10],Bool[0],Bool[0],[4.1346347072320874e6],[2.360099330823319e8],[0.09177783674957629],Bool[0],[5.418769537973316e-10],[4.0985043054605727e6],[1],[3.2528207981140427e-10],Bool[0],Bool[1],[0.20394284399999998],[0.4],Bool[1],[0.940171347722701],[0.0],[20],[0.9992685177293705],[4.482391764110757e6],[0.4420555583603827],[0.2360094],[1.7986412526455098e-10],[0.14652091624065144]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[-1.0],Bool[0],Bool[0],[0],[0.13098246596254562],[2.2644826600290617e8],[0.0],[20],[1],[0.6791170738539858],[0.210119704],[0.03331621876380183],[0.953806546192456],[4.6023686450794265e6],[0.62],[16],[7],[0.9907180045138049],[1.5596904489537397e-10],[2.3810453050010082e8],[0.32],[0],Bool[0],[0],[4.602591797988376e6],[0.24992099999999998],[2.2647094343240485e8],[16],[2.891193704792514e-10],Bool[0],[0],[0.0],Bool[0],[1.584131661490437e-10],[0.99074595274157],[3.3763025010086374e-10],[2.263224308455737e-10],Bool[0],[0.07984347661632193],Bool[0],[0.0],Bool[1],[0.0],[-0.032215896962782736],[4.559649480089993e6],[0.0],[8.658541355764085e-11],[-1.0],Bool[1],[0.4],Bool[0],[0.62],[5.716144942198163e-10],Bool[0],Bool[0],[4.1206965614538845e6],[2.374390743452795e8],[0.04233022370856417],Bool[0],[2.1300975969732778e-10],[4.0879425082021714e6],[1],[2.7435726543800556e-10],Bool[0],Bool[1],[0.210119704],[0.4],Bool[1],[0.9510455997090332],[0.0],[20],[0.9950616160619686],[4.561401024218788e6],[-0.018253285250114194],[0.24992099999999998],[4.3257448177767425e-10],[0.1498385035162858]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.0],Bool[0],Bool[0],[0],[0.27927236679939704],[2.1634580963061768e8],[0.0],[20],[1],[0.6791170738539858],[0.211107684],[0.18728192120357945],[0.9265560150426702],[4.59973278093597e6],[0.5],[15],[10],[0.9886160123393629],[1.6179961793841984e-10],[2.334945822143893e8],[0.26],[0],Bool[0],[0],[4.599107695961963e6],[0.24364899999999998],[2.1633024555279708e8],[15],[1.1619823122409454e-10],Bool[0],[0],[0.0],Bool[0],[1.1686743406483345e-10],[0.9886274219146068],[6.631859934394486e-11],[1.6972750434616151e-10],Bool[0],[0.2899425391445506],Bool[0],[0.0],Bool[1],[0.0],[0.0061509274107765105],[4.547369479715567e6],[0.0],[1.5827641599874397e-10],[0.0],Bool[1],[0.4],Bool[0],[0.5],[1.4282823265504156e-10],Bool[0],Bool[0],[4.1635851797928005e6],[2.3347778444116467e8],[0.08050714942283321],Bool[0],[2.7569371567110907e-10],[4.0439740673841303e6],[1],[2.16453302878011e-10],Bool[0],Bool[1],[0.21110768400000002],[0.4],Bool[1],[0.9265560150426702],[0.0],[20],[0.9902229914316146],[4.552274519256932e6],[-0.08183416818337738],[0.24364899999999998],[1.924369528307846e-10],[0.22997531592760123]
