,A,B,G,H,I,E,X,Y,Z,C,D,F,J,K,N,L,M
17550,L2,L3,L3,L3,L1,L1,L2,L2,L2,C1_1,D1_1,F1_1,L1,L1,N1_1,L_1,M_1
17551,L2,L3,L3,L3,L1,L1,L2,L2,L2,C1_1,D1_1,F1_1,L1,L2,N1_1,L_1,M_1
17552,L2,L3,L3,L3,L1,L1,L2,L2,L2,C1_1,D1_1,F1_1,L1,L3,N1_1,L_1,M_1
17553,L2,L3,L3,L3,L1,L1,L2,L2,L2,C1_1,D1_1,F1_1,L2,L1,N1_1,L_1,M_1
17554,L2,L3,L3,L3,L1,L1,L2,L2,L2,C1_1,D1_1,F1_1,L2,L2,N1_1,L_1,M_1
17555,L2,L3,L3,L3,L1,L1,L2,L2,L2,C1_1,D1_1,F1_1,L2,L3,N1_1,L_1,M_1
17556,L2,L3,L3,L3,L1,L1,L2,L2,L2,C1_1,D1_1,F1_1,L3,L1,N1_1,L_1,M_1
17557,L2,L3,L3,L3,L1,L1,L2,L2,L2,C1_1,D1_1,F1_1,L3,L2,N1_1,L_1,M_1
17558,L2,L3,L3,L3,L1,L1,L2,L2,L2,C1_1,D1_1,F1_1,L3,L3,N1_1,L_1,M_1
17559,L2,L3,L3,L3,L1,L1,L2,L2,L2,C1_1,D1_1,F1_1,L1,L1,N1_1,L_1,M_2
17560,L2,L3,L3,L3,L1,L1,L2,L2,L2,C1_1,D1_1,F1_1,L1,L2,N1_1,L_1,M_2
17561,L2,L3,L3,L3,L1,L1,L2,L2,L2,C1_1,D1_1,F1_1,L1,L3,N1_1,L_1,M_2
17562,L2,L3,L3,L3,L1,L1,L2,L2,L2,C1_1,D1_1,F1_1,L2,L1,N1_1,L_1,M_2
17563,L2,L3,L3,L3,L1,L1,L2,L2,L2,C1_1,D1_1,F1_1,L2,L2,N1_1,L_1,M_2
17564,L2,L3,L3,L3,L1,L1,L2,L2,L2,C1_1,D1_1,F1_1,L2,L3,N1_1,L_1,M_2
17565,L2,L3,L3,L3,L1,L1,L2,L2,L2,C1_1,D1_1,F1_1,L3,L1,N1_1,L_1,M_2
17566,L2,L3,L3,L3,L1,L1,L2,L2,L2,C1_1,D1_1,F1_1,L3,L2,N1_1,L_1,M_2
