,A,B,G,H,I,E,X,Y,Z,C,D,F,J,K,N,L,M
0,L2,L3,L2,L3,L2,L3,L2,L2,L1,C3_1,D3_1,F3_1,L1,L1,,,
1,L2,L3,L2,L3,L2,L3,L2,L2,L1,C3_1,D3_1,F3_1,L1,L2,,,
2,L2,L3,L2,L3,L2,L3,L2,L2,L1,C3_1,D3_1,F3_1,L1,L3,,,
3,L2,L3,L2,L3,L2,L3,L2,L2,L1,C3_1,D3_1,F3_1,L2,L1,,,
4,L2,L3,L2,L3,L2,L3,L2,L2,L1,C3_1,D3_1,F3_1,L2,L2,,,
5,L2,L3,L2,L3,L2,L3,L2,L2,L1,C3_1,D3_1,F3_1,L2,L3,,,
6,L2,L3,L2,L3,L2,L3,L2,L2,L1,C3_1,D3_1,F3_1,L3,L1,,,
7,L2,L3,L2,L3,L2,L3,L2,L2,L1,C3_1,D3_1,F3_1,L3,L2,,,
8,L2,L3,L2,L3,L2,L3,L2,L2,L1,C3_1,D3_1,F3_1,L3,L3,,,
9,L2,L3,L2,L3,L2,L3,L2,L2,L1,C3_1,D3_1,F3_2,L1,L1,,,
10,L2,L3,L2,L3,L2,L3,L2,L2,L1,C3_1,D3_1,F3_2,L1,L2,,,
11,L2,L3,L2,L3,L2,L3,L2,L2,L1,C3_1,D3_1,F3_2,L1,L3,,,
12,L2,L3,L2,L3,L2,L3,L2,L2,L1,C3_1,D3_1,F3_2,L2,L1,,,
13,L2,L3,L2,L3,L2,L3,L2,L2,L1,C3_1,D3_1,F3_2,L2,L2,,,
14,L2,L3,L2,L3,L2,L3,L2,L2,L1,C3_1,D3_1,F3_2,L2,L3,,,
15,L2,L3,L2,L3,L2,L3,L2,L2,L1,C3_1,D3_1,F3_2,L3,L1,,,
16,L2,L3,L2,L3,L2,L3,L2,L2,L1,C3_1,D3_1,F3_2,L3,L2,,,
17,L2,L3,L2,L3,L2,L3,L2,L2,L1,C3_1,D3_1,F3_2,L3,L3,,,
