,A,B,G,H,I,E,X,Y,Z,C,D,F,J,K,N,L,M
1485,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_1,D1_1,F1_1,,,,,
1486,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_1,D1_1,F1_2,,,,,
1487,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_1,D1_1,F1_3,,,,,
1488,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_1,D1_2,F1_1,,,,,
1489,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_1,D1_2,F1_2,,,,,
1490,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_1,D1_2,F1_3,,,,,
1491,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_1,D1_3,F1_1,,,,,
1492,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_1,D1_3,F1_2,,,,,
1493,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_1,D1_3,F1_3,,,,,
1494,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_2,D1_1,F1_1,,,,,
1495,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_2,D1_1,F1_2,,,,,
1496,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_2,D1_1,F1_3,,,,,
1497,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_2,D1_2,F1_1,,,,,
1498,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_2,D1_2,F1_2,,,,,
1499,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_2,D1_2,F1_3,,,,,
1500,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_2,D1_3,F1_1,,,,,
1501,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_2,D1_3,F1_2,,,,,
1502,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_2,D1_3,F1_3,,,,,
1503,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_3,D1_1,F1_1,,,,,
1504,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_3,D1_1,F1_2,,,,,
1505,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_3,D1_1,F1_3,,,,,
1506,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_3,D1_2,F1_1,,,,,
1507,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_3,D1_2,F1_2,,,,,
1508,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_3,D1_2,F1_3,,,,,
1509,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_3,D1_3,F1_1,,,,,
1510,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_3,D1_3,F1_2,,,,,
1511,L3,L2,L1,L3,L2,L1,L1,L1,L1,C1_3,D1_3,F1_3,,,,,
40581,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_1,D1_1,F1_1,,,,,
40582,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_1,D1_1,F1_2,,,,,
40583,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_1,D1_1,F1_3,,,,,
40584,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_1,D1_2,F1_1,,,,,
40585,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_1,D1_2,F1_2,,,,,
40586,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_1,D1_2,F1_3,,,,,
40587,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_1,D1_3,F1_1,,,,,
40588,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_1,D1_3,F1_2,,,,,
40589,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_1,D1_3,F1_3,,,,,
40590,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_2,D1_1,F1_1,,,,,
40591,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_2,D1_1,F1_2,,,,,
40592,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_2,D1_1,F1_3,,,,,
40593,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_2,D1_2,F1_1,,,,,
40594,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_2,D1_2,F1_2,,,,,
40595,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_2,D1_2,F1_3,,,,,
40596,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_2,D1_3,F1_1,,,,,
40597,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_2,D1_3,F1_2,,,,,
40598,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_2,D1_3,F1_3,,,,,
40599,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_3,D1_1,F1_1,,,,,
40600,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_3,D1_1,F1_2,,,,,
40601,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_3,D1_1,F1_3,,,,,
40602,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_3,D1_2,F1_1,,,,,
40603,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_3,D1_2,F1_2,,,,,
40604,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_3,D1_2,F1_3,,,,,
40605,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_3,D1_3,F1_1,,,,,
40606,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_3,D1_3,F1_2,,,,,
40607,L1,L2,L3,L1,L2,L1,L1,L1,L1,C1_3,D1_3,F1_3,,,,,
44091,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_1,D1_1,F1_1,,,,,
44092,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_1,D1_1,F1_2,,,,,
44093,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_1,D1_1,F1_3,,,,,
44094,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_1,D1_2,F1_1,,,,,
44095,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_1,D1_2,F1_2,,,,,
44096,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_1,D1_2,F1_3,,,,,
44097,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_1,D1_3,F1_1,,,,,
44098,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_1,D1_3,F1_2,,,,,
44099,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_1,D1_3,F1_3,,,,,
44100,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_2,D1_1,F1_1,,,,,
44101,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_2,D1_1,F1_2,,,,,
44102,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_2,D1_1,F1_3,,,,,
44103,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_2,D1_2,F1_1,,,,,
44104,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_2,D1_2,F1_2,,,,,
44105,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_2,D1_2,F1_3,,,,,
44106,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_2,D1_3,F1_1,,,,,
44107,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_2,D1_3,F1_2,,,,,
44108,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_2,D1_3,F1_3,,,,,
44109,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_3,D1_1,F1_1,,,,,
44110,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_3,D1_1,F1_2,,,,,
44111,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_3,D1_1,F1_3,,,,,
44112,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_3,D1_2,F1_1,,,,,
44113,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_3,D1_2,F1_2,,,,,
44114,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_3,D1_2,F1_3,,,,,
44115,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_3,D1_3,F1_1,,,,,
44116,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_3,D1_3,F1_2,,,,,
44117,L1,L2,L1,L3,L3,L1,L1,L1,L1,C1_3,D1_3,F1_3,,,,,
74412,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_1,D1_1,F1_1,,,,,
74413,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_1,D1_1,F1_2,,,,,
74414,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_1,D1_1,F1_3,,,,,
74415,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_1,D1_2,F1_1,,,,,
74416,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_1,D1_2,F1_2,,,,,
74417,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_1,D1_2,F1_3,,,,,
74418,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_1,D1_3,F1_1,,,,,
74419,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_1,D1_3,F1_2,,,,,
74420,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_1,D1_3,F1_3,,,,,
74421,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_2,D1_1,F1_1,,,,,
74422,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_2,D1_1,F1_2,,,,,
74423,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_2,D1_1,F1_3,,,,,
74424,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_2,D1_2,F1_1,,,,,
74425,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_2,D1_2,F1_2,,,,,
74426,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_2,D1_2,F1_3,,,,,
74427,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_2,D1_3,F1_1,,,,,
74428,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_2,D1_3,F1_2,,,,,
74429,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_2,D1_3,F1_3,,,,,
74430,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_3,D1_1,F1_1,,,,,
74431,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_3,D1_1,F1_2,,,,,
74432,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_3,D1_1,F1_3,,,,,
74433,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_3,D1_2,F1_1,,,,,
74434,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_3,D1_2,F1_2,,,,,
74435,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_3,D1_2,F1_3,,,,,
74436,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_3,D1_3,F1_1,,,,,
74437,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_3,D1_3,F1_2,,,,,
74438,L2,L1,L3,L1,L1,L1,L1,L1,L1,C1_3,D1_3,F1_3,,,,,
