,A,B,G,H,I,E,X,Y,Z,C,D,F,J,K,N,L,M
34641,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_1,L1,L1,,,
34642,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_1,L1,L2,,,
34643,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_1,L1,L3,,,
34644,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_1,L2,L1,,,
34645,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_1,L2,L2,,,
34646,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_1,L2,L3,,,
34647,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_1,L3,L1,,,
34648,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_1,L3,L2,,,
34649,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_1,L3,L3,,,
34650,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_2,L1,L1,,,
34651,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_2,L1,L2,,,
34652,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_2,L1,L3,,,
34653,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_2,L2,L1,,,
34654,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_2,L2,L2,,,
34655,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_2,L2,L3,,,
34656,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_2,L3,L1,,,
34657,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_2,L3,L2,,,
34658,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_2,L3,L3,,,
34659,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_3,L1,L1,,,
34660,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_3,L1,L2,,,
34661,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_3,L1,L3,,,
34662,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_3,L2,L1,,,
34663,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_3,L2,L2,,,
34664,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_3,L2,L3,,,
34665,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_3,L3,L1,,,
34666,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_3,L3,L2,,,
34667,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_1,F1_3,L3,L3,,,
34668,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_1,L1,L1,,,
34669,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_1,L1,L2,,,
34670,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_1,L1,L3,,,
34671,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_1,L2,L1,,,
34672,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_1,L2,L2,,,
34673,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_1,L2,L3,,,
34674,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_1,L3,L1,,,
34675,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_1,L3,L2,,,
34676,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_1,L3,L3,,,
34677,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_2,L1,L1,,,
34678,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_2,L1,L2,,,
34679,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_2,L1,L3,,,
34680,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_2,L2,L1,,,
34681,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_2,L2,L2,,,
34682,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_2,L2,L3,,,
34683,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_2,L3,L1,,,
34684,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_2,L3,L2,,,
34685,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_2,L3,L3,,,
34686,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_3,L1,L1,,,
34687,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_3,L1,L2,,,
34688,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_3,L1,L3,,,
34689,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_3,L2,L1,,,
34690,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_3,L2,L2,,,
34691,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_3,L2,L3,,,
34692,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_3,L3,L1,,,
34693,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_3,L3,L2,,,
34694,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_2,F1_3,L3,L3,,,
34695,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_3,F1_1,L1,L1,,,
34696,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_3,F1_1,L1,L2,,,
34697,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_3,F1_1,L1,L3,,,
34698,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_3,F1_1,L2,L1,,,
34699,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_3,F1_1,L2,L2,,,
34700,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_3,F1_1,L2,L3,,,
34701,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_3,F1_1,L3,L1,,,
34702,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_3,F1_1,L3,L2,,,
34703,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_3,F1_1,L3,L3,,,
34704,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_3,F1_2,L1,L1,,,
34705,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_3,F1_2,L1,L2,,,
34706,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_3,F1_2,L1,L3,,,
34707,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_3,F1_2,L2,L1,,,
34708,L3,L2,L3,L1,L2,L1,L2,L2,L1,C1_1,D1_3,F1_2,L2,L2,,,
