,A,B,G,H,I,E,X,Y,Z,C,D,F,J,K,N,L,M
1215,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_1,D2_1,F2_1,,,,,
1216,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_1,D2_1,F2_2,,,,,
1217,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_1,D2_1,F2_3,,,,,
1218,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_1,D2_2,F2_1,,,,,
1219,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_1,D2_2,F2_2,,,,,
1220,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_1,D2_2,F2_3,,,,,
1221,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_1,D2_3,F2_1,,,,,
1222,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_1,D2_3,F2_2,,,,,
1223,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_1,D2_3,F2_3,,,,,
1224,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_2,D2_1,F2_1,,,,,
1225,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_2,D2_1,F2_2,,,,,
1226,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_2,D2_1,F2_3,,,,,
1227,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_2,D2_2,F2_1,,,,,
1228,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_2,D2_2,F2_2,,,,,
1229,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_2,D2_2,F2_3,,,,,
1230,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_2,D2_3,F2_1,,,,,
1231,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_2,D2_3,F2_2,,,,,
1232,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_2,D2_3,F2_3,,,,,
1233,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_3,D2_1,F2_1,,,,,
1234,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_3,D2_1,F2_2,,,,,
1235,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_3,D2_1,F2_3,,,,,
1236,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_3,D2_2,F2_1,,,,,
1237,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_3,D2_2,F2_2,,,,,
1238,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_3,D2_2,F2_3,,,,,
1239,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_3,D2_3,F2_1,,,,,
1240,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_3,D2_3,F2_2,,,,,
1241,L3,L3,L2,L1,L1,L2,L1,L1,L1,C2_3,D2_3,F2_3,,,,,
37071,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_1,D2_1,F2_1,,,,,
37072,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_1,D2_1,F2_2,,,,,
37073,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_1,D2_1,F2_3,,,,,
37074,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_1,D2_2,F2_1,,,,,
37075,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_1,D2_2,F2_2,,,,,
37076,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_1,D2_2,F2_3,,,,,
37077,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_1,D2_3,F2_1,,,,,
37078,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_1,D2_3,F2_2,,,,,
37079,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_1,D2_3,F2_3,,,,,
37080,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_2,D2_1,F2_1,,,,,
37081,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_2,D2_1,F2_2,,,,,
37082,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_2,D2_1,F2_3,,,,,
37083,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_2,D2_2,F2_1,,,,,
37084,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_2,D2_2,F2_2,,,,,
37085,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_2,D2_2,F2_3,,,,,
37086,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_2,D2_3,F2_1,,,,,
37087,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_2,D2_3,F2_2,,,,,
37088,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_2,D2_3,F2_3,,,,,
37089,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_3,D2_1,F2_1,,,,,
37090,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_3,D2_1,F2_2,,,,,
37091,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_3,D2_1,F2_3,,,,,
37092,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_3,D2_2,F2_1,,,,,
37093,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_3,D2_2,F2_2,,,,,
37094,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_3,D2_2,F2_3,,,,,
37095,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_3,D2_3,F2_1,,,,,
37096,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_3,D2_3,F2_2,,,,,
37097,L2,L3,L3,L1,L3,L2,L1,L1,L1,C2_3,D2_3,F2_3,,,,,
66906,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_1,D2_1,F2_1,,,,,
66907,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_1,D2_1,F2_2,,,,,
66908,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_1,D2_1,F2_3,,,,,
66909,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_1,D2_2,F2_1,,,,,
66910,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_1,D2_2,F2_2,,,,,
66911,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_1,D2_2,F2_3,,,,,
66912,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_1,D2_3,F2_1,,,,,
66913,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_1,D2_3,F2_2,,,,,
66914,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_1,D2_3,F2_3,,,,,
66915,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_2,D2_1,F2_1,,,,,
66916,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_2,D2_1,F2_2,,,,,
66917,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_2,D2_1,F2_3,,,,,
66918,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_2,D2_2,F2_1,,,,,
66919,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_2,D2_2,F2_2,,,,,
66920,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_2,D2_2,F2_3,,,,,
66921,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_2,D2_3,F2_1,,,,,
66922,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_2,D2_3,F2_2,,,,,
66923,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_2,D2_3,F2_3,,,,,
66924,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_3,D2_1,F2_1,,,,,
66925,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_3,D2_1,F2_2,,,,,
66926,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_3,D2_1,F2_3,,,,,
66927,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_3,D2_2,F2_1,,,,,
66928,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_3,D2_2,F2_2,,,,,
66929,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_3,D2_2,F2_3,,,,,
66930,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_3,D2_3,F2_1,,,,,
66931,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_3,D2_3,F2_2,,,,,
66932,L2,L1,L1,L3,L3,L2,L1,L1,L1,C2_3,D2_3,F2_3,,,,,
87912,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_1,D2_1,F2_1,,,,,
87913,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_1,D2_1,F2_2,,,,,
87914,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_1,D2_1,F2_3,,,,,
87915,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_1,D2_2,F2_1,,,,,
87916,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_1,D2_2,F2_2,,,,,
87917,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_1,D2_2,F2_3,,,,,
87918,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_1,D2_3,F2_1,,,,,
87919,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_1,D2_3,F2_2,,,,,
87920,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_1,D2_3,F2_3,,,,,
87921,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_2,D2_1,F2_1,,,,,
87922,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_2,D2_1,F2_2,,,,,
87923,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_2,D2_1,F2_3,,,,,
87924,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_2,D2_2,F2_1,,,,,
87925,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_2,D2_2,F2_2,,,,,
87926,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_2,D2_2,F2_3,,,,,
87927,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_2,D2_3,F2_1,,,,,
87928,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_2,D2_3,F2_2,,,,,
87929,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_2,D2_3,F2_3,,,,,
87930,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_3,D2_1,F2_1,,,,,
87931,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_3,D2_1,F2_2,,,,,
87932,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_3,D2_1,F2_3,,,,,
87933,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_3,D2_2,F2_1,,,,,
87934,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_3,D2_2,F2_2,,,,,
87935,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_3,D2_2,F2_3,,,,,
87936,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_3,D2_3,F2_1,,,,,
87937,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_3,D2_3,F2_2,,,,,
87938,L1,L2,L2,L3,L1,L2,L1,L1,L1,C2_3,D2_3,F2_3,,,,,
106029,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_1,D2_1,F2_1,,,,,
106030,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_1,D2_1,F2_2,,,,,
106031,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_1,D2_1,F2_3,,,,,
106032,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_1,D2_2,F2_1,,,,,
106033,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_1,D2_2,F2_2,,,,,
106034,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_1,D2_2,F2_3,,,,,
106035,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_1,D2_3,F2_1,,,,,
106036,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_1,D2_3,F2_2,,,,,
106037,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_1,D2_3,F2_3,,,,,
106038,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_2,D2_1,F2_1,,,,,
106039,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_2,D2_1,F2_2,,,,,
106040,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_2,D2_1,F2_3,,,,,
106041,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_2,D2_2,F2_1,,,,,
106042,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_2,D2_2,F2_2,,,,,
106043,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_2,D2_2,F2_3,,,,,
106044,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_2,D2_3,F2_1,,,,,
106045,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_2,D2_3,F2_2,,,,,
106046,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_2,D2_3,F2_3,,,,,
106047,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_3,D2_1,F2_1,,,,,
106048,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_3,D2_1,F2_2,,,,,
106049,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_3,D2_1,F2_3,,,,,
106050,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_3,D2_2,F2_1,,,,,
106051,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_3,D2_2,F2_2,,,,,
106052,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_3,D2_2,F2_3,,,,,
106053,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_3,D2_3,F2_1,,,,,
106054,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_3,D2_3,F2_2,,,,,
106055,L1,L2,L3,L2,L1,L2,L1,L1,L1,C2_3,D2_3,F2_3,,,,,
134271,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_1,D2_1,F2_1,,,,,
134272,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_1,D2_1,F2_2,,,,,
134273,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_1,D2_1,F2_3,,,,,
134274,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_1,D2_2,F2_1,,,,,
134275,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_1,D2_2,F2_2,,,,,
134276,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_1,D2_2,F2_3,,,,,
134277,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_1,D2_3,F2_1,,,,,
134278,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_1,D2_3,F2_2,,,,,
134279,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_1,D2_3,F2_3,,,,,
134280,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_2,D2_1,F2_1,,,,,
134281,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_2,D2_1,F2_2,,,,,
134282,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_2,D2_1,F2_3,,,,,
134283,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_2,D2_2,F2_1,,,,,
134284,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_2,D2_2,F2_2,,,,,
134285,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_2,D2_2,F2_3,,,,,
134286,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_2,D2_3,F2_1,,,,,
134287,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_2,D2_3,F2_2,,,,,
134288,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_2,D2_3,F2_3,,,,,
134289,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_3,D2_1,F2_1,,,,,
134290,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_3,D2_1,F2_2,,,,,
134291,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_3,D2_1,F2_3,,,,,
134292,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_3,D2_2,F2_1,,,,,
134293,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_3,D2_2,F2_2,,,,,
134294,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_3,D2_2,F2_3,,,,,
134295,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_3,D2_3,F2_1,,,,,
134296,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_3,D2_3,F2_2,,,,,
134297,L3,L1,L2,L2,L2,L2,L1,L1,L1,C2_3,D2_3,F2_3,,,,,
140130,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_1,D2_1,F2_1,,,,,
140131,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_1,D2_1,F2_2,,,,,
140132,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_1,D2_1,F2_3,,,,,
140133,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_1,D2_2,F2_1,,,,,
140134,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_1,D2_2,F2_2,,,,,
140135,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_1,D2_2,F2_3,,,,,
140136,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_1,D2_3,F2_1,,,,,
140137,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_1,D2_3,F2_2,,,,,
140138,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_1,D2_3,F2_3,,,,,
140139,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_2,D2_1,F2_1,,,,,
140140,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_2,D2_1,F2_2,,,,,
140141,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_2,D2_1,F2_3,,,,,
140142,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_2,D2_2,F2_1,,,,,
140143,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_2,D2_2,F2_2,,,,,
140144,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_2,D2_2,F2_3,,,,,
140145,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_2,D2_3,F2_1,,,,,
140146,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_2,D2_3,F2_2,,,,,
140147,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_2,D2_3,F2_3,,,,,
140148,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_3,D2_1,F2_1,,,,,
140149,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_3,D2_1,F2_2,,,,,
140150,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_3,D2_1,F2_3,,,,,
140151,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_3,D2_2,F2_1,,,,,
140152,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_3,D2_2,F2_2,,,,,
140153,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_3,D2_2,F2_3,,,,,
140154,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_3,D2_3,F2_1,,,,,
140155,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_3,D2_3,F2_2,,,,,
140156,L3,L3,L2,L3,L3,L2,L1,L1,L1,C2_3,D2_3,F2_3,,,,,
157977,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_1,D2_1,F2_1,,,,,
157978,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_1,D2_1,F2_2,,,,,
157979,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_1,D2_1,F2_3,,,,,
157980,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_1,D2_2,F2_1,,,,,
157981,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_1,D2_2,F2_2,,,,,
157982,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_1,D2_2,F2_3,,,,,
157983,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_1,D2_3,F2_1,,,,,
157984,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_1,D2_3,F2_2,,,,,
157985,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_1,D2_3,F2_3,,,,,
157986,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_2,D2_1,F2_1,,,,,
157987,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_2,D2_1,F2_2,,,,,
157988,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_2,D2_1,F2_3,,,,,
157989,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_2,D2_2,F2_1,,,,,
157990,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_2,D2_2,F2_2,,,,,
157991,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_2,D2_2,F2_3,,,,,
157992,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_2,D2_3,F2_1,,,,,
157993,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_2,D2_3,F2_2,,,,,
157994,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_2,D2_3,F2_3,,,,,
157995,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_3,D2_1,F2_1,,,,,
157996,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_3,D2_1,F2_2,,,,,
157997,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_3,D2_1,F2_3,,,,,
157998,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_3,D2_2,F2_1,,,,,
157999,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_3,D2_2,F2_2,,,,,
158000,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_3,D2_2,F2_3,,,,,
158001,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_3,D2_3,F2_1,,,,,
158002,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_3,D2_3,F2_2,,,,,
158003,L3,L1,L3,L3,L1,L2,L1,L1,L1,C2_3,D2_3,F2_3,,,,,
161676,L1,L3,L3,L3,L3,L2,L1,L1,L1,C2_1,D2_1,F2_1,,,,,
