,A,B,G,H,I,E,X,Y,Z,C,D,F,J,K,N,L,M
10665,L2,L3,L3,L2,L3,L2,L2,L1,L2,C2_1,D2_1,F2_1,L1,,N2_1,L_1,M_1
10666,L2,L3,L3,L2,L3,L2,L2,L1,L2,C2_1,D2_1,F2_1,L2,,N2_1,L_1,M_1
10667,L2,L3,L3,L2,L3,L2,L2,L1,L2,C2_1,D2_1,F2_1,L3,,N2_1,L_1,M_1
10668,L2,L3,L3,L2,L3,L2,L2,L1,L2,C2_1,D2_1,F2_1,L1,,N2_1,L_1,M_2
10669,L2,L3,L3,L2,L3,L2,L2,L1,L2,C2_1,D2_1,F2_1,L2,,N2_1,L_1,M_2
10670,L2,L3,L3,L2,L3,L2,L2,L1,L2,C2_1,D2_1,F2_1,L3,,N2_1,L_1,M_2
10671,L2,L3,L3,L2,L3,L2,L2,L1,L2,C2_1,D2_1,F2_1,L1,,N2_1,L_2,M_1
10672,L2,L3,L3,L2,L3,L2,L2,L1,L2,C2_1,D2_1,F2_1,L2,,N2_1,L_2,M_1
10673,L2,L3,L3,L2,L3,L2,L2,L1,L2,C2_1,D2_1,F2_1,L3,,N2_1,L_2,M_1
10674,L2,L3,L3,L2,L3,L2,L2,L1,L2,C2_1,D2_1,F2_1,L1,,N2_1,L_2,M_2
10675,L2,L3,L3,L2,L3,L2,L2,L1,L2,C2_1,D2_1,F2_1,L2,,N2_1,L_2,M_2
10676,L2,L3,L3,L2,L3,L2,L2,L1,L2,C2_1,D2_1,F2_1,L3,,N2_1,L_2,M_2
10677,L2,L3,L3,L2,L3,L2,L2,L1,L2,C2_1,D2_1,F2_1,L1,,N2_1,L_3,M_1
10678,L2,L3,L3,L2,L3,L2,L2,L1,L2,C2_1,D2_1,F2_1,L2,,N2_1,L_3,M_1
10679,L2,L3,L3,L2,L3,L2,L2,L1,L2,C2_1,D2_1,F2_1,L3,,N2_1,L_3,M_1
10680,L2,L3,L3,L2,L3,L2,L2,L1,L2,C2_1,D2_1,F2_1,L1,,N2_1,L_3,M_2
10681,L2,L3,L3,L2,L3,L2,L2,L1,L2,C2_1,D2_1,F2_1,L2,,N2_1,L_3,M_2
10682,L2,L3,L3,L2,L3,L2,L2,L1,L2,C2_1,D2_1,F2_1,L3,,N2_1,L_3,M_2
10683,L2,L3,L3,L2,L3,L2,L2,L1,L2,C2_1,D2_1,F2_1,L1,,N2_2,L_1,M_1
10684,L2,L3,L3,L2,L3,L2,L2,L1,L2,C2_1,D2_1,F2_1,L2,,N2_2,L_1,M_1
