,A,B,G,H,I,E,X,Y,Z,C,D,F,J,K,N,L,M
13014,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L1,,N1_1,L_1,M_1
13015,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L2,,N1_1,L_1,M_1
13016,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L3,,N1_1,L_1,M_1
13017,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L1,,N1_1,L_1,M_2
13018,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L2,,N1_1,L_1,M_2
13019,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L3,,N1_1,L_1,M_2
13020,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L1,,N1_1,L_2,M_1
13021,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L2,,N1_1,L_2,M_1
13022,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L3,,N1_1,L_2,M_1
13023,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L1,,N1_1,L_2,M_2
13024,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L2,,N1_1,L_2,M_2
13025,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L3,,N1_1,L_2,M_2
13026,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L1,,N1_1,L_3,M_1
13027,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L2,,N1_1,L_3,M_1
13028,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L3,,N1_1,L_3,M_1
13029,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L1,,N1_1,L_3,M_2
13030,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L2,,N1_1,L_3,M_2
13031,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L3,,N1_1,L_3,M_2
13032,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L1,,N1_2,L_1,M_1
13033,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L2,,N1_2,L_1,M_1
13034,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L3,,N1_2,L_1,M_1
13035,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L1,,N1_2,L_1,M_2
13036,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L2,,N1_2,L_1,M_2
13037,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L3,,N1_2,L_1,M_2
13038,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L1,,N1_2,L_2,M_1
13039,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L2,,N1_2,L_2,M_1
13040,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L3,,N1_2,L_2,M_1
13041,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L1,,N1_2,L_2,M_2
13042,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L2,,N1_2,L_2,M_2
13043,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L3,,N1_2,L_2,M_2
13044,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L1,,N1_2,L_3,M_1
13045,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L2,,N1_2,L_3,M_1
13046,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L3,,N1_2,L_3,M_1
13047,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L1,,N1_2,L_3,M_2
13048,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L2,,N1_2,L_3,M_2
13049,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_1,L3,,N1_2,L_3,M_2
13050,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L1,,N1_1,L_1,M_1
13051,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L2,,N1_1,L_1,M_1
13052,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L3,,N1_1,L_1,M_1
13053,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L1,,N1_1,L_1,M_2
13054,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L2,,N1_1,L_1,M_2
13055,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L3,,N1_1,L_1,M_2
13056,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L1,,N1_1,L_2,M_1
13057,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L2,,N1_1,L_2,M_1
13058,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L3,,N1_1,L_2,M_1
13059,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L1,,N1_1,L_2,M_2
13060,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L2,,N1_1,L_2,M_2
13061,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L3,,N1_1,L_2,M_2
13062,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L1,,N1_1,L_3,M_1
13063,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L2,,N1_1,L_3,M_1
13064,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L3,,N1_1,L_3,M_1
13065,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L1,,N1_1,L_3,M_2
13066,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L2,,N1_1,L_3,M_2
13067,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L3,,N1_1,L_3,M_2
13068,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L1,,N1_2,L_1,M_1
13069,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L2,,N1_2,L_1,M_1
13070,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L3,,N1_2,L_1,M_1
13071,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L1,,N1_2,L_1,M_2
13072,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L2,,N1_2,L_1,M_2
13073,L1,L1,L1,L3,L1,L1,L2,L1,L2,C1_1,D1_1,F1_2,L3,,N1_2,L_1,M_2
