,A,B,G,H,I,E,X,Y,Z,C,D,F,J,K,N,L,M
20466,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_1,,,N1_1,L_1,M_1
20467,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_1,,,N1_1,L_1,M_2
20468,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_1,,,N1_1,L_2,M_1
20469,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_1,,,N1_1,L_2,M_2
20470,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_1,,,N1_1,L_3,M_1
20471,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_1,,,N1_1,L_3,M_2
20472,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_1,,,N1_2,L_1,M_1
20473,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_1,,,N1_2,L_1,M_2
20474,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_1,,,N1_2,L_2,M_1
20475,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_1,,,N1_2,L_2,M_2
20476,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_1,,,N1_2,L_3,M_1
20477,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_1,,,N1_2,L_3,M_2
20478,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_2,,,N1_1,L_1,M_1
20479,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_2,,,N1_1,L_1,M_2
20480,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_2,,,N1_1,L_2,M_1
20481,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_2,,,N1_1,L_2,M_2
20482,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_2,,,N1_1,L_3,M_1
20483,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_2,,,N1_1,L_3,M_2
20484,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_2,,,N1_2,L_1,M_1
20485,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_2,,,N1_2,L_1,M_2
20486,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_2,,,N1_2,L_2,M_1
20487,L2,L2,L1,L2,L1,L1,L1,L1,L2,C1_1,D1_1,F1_2,,,N1_2,L_2,M_2
