,A,B,G,H,I,E,X,Y,Z,C,D,F,J,K,N,L,M
46386,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_1,D3_1,F3_1,,,,,
46387,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_1,D3_1,F3_2,,,,,
46388,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_1,D3_1,F3_3,,,,,
46389,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_1,D3_2,F3_1,,,,,
46390,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_1,D3_2,F3_2,,,,,
46391,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_1,D3_2,F3_3,,,,,
46392,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_1,D3_3,F3_1,,,,,
46393,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_1,D3_3,F3_2,,,,,
46394,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_1,D3_3,F3_3,,,,,
46395,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_2,D3_1,F3_1,,,,,
46396,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_2,D3_1,F3_2,,,,,
46397,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_2,D3_1,F3_3,,,,,
46398,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_2,D3_2,F3_1,,,,,
46399,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_2,D3_2,F3_2,,,,,
46400,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_2,D3_2,F3_3,,,,,
46401,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_2,D3_3,F3_1,,,,,
46402,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_2,D3_3,F3_2,,,,,
46403,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_2,D3_3,F3_3,,,,,
46404,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_3,D3_1,F3_1,,,,,
46405,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_3,D3_1,F3_2,,,,,
46406,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_3,D3_1,F3_3,,,,,
46407,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_3,D3_2,F3_1,,,,,
46408,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_3,D3_2,F3_2,,,,,
46409,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_3,D3_2,F3_3,,,,,
46410,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_3,D3_3,F3_1,,,,,
46411,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_3,D3_3,F3_2,,,,,
46412,L3,L3,L1,L2,L1,L3,L1,L1,L1,C3_3,D3_3,F3_3,,,,,
67095,L3,L3,L2,L3,L1,L3,L1,L1,L1,C3_1,D3_1,F3_1,,,,,
67096,L3,L3,L2,L3,L1,L3,L1,L1,L1,C3_1,D3_1,F3_2,,,,,
67097,L3,L3,L2,L3,L1,L3,L1,L1,L1,C3_1,D3_1,F3_3,,,,,
67098,L3,L3,L2,L3,L1,L3,L1,L1,L1,C3_1,D3_2,F3_1,,,,,
