,A,B,G,H,I,E,X,Y,Z,C,D,F,J,K,N,L,M
3699,L2,L1,L2,L1,L2,L3,L2,L2,L2,C3_1,D3_1,F3_1,L1,L1,N3_1,L_1,M_1
3700,L2,L1,L2,L1,L2,L3,L2,L2,L2,C3_1,D3_1,F3_1,L1,L2,N3_1,L_1,M_1
3701,L2,L1,L2,L1,L2,L3,L2,L2,L2,C3_1,D3_1,F3_1,L1,L3,N3_1,L_1,M_1
3702,L2,L1,L2,L1,L2,L3,L2,L2,L2,C3_1,D3_1,F3_1,L2,L1,N3_1,L_1,M_1
3703,L2,L1,L2,L1,L2,L3,L2,L2,L2,C3_1,D3_1,F3_1,L2,L2,N3_1,L_1,M_1
3704,L2,L1,L2,L1,L2,L3,L2,L2,L2,C3_1,D3_1,F3_1,L2,L3,N3_1,L_1,M_1
3705,L2,L1,L2,L1,L2,L3,L2,L2,L2,C3_1,D3_1,F3_1,L3,L1,N3_1,L_1,M_1
3706,L2,L1,L2,L1,L2,L3,L2,L2,L2,C3_1,D3_1,F3_1,L3,L2,N3_1,L_1,M_1
3707,L2,L1,L2,L1,L2,L3,L2,L2,L2,C3_1,D3_1,F3_1,L3,L3,N3_1,L_1,M_1
3708,L2,L1,L2,L1,L2,L3,L2,L2,L2,C3_1,D3_1,F3_1,L1,L1,N3_1,L_1,M_2
3709,L2,L1,L2,L1,L2,L3,L2,L2,L2,C3_1,D3_1,F3_1,L1,L2,N3_1,L_1,M_2
3710,L2,L1,L2,L1,L2,L3,L2,L2,L2,C3_1,D3_1,F3_1,L1,L3,N3_1,L_1,M_2
3711,L2,L1,L2,L1,L2,L3,L2,L2,L2,C3_1,D3_1,F3_1,L2,L1,N3_1,L_1,M_2
3712,L2,L1,L2,L1,L2,L3,L2,L2,L2,C3_1,D3_1,F3_1,L2,L2,N3_1,L_1,M_2
3713,L2,L1,L2,L1,L2,L3,L2,L2,L2,C3_1,D3_1,F3_1,L2,L3,N3_1,L_1,M_2
3714,L2,L1,L2,L1,L2,L3,L2,L2,L2,C3_1,D3_1,F3_1,L3,L1,N3_1,L_1,M_2
