,A,B,G,H,I,E,X,Y,Z,C,D,F,J,K,N,L,M
11718,L2,L2,L3,L1,L1,L2,L1,L1,L2,C2_1,D2_1,F2_1,,,N2_1,L_1,M_1
11719,L2,L2,L3,L1,L1,L2,L1,L1,L2,C2_1,D2_1,F2_1,,,N2_1,L_1,M_2
11720,L2,L2,L3,L1,L1,L2,L1,L1,L2,C2_1,D2_1,F2_1,,,N2_1,L_2,M_1
11721,L2,L2,L3,L1,L1,L2,L1,L1,L2,C2_1,D2_1,F2_1,,,N2_1,L_2,M_2
11722,L2,L2,L3,L1,L1,L2,L1,L1,L2,C2_1,D2_1,F2_1,,,N2_1,L_3,M_1
11723,L2,L2,L3,L1,L1,L2,L1,L1,L2,C2_1,D2_1,F2_1,,,N2_1,L_3,M_2
11724,L2,L2,L3,L1,L1,L2,L1,L1,L2,C2_1,D2_1,F2_1,,,N2_2,L_1,M_1
11725,L2,L2,L3,L1,L1,L2,L1,L1,L2,C2_1,D2_1,F2_1,,,N2_2,L_1,M_2
11726,L2,L2,L3,L1,L1,L2,L1,L1,L2,C2_1,D2_1,F2_1,,,N2_2,L_2,M_1
11727,L2,L2,L3,L1,L1,L2,L1,L1,L2,C2_1,D2_1,F2_1,,,N2_2,L_2,M_2
11728,L2,L2,L3,L1,L1,L2,L1,L1,L2,C2_1,D2_1,F2_1,,,N2_2,L_3,M_1
11729,L2,L2,L3,L1,L1,L2,L1,L1,L2,C2_1,D2_1,F2_1,,,N2_2,L_3,M_2
11730,L2,L2,L3,L1,L1,L2,L1,L1,L2,C2_1,D2_1,F2_2,,,N2_1,L_1,M_1
11731,L2,L2,L3,L1,L1,L2,L1,L1,L2,C2_1,D2_1,F2_2,,,N2_1,L_1,M_2
11732,L2,L2,L3,L1,L1,L2,L1,L1,L2,C2_1,D2_1,F2_2,,,N2_1,L_2,M_1
11733,L2,L2,L3,L1,L1,L2,L1,L1,L2,C2_1,D2_1,F2_2,,,N2_1,L_2,M_2
11734,L2,L2,L3,L1,L1,L2,L1,L1,L2,C2_1,D2_1,F2_2,,,N2_1,L_3,M_1
