X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_med_pos,prop_qual_n_winning_parties,plur_util_winner_avg,prop_qual_min_govt_unstable,prop_qual_condorcet_winner,prop_strict_min_govt_size,spat_char_corr4,prop_strict_util_winner,major_qual_med_pos,prop_strict_unanimity,prop_qual_coalition_size,plur_util_max_med,prop_gallagher_index,tangian_adj_pop_parties,spat_char_corr5,prop_qual_util_eff,major_util_max_avg,major_cond_eff,prop_strict_nonzero_pos,major_qual_nonzero_pos,major_vse,plur_vse,spat_med_entropy1,prop_strict_util_max,major_util_max_elec_rate,major_cond_paradox,prop_qual_elec_failed,major_strict_nonzero_pos,major_util_max_med,tangian_raw_pop_body,prop_qual_util_winner,prop_qual_nonzero_pos,spat_med_entropy3,prop_strict_cond_paradox,plur_smith_eff,major_strict_med_pos,prop_strict_util_maxer_elected,prop_qual_min_govt_size,plur_util_eff_med,plur_cond_eff,spat_med_entropy2,major_util_eff_avg,plur_cond_paradox,spat_avg_entropy2,spat_med_entropy5,prop_strict_min_govt_unstable,spat_agg_dist_corr,plur_gallagher_index,prop_qual_n_parties_eff,prop_qual_util_maxer_elected,tangian_raw_uni_parties,prop_qual_single_party_win,plur_util_max_avg,tangian_adj_uni_parties,spat_char_corr2,major_util_winner_avg,tangian_adj_uni_body,plur_qual_social_util,spat_med_entropy4,prop_qual_med_pos,prop_strict_n_parties_eff,prop_strict_min_govt_elected,major_n_parties_eff,prop_qual_unanimity_rate,prop_qual_winner_smith,plur_n_parties_eff,plur_qual_nonzero_pos,plur_util_eff_avg,major_smith_eff,spat_avg_entropy5,prop_strict_elec_failed,prop_strict_winner_smith,plur_strict_nonzero_pos,major_strict_social_util,major_n_winning_parties,prop_qual_util_max,spat_char_corr3,plur_qual_med_pos,plur_strict_med_pos,prop_qual_cond_paradox,spat_avg_entropy4,major_qual_social_util,plur_util_winner_med,prop_strict_coalition_size,spat_avg_entropy1,prop_strict_condorcet_winner,prop_qual_min_govt_elected,tangian_raw_pop_parties,prop_strict_unanimity_rate,prop_strict_n_parties,prop_strict_single_party_win,prop_strict_util_eff,tangian_raw_uni_body,plur_strict_social_util,prop_qual_unanimity,major_util_eff_med,major_util_winner_med,spat_char_corr1,plur_util_max_elec_rate,tangian_adj_pop_body,prop_strict_n_winning_parties,spat_avg_entropy3,major_gallagher_index,plur_n_winning_parties,prop_qual_n_parties
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],[3],[2.500026e6],Bool[0],Bool[0],[0],[0.5605301345238964],[1.249956e8],[-2.0],[20],[1],[2.509325e6],[0.01132026925474833],[0.50003776],[0.5111871693166224],[0.6894831094135133],[2.512278e6],[1.0],[20],[20],[0.9951231511799251],[0.9951231511799251],[0.46597831028198344],[1.8128885e8],[0.26],[0],Bool[0],[20],[2.509325e6],[0.5000051999999999],[1.249956e8],[20],[1.2803120697069155],Bool[0],[1.0],[-2.0],Bool[0],[0],[0.9974716589678387],[1.0],[0.8629376926148471],[0.9951457825015848],[0],[0.869434884099146],[0.4510366205058367],Bool[0],[0.7931009247104831],[0.23397843596365886],[1.9470404984423675],Bool[0],[0.516],Bool[1],[2.512278e6],[0.516],[0.6253218844005141],[2.500026e6],[0.525],[2.3567058823529407e6],[1.5278397211164738],[-2.0],[1.9470404984423675],Bool[0],[2.934272300469483],[0.4],Bool[0],[2.934272300469483],[20],[0.9951457825015848],[1.0],[0.46104333908093936],Bool[0],Bool[0],[20],[2.3567058823529407e6],[3],[1.8128885e8],[0.5346157816273518],[-2.0],[-2.0],Bool[0],[1.5205951749234337],[2.3567058823529407e6],[2.49905e6],[1],[0.4842991736669816],Bool[0],Bool[0],[0.50003776],[0.4],[3],Bool[1],[0.6894831094135133],[0.525],[2.3567058823529407e6],[20],[0.9974716589678387],[2.49905e6],[0.4965564096677038],[0.26],[0.5000051999999999],[3],[1.2546410532481513],[0.23397843596365886],[3],[3]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String7[""C1_1""]","String7[""D1_2""]","String7[""F1_2""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[3],[4.08137175e6],Bool[0],Bool[0],[0],[0.03864787645380838],[1.9935687837837842e8],[0.0],[20],[1],[4.1860625e6],[0.007428236937524287],[0.4005567200000001],[0.0181623047497146],[0.9078487663857641],[4.14795875e6],[0.8],[6],[0],[0.9863720920561228],[0.9839470438321017],[1.0986122883378306],[2.1959260810810804e8],[0.66],[0],Bool[0],[0],[4.1860625e6],[0.4602096],[1.9935687837837842e8],[6],[1.609437911884505],Bool[0],[0.72],[0.0],Bool[0],[0],[1.0],[0.72],[1.0986122882873803],[0.9867613081310409],[0],[1.0986122881390936],[0.6931471804159288],Bool[0],[0.04784513437027266],[0.26334703093826595],[1.9470404984423675],Bool[0],[0.54],Bool[1],[4.14795875e6],[0.54],[-0.005102612410724396],[4.09143075e6],[0.723],[2.7556e6],[1.6094379118441682],[0.0],[1.9470404984423675],Bool[0],[1.0],[0.4],Bool[0],[1.0407993338884265],[0],[0.9843715136723575],[0.8],[0.693147180230366],Bool[0],Bool[1],[0],[2.7556e6],[1],[2.1959260810810804e8],[-0.06364975758761816],[0.0],[0.0],Bool[0],[1.609437911736411],[2.7556e6],[4.1192125e6],[1],[1.0986122880591345],Bool[1],Bool[0],[0.4005567199999999],[0.4],[3],Bool[1],[0.9078487663857641],[0.723],[2.7556e6],[20],[1.0],[4.12045625e6],[0.10610946626377231],[0.62],[0.4602096],[3],[1.6094379117282518],[0.28021388028432853],[2],[3]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[2.0],[3],[2.495499e6],Bool[0],Bool[0],[0],[0.6897989565487852],[1.2491495e8],[-2.0],[20],[1],[2.51305e6],[0.001115447892104319],[0.49978394400000004],[0.30195367454640626],[0.6662130666666667],[2.512305e6],[1.0],[20],[20],[0.9933105255930311],[0.9933105255930311],[1.0102063302972768],[1.875e8],[0.34],[0],Bool[0],[20],[2.51305e6],[0.49909980000000004],[1.2491495e8],[20],[1.400838940397418],Bool[0],[1.0],[-2.0],Bool[0],[0],[0.9975613017030326],[1.0],[1.0405623690505075],[0.9933546089776876],[0],[1.0329008559824364],[0.6820523531696685],Bool[0],[0.8154910775380906],[0.26530971377618273],[2.025931928687196],Bool[0],[0.374],Bool[1],[2.512305e6],[0.374],[0.31509394817678554],[2.495499e6],[0.45400000000000007],[2.785833333333334e6],[1.2271137955104112],[2.0],[2.025931928687196],Bool[0],[2.9274004683840746],[0.4],Bool[0],[2.9274004683840746],[20],[0.9933546089776876],[1.0],[0.6777404121959972],Bool[0],Bool[0],[20],[2.785833333333334e6],[3],[1.875e8],[0.4648692018388921],[-2.0],[-2.0],Bool[0],[1.2123986061616332],[2.785833333333334e6],[2.492e6],[1],[0.9956087442942603],Bool[0],Bool[0],[0.49978394400000004],[0.4],[3],Bool[1],[0.6662130666666667],[0.45400000000000007],[2.785833333333334e6],[20],[0.9975613017030326],[2.492e6],[0.6529313852706518],[0.34],[0.49909980000000004],[3],[1.403466328244666],[0.26530971377618273],[3],[3]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String7[""C1_1""]","String7[""D1_2""]","String7[""F1_2""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[3],[4.093236e6],Bool[0],Bool[0],[0],[0.12300300453069977],[2.041847323943662e8],[0.0],[20],[1],[4.1828125e6],[0.010158652666569517],[0.41864112000000003],[-0.010203417027795304],[0.9355647140106684],[4.138119e6],[0.92],[4],[0],[0.9869885327125681],[0.9891537676901027],[1.0986122883390883],[2.1824757746478865e8],[0.5],[0],Bool[0],[0],[4.1828125e6],[0.4580846000000001],[2.041847323943662e8],[4],[1.6094379116804236],Bool[0],[0.78],[0.0],Bool[0],[0],[1.0],[0.78],[1.0986122882656453],[0.9869529309157022],[0],[1.0986122879853368],[0.6931471804003034],Bool[0],[0.14916476642684803],[0.2491385121252834],[2.025931928687196],Bool[0],[0.5970000000000001],Bool[1],[4.138119e6],[0.5970000000000001],[-0.02427571790075189],[4.084276e6],[0.718],[2.77915e6],[1.6094379117764899],[0.0],[2.025931928687196],Bool[0],[1.1291779584462511],[0.4],Bool[0],[1.1291779584462511],[0],[0.989108855387395],[0.92],[0.6931471802570535],Bool[0],Bool[1],[0],[2.77915e6],[3],[2.1824757746478865e8],[0.07847708434555319],[0.0],[0.0],Bool[0],[1.60943791169011],[2.77915e6],[4.126e6],[1],[1.0986122880525648],Bool[1],Bool[0],[0.4186411200000001],[0.4],[3],Bool[1],[0.9355647140106684],[0.718],[2.77915e6],[20],[0.9999402514220161],[4.126e6],[0.1807395431450742],[0.6],[0.45808460000000006],[3],[1.6094379116455857],[0.2491385121252834],[3],[3]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[3],[2.500554e6],Bool[0],Bool[1],[0],[0.742006883055845],[1.250099e8],[2.0],[20],[1],[2.51585e6],[0.0025844984039460877],[0.500019936],[0.39434459437222485],[0.6897183551244085],[2.517586e6],[1.0],[20],[20],[0.9932347891988595],[0.9932347891988595],[0.917375368186806],[1.8124775e8],[0.3],[0],Bool[0],[20],[2.51585e6],[0.5001108],[1.250099e8],[20],[1.517391930743144],Bool[0],[1.0],[2.0],Bool[0],[0],[0.9967470881819734],[1.0],[0.779049352390752],[0.9932581655543491],[0],[0.7746864954801527],[0.6216022340824432],Bool[0],[0.8546507716591537],[0.2521836625001707],[2.025931928687196],Bool[0],[0.497],Bool[1],[2.517586e6],[0.497],[0.5881134729261591],[2.500554e6],[0.485],[2.3602941176470583e6],[1.4945439786158472],[0.0],[2.025931928687196],Bool[0],[2.8868360277136254],[0.4],Bool[1],[2.8868360277136254],[20],[0.9932581655543491],[1.0],[0.602492627830667],Bool[0],Bool[1],[20],[2.3602941176470583e6],[3],[1.8124775e8],[0.4285097607856802],[2.0],[2.0],Bool[0],[1.487607724954956],[2.3602941176470583e6],[2.498575e6],[1],[0.8912827253534769],Bool[1],Bool[0],[0.500019936],[0.4],[3],Bool[1],[0.6897183551244085],[0.485],[2.3602941176470583e6],[20],[0.9967470881819734],[2.498575e6],[0.13043870745378908],[0.3],[0.5001108],[3],[1.5094294134747042],[0.2521836625001707],[3],[3]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String7[""C1_1""]","String7[""D1_2""]","String7[""F1_2""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[3],[4.0983095e6],Bool[0],Bool[0],[0],[-0.07183482344026818],[2.060156756756757e8],[0.0],[20],[1],[4.18463125e6],[0.01551000038684719],[0.41437923200000004],[0.04441842359302101],[0.9384291089344411],[4.128393e6],[0.94],[4],[0],[0.9936179767769202],[0.9927130241718751],[1.0986122883233111],[2.1953248648648643e8],[0.7],[0],Bool[0],[0],[4.18463125e6],[0.4626102],[2.060156756756757e8],[4],[1.6094379116963007],Bool[0],[0.88],[0.0],Bool[0],[0],[1.0],[0.88],[1.0986122882703162],[0.9936457754668676],[0],[1.0986122879574254],[0.6931471804331878],Bool[0],[0.16379243774366056],[0.24240957099916655],[1.9470404984423675],Bool[0],[0.5840000000000001],Bool[1],[4.128393e6],[0.5840000000000001],[0.025854259384787328],[4.1020455e6],[0.733],[2.76195e6],[1.6094379117877806],[0.0],[1.9470404984423675],Bool[0],[1.127141568981064],[0.4],Bool[0],[1.127141568981064],[0],[0.9927095821134913],[0.94],[0.6931471802774122],Bool[0],Bool[1],[0],[2.76195e6],[2],[2.1953248648648643e8],[0.12772625692824632],[0.0],[0.0],Bool[0],[1.6094379116668318],[2.76195e6],[4.12743125e6],[1],[1.098612288106454],Bool[1],Bool[0],[0.41437923199999993],[0.4],[3],Bool[1],[0.9384291089344411],[0.733],[2.76195e6],[20],[1.0],[4.1543e6],[0.21484009712108298],[0.7],[0.4626102],[3],[1.6094379116016748],[0.24240957099916655],[2],[3]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],[3],[2.498457e6],Bool[0],Bool[0],[0],[0.4230481926825009],[1.2501525e8],[-2.0],[20],[1],[2.511775e6],[0.008534355043001188],[0.500037376],[0.7451129995673252],[0.666748],[2.513855e6],[1.0],[20],[20],[0.994052958503971],[0.993874746156799],[0.9999458180327089],[1.875e8],[0.32],[0],Bool[0],[20],[2.511775e6],[0.49978100000000003],[1.2501525e8],[20],[1.3397045488037866],Bool[0],[0.98],[-2.0],Bool[0],[0],[0.9978054303653576],[0.98],[0.8789789050392709],[0.9940870755959784],[0],[0.7767704924829212],[0.4334056337728723],Bool[0],[0.8412938601441364],[0.2672987003634698],[2.025931928687196],Bool[0],[0.562],Bool[1],[2.513855e6],[0.562],[0.8129810038070395],[2.498905e6],[0.485],[2.4842e6],[1.4218331498766963],[-2.0],[2.025931928687196],Bool[0],[2.880184331797235],[0.4],Bool[0],[2.880184331797235],[20],[0.9939096603929213],[1.0],[0.4770219556133764],Bool[0],Bool[0],[20],[2.4842e6],[3],[1.875e8],[0.5984790006478028],[-2.0],[-2.0],Bool[0],[1.4139719405381521],[2.4842e6],[2.49875e6],[1],[0.9947851775571089],Bool[0],Bool[0],[0.500037376],[0.4],[3],Bool[1],[0.666748],[0.485],[2.4842e6],[20],[0.9978054303653576],[2.499775e6],[0.6602702421129898],[0.32],[0.49978100000000003],[3],[1.3039494405866972],[0.2672987003634698],[3],[3]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String7[""C1_1""]","String7[""D1_2""]","String7[""F1_2""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[3],[4.022842e6],Bool[0],Bool[0],[0],[-0.027002533354272357],[2.012455064935065e8],[0.0],[20],[1],[4.12724375e6],[0.019012027771913288],[0.387687196],[-0.12414507781001717],[0.9253333304670278],[4.0870935e6],[0.92],[6],[0],[0.991741808696082],[0.984279415188324],[1.0986122883743192],[2.174843376623376e8],[0.72],[0],Bool[0],[0],[4.12724375e6],[0.45017240000000003],[2.012455064935065e8],[6],[1.6094379117115865],Bool[0],[0.76],[0.0],Bool[0],[0],[1.0],[0.76],[1.098612288303582],[0.9919992094605142],[0],[1.0986122880615046],[0.6931471803662115],Bool[0],[-0.12032597839013234],[0.2113533941057016],[1.9440124416796265],Bool[0],[0.501],Bool[1],[4.0870935e6],[0.501],[0.00806657729065851],[4.0533415e6],[0.6930000000000001],[2.69515e6],[1.609437911757365],[0.0],[1.9440124416796265],Bool[0],[1.1770244821092277],[0.4],Bool[0],[1.226692836113837],[0],[0.9847712429925963],[0.92],[0.6931471798789667],Bool[0],Bool[1],[0],[2.69515e6],[3],[2.174843376623376e8],[-0.0288799009953409],[0.0],[0.0],Bool[0],[1.6094379117128943],[2.69515e6],[4.06765625e6],[1],[1.0986122881364495],Bool[1],Bool[0],[0.387687196],[0.4],[3],Bool[1],[0.9253333304670278],[0.6930000000000001],[2.69515e6],[20],[1.0],[4.12349375e6],[-0.05044581039637315],[0.64],[0.4501723999999999],[3],[1.6094379116376332],[0.22751056502940697],[3],[3]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[2.0],[3],[2.498614e6],Bool[0],Bool[0],[0],[0.3541178846934874],[1.250332e8],[-2.0],[20],[1],[2.513075e6],[0.01573175285847066],[0.500087392],[0.19360933683456416],[0.6668437333333334],[2.513872e6],[1.0],[20],[20],[0.9939304785605632],[0.9939304785605632],[1.0131206154908732],[1.875e8],[0.28],[0],Bool[0],[20],[2.513075e6],[0.49972279999999997],[1.250332e8],[20],[1.159112272284633],Bool[0],[1.0],[-2.0],Bool[0],[0],[0.9965000847855865],[1.0],[1.0274847597997117],[0.993955535403222],[0],[1.020393078125718],[0.6499526757201166],Bool[0],[0.7412025170758183],[0.1417819736355789],[1.8684603886397613],Bool[0],[0.5660000000000001],Bool[1],[2.513872e6],[0.5660000000000001],[0.4249574068376691],[2.498614e6],[0.4960000000000001],[2.46565e6],[0.7318294294260979],[2.0],[1.8684603886397613],Bool[0],[2.587991718426501],[0.4],Bool[0],[2.587991718426501],[20],[0.993955535403222],[1.0],[0.6296521557435057],Bool[0],Bool[0],[20],[2.46565e6],[3],[1.875e8],[0.7429703951382788],[-2.0],[-2.0],Bool[0],[0.7390971503982254],[2.46565e6],[2.4995e6],[1],[0.9934940271728812],Bool[0],Bool[0],[0.500087392],[0.4],[3],Bool[1],[0.6668437333333334],[0.4960000000000001],[2.46565e6],[20],[0.9965000847855865],[2.4995e6],[0.5911864958374128],[0.28],[0.49972279999999997],[3],[1.149829769600383],[0.1417819736355789],[3],[3]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String7[""C1_1""]","String7[""D1_2""]","String7[""F1_2""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[3],[4.02338625e6],Bool[0],Bool[0],[0],[0.04479896212133196],[2.1099611688311684e8],[0.0],[20],[1],[4.18268125e6],[0.015823811930126105],[0.423024832],[0.0219605837828187],[0.9558704155456443],[4.14729825e6],[0.96],[3],[0],[0.9847421149419384],[0.970122235602419],[1.0986122880926765],[2.207371558441558e8],[0.56],[0],Bool[0],[0],[4.18268125e6],[0.4581228],[2.1099611688311684e8],[3],[1.6094379118587216],Bool[0],[0.84],[0.0],Bool[0],[0],[0.9928596649334114],[0.84],[1.098612288160938],[0.9847884860109889],[0],[1.0986122879119926],[0.6931471804077947],Bool[0],[0.0027908681319302625],[0.275667032892945],[1.9470404984423675],Bool[0],[0.6100000000000001],Bool[1],[4.14729825e6],[0.6100000000000001],[-0.01750285888665589],[4.08401925e6],[0.718],[2.7687e6],[1.6094379117744857],[0.0],[1.9470404984423675],Bool[0],[1.0],[0.4],Bool[0],[1.0407993338884265],[0],[0.9705728569706972],[0.96],[0.6931471801074457],Bool[0],Bool[1],[0],[2.7687e6],[1],[2.207371558441558e8],[-0.020138623670725032],[0.0],[0.0],Bool[0],[1.6094379116629545],[2.7687e6],[4.0336875e6],[1],[1.0986122880552827],Bool[1],Bool[0],[0.4230248320000001],[0.4],[3],Bool[1],[0.9558704155456443],[0.718],[2.7687e6],[20],[1.0],[4.09155e6],[-0.016148608133736114],[0.48],[0.4581228],[3],[1.609437911643196],[0.2928669203307195],[2],[3]
