X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_med_pos,prop_qual_n_winning_parties,plur_util_winner_avg,prop_qual_min_govt_unstable,prop_qual_condorcet_winner,prop_strict_min_govt_size,spat_char_corr4,prop_strict_util_winner,major_qual_med_pos,prop_strict_unanimity,prop_qual_coalition_size,plur_util_max_med,prop_gallagher_index,tangian_adj_pop_parties,spat_char_corr5,prop_qual_util_eff,major_util_max_avg,major_cond_eff,prop_strict_nonzero_pos,major_qual_nonzero_pos,major_vse,plur_vse,spat_med_entropy1,prop_strict_util_max,major_util_max_elec_rate,major_cond_paradox,prop_qual_elec_failed,major_strict_nonzero_pos,major_util_max_med,tangian_raw_pop_body,prop_qual_util_winner,prop_qual_nonzero_pos,spat_med_entropy3,prop_strict_cond_paradox,plur_smith_eff,major_strict_med_pos,prop_strict_util_maxer_elected,prop_qual_min_govt_size,plur_util_eff_med,plur_cond_eff,spat_med_entropy2,major_util_eff_avg,plur_cond_paradox,spat_avg_entropy2,spat_med_entropy5,prop_strict_min_govt_unstable,spat_agg_dist_corr,plur_gallagher_index,prop_qual_n_parties_eff,prop_qual_util_maxer_elected,tangian_raw_uni_parties,prop_qual_single_party_win,plur_util_max_avg,tangian_adj_uni_parties,spat_char_corr2,major_util_winner_avg,tangian_adj_uni_body,plur_qual_social_util,spat_med_entropy4,prop_qual_med_pos,prop_strict_n_parties_eff,prop_strict_min_govt_elected,major_n_parties_eff,prop_qual_unanimity_rate,prop_qual_winner_smith,plur_n_parties_eff,plur_qual_nonzero_pos,plur_util_eff_avg,major_smith_eff,spat_avg_entropy5,prop_strict_elec_failed,prop_strict_winner_smith,plur_strict_nonzero_pos,major_strict_social_util,major_n_winning_parties,prop_qual_util_max,spat_char_corr3,plur_qual_med_pos,plur_strict_med_pos,prop_qual_cond_paradox,spat_avg_entropy4,major_qual_social_util,plur_util_winner_med,prop_strict_coalition_size,spat_avg_entropy1,prop_strict_condorcet_winner,prop_qual_min_govt_elected,tangian_raw_pop_parties,prop_strict_unanimity_rate,prop_strict_n_parties,prop_strict_single_party_win,prop_strict_util_eff,tangian_raw_uni_body,plur_strict_social_util,prop_qual_unanimity,major_util_eff_med,major_util_winner_med,spat_char_corr1,plur_util_max_elec_rate,tangian_adj_pop_body,prop_strict_n_winning_parties,spat_avg_entropy3,major_gallagher_index,plur_n_winning_parties,prop_qual_n_parties
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","String7[""C3_3""]","String7[""D3_1""]","String7[""F3_1""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],[1],[2.497969e6],Bool[0],Bool[0],[0],[0.009368771988107353],[1.3158510526315787e8],[2.0],[20],[1],[2.510875e6],[0.02000000000000001],[0.500016992],[0.04593376847200252],[0.6896191521998236],[2.511561e6],[1.0],[20],[20],[0.9945062055032706],[0.9945882262067296],[1.1452251576443089e-10],[1.9080836842105258e8],[0.08],[0],Bool[0],[20],[2.510875e6],[0.4995526],[1.3158510526315787e8],[20],[1.4935962403011442],Bool[0],[0.96],[2.0],Bool[0],[0],[0.9951143270822831],[0.96],[0.7171564711209018],[0.9945114101779616],[0],[0.7171558590615094],[0.6931471804596794],Bool[0],[0.046808837645678385],[0.13041922876631346],[1.0407993338884265],Bool[0],[0.45],Bool[1],[2.511561e6],[0.45],[-0.018796656682180585],[2.497763e6],[0.47],[2.5033571428571427e6],[1.3778306526995157],[-2.0],[1.0407993338884265],Bool[0],[1.59846547314578],[0.4],Bool[0],[1.526251526251526],[20],[0.9945936913314484],[1.0],[0.6931471801325789],Bool[0],Bool[0],[20],[2.5032142857142854e6],[0],[1.9080836842105258e8],[0.05062630192648589],[0.0],[0.0],Bool[0],[1.3778316645316908],[2.5032142857142854e6],[2.4975e6],[1],[1.1452318872901188e-10],Bool[0],Bool[0],[0.500016992],[0.4],[5],Bool[1],[0.6896191521998236],[0.47],[2.5033571428571427e6],[20],[0.9950333213514937],[2.4975e6],[0.06746739676488922],[0.08],[0.4995526],[1],[1.493596188003908],[0.1151856554958125],[0],[5]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String3[""L2""]","String7[""C3_2""]","String7[""D3_1""]","String7[""F3_1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],[5],[2.498833e6],Bool[0],Bool[0],[0],[0.1801535305556613],[1.2491265e8],[-2.0],[20],[1],[2.5113e6],[0.014791636555837928],[0.499849944],[0.5394623183858556],[0.6775004230558954],[2.512693e6],[1.0],[20],[20],[0.9948071650615495],[0.9944840058057232],[1.807051376802004e-10],[1.843728e8],[0.08],[0],Bool[0],[20],[2.5113e6],[0.499929],[1.2491265e8],[20],[1.2396822454019156],Bool[0],[0.9],[-2.0],Bool[0],[0],[0.9955208070874586],[0.9],[0.5171842666483533],[0.9948123056381165],[0],[0.5201615284853597],[0.4965174702800384],Bool[0],[0.6176006081911973],[0.25442671344023604],[3.048780487804877],Bool[0],[0.40199999999999997],Bool[1],[2.512693e6],[0.40199999999999997],[0.20750020796376506],[2.499645e6],[0.48300000000000004],[2.5013125e6],[1.199014827168356],[-2.0],[3.048780487804877],Bool[0],[1.3982102908277405],[0.4],Bool[0],[1.4585764294049008],[20],[0.9944911585215048],[1.0],[0.4970036008769398],Bool[0],Bool[0],[20],[2.3506470588235296e6],[0],[1.843728e8],[0.353798440348405],[-2.0],[-2.0],Bool[0],[1.1830144038224657],[2.3506470588235296e6],[2.499575e6],[1],[2.607856726208815e-10],Bool[0],Bool[0],[0.499849944],[0.4],[5],Bool[1],[0.6775004230558954],[0.48300000000000004],[2.5013125e6],[20],[0.9956951774800838],[2.499825e6],[-0.007991120584059696],[0.06],[0.499929],[5],[1.2238345457689153],[0.26842695936138755],[0],[5]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","String7[""C3_1""]","String7[""D3_1""]","String7[""F3_1""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],[5],[2.500793e6],Bool[0],Bool[0],[0],[0.038882035424548954],[1.2493165e8],[2.0],[20],[1],[2.5121e6],[0.009160317898413789],[0.4998301200000001],[-0.002860718863761759],[0.7138763781066326],[2.512421e6],[1.0],[20],[20],[0.9956432460960961],[0.9953717947748407],[1.1452332952816789e-10],[1.750046e8],[0.14],[0],Bool[0],[20],[2.5121e6],[0.5002949999999999],[1.2493165e8],[20],[1.3224442201086655],Bool[0],[0.86],[2.0],Bool[0],[0],[0.9960467098205779],[0.86],[0.7497405573748868],[0.9956473590228287],[0],[0.7497408974085781],[0.693147180384798],Bool[0],[0.0026832087400082655],[0.05960731015571833],[3.19693094629156],Bool[0],[0.47500000000000003],Bool[1],[2.512421e6],[0.47500000000000003],[-0.045585331447235214],[2.501475e6],[0.519],[2.332866666666666e6],[1.4616850649906818],[-2.0],[3.19693094629156],Bool[0],[3.041362530413625],[0.4],Bool[0],[3.2637075718015667],[20],[0.9953772645912771],[1.0],[0.6931471802277968],Bool[0],Bool[0],[20],[2.799055555555556e6],[0],[1.750046e8],[0.006078115194308983],[0.0],[0.0],Bool[0],[1.4616850415046818],[2.799055555555556e6],[2.50155e6],[1],[1.1452430149458358e-10],Bool[0],Bool[0],[0.4998301200000001],[0.4],[5],Bool[1],[0.7138763781066326],[0.519],[2.332866666666666e6],[20],[0.9962940350948541],[2.50155e6],[-0.02740928506825141],[0.14],[0.5002949999999999],[5],[1.3224448384956446],[0.028098245923900658],[0],[5]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String7[""C3_1""]","String7[""D3_1""]","String7[""F3_1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[5],[2.501119e6],Bool[0],Bool[0],[0],[0.041925327475686905],[1.513012105263159e8],[-2.0],[10],[2],[2.51315e6],[0.012063051023683843],[0.500051024],[0.10880010560696361],[0.8677500047542196],[2.513709e6],[1.0],[10],[20],[0.9945562513401511],[0.994991464803603],[1.1783779480577435e-10],[1.7436036842105263e8],[0.12],[0],Bool[0],[20],[2.51315e6],[0.500005],[1.513012105263159e8],[10],[1.2620038740177309e-10],Bool[1],[0.82],[-2.0],Bool[0],[0],[0.9952950526779154],[0.82],[1.0004849107311329e-10],[0.9945644082737237],[0],[2.5773441051689787e-10],[1.9964234271182207e-10],Bool[0],[0.11868088626157093],[0.03886897477423349],[3.351206434316354],Bool[0],[0.46099999999999997],Bool[0],[2.513709e6],[0.46099999999999997],[-0.008137456134728247],[2.500025e6],[0.491],[2.6849333333333335e6],[2.021138432244827e-10],[0.0],[3.351206434316354],Bool[0],[2.587991718426501],[0.2],Bool[1],[3.1725888324873095],[20],[0.9949992380741421],[1.0],[2.558668664182368e-10],Bool[0],Bool[1],[20],[2.499125e6],[0],[1.7436036842105263e8],[0.11959882687424452],[-2.0],[-2.0],Bool[1],[3.172650733690852e-10],[2.499125e6],[2.5009e6],[2],[1.7973404820007283e-10],Bool[0],Bool[0],[0.500051024],[0.2],[5],Bool[0],[0.8677500047542196],[0.491],[2.6849333333333335e6],[10],[0.9951381481169987],[2.50005e6],[-0.0607617482346432],[0.18],[0.500005],[5],[4.01709053952951e-10],[0.09819448660693733],[0],[5]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String3[""L2""]","String7[""C3_3""]","String7[""D3_1""]","String7[""F3_1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],[5],[2.501264e6],Bool[0],Bool[0],[0],[0.2317679464449929],[1.3155199999999999e8],[-2.0],[20],[1],[2.512125e6],[0.03075681752067336],[0.4999030080000001],[0.2107394250340013],[0.6895280069165551],[2.51276e6],[1.0],[20],[20],[0.9955045448033238],[0.9954249510498416],[1.1440993112608669e-10],[1.9078557894736835e8],[0.24],[0],Bool[0],[20],[2.512125e6],[0.5002928],[1.3155199999999999e8],[20],[1.2874513520553839],Bool[0],[0.94],[-2.0],Bool[0],[0],[0.9971379622377505],[0.94],[0.4178309696831066],[0.9955112732163718],[0],[0.439082284389719],[0.5929752107871127],Bool[0],[0.5027100466648687],[0.15970667432515143],[2.049180327868852],Bool[0],[0.5140000000000001],Bool[1],[2.51276e6],[0.5140000000000001],[0.2874260748916612],[2.501464e6],[0.513],[2.530375e6],[1.285419583969156],[-2.0],[2.049180327868852],Bool[0],[1.4671361502347418],[0.4],Bool[0],[1.4013452914798208],[20],[0.9954316513882995],[1.0],[0.5612203588770497],Bool[0],Bool[0],[20],[2.5032857142857146e6],[0],[1.9078557894736835e8],[0.447896268877982],[0.0],[0.0],Bool[0],[1.2305221124687444],[2.5032857142857146e6],[2.50225e6],[1],[2.8408362523126407e-10],Bool[0],Bool[0],[0.4999030080000001],[0.4],[5],Bool[1],[0.6895280069165551],[0.513],[2.530375e6],[20],[0.9972700272165935],[2.502725e6],[-0.007596366359009414],[0.24],[0.5002928],[5],[1.2680452885324625],[0.1432032884538619],[0],[5]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L3""]","String7[""C3_2""]","String7[""D3_1""]","String7[""F3_1""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","[""L0""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[5],[2.498772e6],Bool[0],Bool[0],[0],[0.3827867626382792],[1.2494633333333333e8],[0.0],[20],[1],[2.510825e6],[0.011741550834536294],[0.49990239200000003],[0.3090872739441182],[0.6542330331780445],[2.510166e6],[0.96],[20],[20],[0.9953979139228242],[0.9954608579671623],[7.465514915290589e-11],[1.909813888888887e8],[0.16],[0],Bool[0],[20],[2.510825e6],[0.49972279999999997],[1.2494633333333333e8],[20],[2.0915120535838834e-9],Bool[0],[0.94],[0.0],Bool[0],[0],[0.9962327838776048],[0.94],[1.6554807163868765e-10],[0.9954030904695081],[0],[1.682143525015234e-10],[9.616713288196614e-11],Bool[0],[0.6624734100680751],[0.32647122999737666],[3.19693094629156],Bool[0],[0.3970000000000001],Bool[1],[2.510166e6],[0.3970000000000001],[0.36539789017861696],[2.498614e6],[0.49200000000000005],[2.4961428571428573e6],[4.437704720293884e-10],[0.0],[3.19693094629156],Bool[0],[1.2278978388998034],[0.4],Bool[0],[1.2278978388998034],[20],[0.9954662361642106],[0.96],[9.935751669745617e-11],Bool[0],Bool[0],[20],[2.5061428571428573e6],[0],[1.909813888888887e8],[0.6256318046632747],[0.0],[0.0],Bool[0],[4.6343865025286553e-10],[2.5061428571428573e6],[2.498025e6],[1],[7.552226430470571e-11],Bool[0],Bool[0],[0.49990239200000003],[0.4],[5],Bool[1],[0.6542330331780445],[0.49200000000000005],[2.4961428571428573e6],[20],[0.9962327838776048],[2.49775e6],[0.48372038134441425],[0.18],[0.49972279999999997],[5],[2.331843759191722e-9],[0.32647122999737666],[0],[5]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String7[""C3_3""]","String7[""D3_1""]","String7[""F3_1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[2.0],[1],[2.500482e6],Bool[0],Bool[0],[0],[0.011001400792739766],[1.3161473684210525e8],[2.0],[20],[1],[2.5127e6],[0.12377743406921445],[0.500134424],[0.08318487120561092],[0.7018601533792954],[2.512882e6],[1.0],[20],[20],[0.9952389328269294],[0.9950654268684324],[1.2070441640129186e-10],[1.8752273684210527e8],[0.2],[0],Bool[0],[20],[2.5127e6],[0.5001836000000001],[1.3161473684210525e8],[20],[2.0903601779768803e-10],Bool[0],[0.96],[2.0],Bool[0],[0],[0.9956176991002561],[0.96],[1.8041260400873557e-10],[0.9952455910833123],[0],[2.5285208253335966e-10],[1.4048174426313403e-10],Bool[0],[0.0816316212325113],[0.20792387810927349],[1.0841283607979184],Bool[0],[0.502],Bool[1],[2.512882e6],[0.502],[0.14799373252630857],[2.500918e6],[0.509],[2.649933333333333e6],[9.255234275618355e-11],[2.0],[1.0841283607979184],Bool[0],[1.17813383600377],[0.4],Bool[0],[1.2278978388998034],[20],[0.9950721935991446],[1.0],[1.9317949269999853e-10],Bool[0],Bool[0],[20],[2.4898125e6],[0],[1.8752273684210527e8],[0.054554891586379675],[2.0],[2.0],Bool[0],[1.7804072371124946e-10],[2.4898125e6],[2.499975e6],[1],[1.7422572620948437e-10],Bool[0],Bool[0],[0.500134424],[0.4],[5],Bool[1],[0.7018601533792954],[0.509],[2.649933333333333e6],[20],[0.995695916217946],[2.50035e6],[0.04463045792069714],[0.2],[0.5001836000000001],[1],[3.725790590979445e-10],[0.22306326252433414],[0],[5]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L3""]","String7[""C3_2""]","String7[""D3_1""]","String7[""F3_1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],[5],[2.499154e6],Bool[0],Bool[0],[0],[0.608615982090627],[1.25037e8],[2.0],[20],[1],[2.513e6],[0.017495348867627655],[0.500036776],[0.1250399151351977],[0.6897805326508918],[2.513132e6],[0.98],[20],[20],[0.9945550014881829],[0.9944380159896098],[7.251670540387816e-11],[1.812707e8],[0.16],[0],Bool[0],[20],[2.513e6],[0.4998896],[1.25037e8],[20],[1.0397653792557703e-10],Bool[0],[0.9],[2.0],Bool[0],[0],[0.9955063468432679],[0.9],[1.5512126640853556e-9],[0.99456267802443],[0],[1.5871912204516007e-9],[1.09902072454269e-10],Bool[0],[0.6542870533591212],[0.1805294636118991],[3.1969309462915594],Bool[0],[0.517],Bool[1],[2.513132e6],[0.517],[0.2774173261268104],[2.499448e6],[0.503],[2.640647058823529e6],[1.761410606176911e-9],[-2.0],[3.1969309462915594],Bool[0],[1.8355359765051398],[0.4],Bool[0],[1.9319938176197837],[20],[0.994445649685074],[0.98],[1.1390651378377225e-10],Bool[0],Bool[0],[20],[2.488611111111111e6],[0],[1.812707e8],[0.6874769149009748],[2.0],[2.0],Bool[0],[1.7379917631504407e-9],[2.488611111111111e6],[2.4985e6],[1],[7.213560102613826e-11],Bool[0],Bool[0],[0.500036776],[0.4],[5],Bool[1],[0.6897805326508918],[0.503],[2.640647058823529e6],[20],[0.9952804225335259],[2.498675e6],[0.44927094584486404],[0.12],[0.4998896],[5],[1.1169082102685278e-10],[0.19835948989650076],[0],[5]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L3""]","String7[""C3_2""]","String7[""D3_1""]","String7[""F3_1""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","[""L0""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],[4],[2.500145e6],Bool[0],Bool[0],[0],[0.5210040383946002],[1.315427894736842e8],[2.0],[20],[1],[2.509125e6],[0.014797771183526284],[0.49992860800000005],[0.6245336788675737],[0.6777932146182144],[2.510205e6],[1.0],[20],[20],[0.9960656599759781],[0.9959923591897872],[3.7520598720294833e-10],[1.94075105263158e8],[0.12],[0],Bool[0],[20],[2.509125e6],[0.5000658],[1.315427894736842e8],[20],[3.396343627391436e-10],Bool[0],[0.96],[2.0],Bool[0],[0],[0.9966853559390406],[0.96],[3.5282957744729525e-10],[0.9960684833464538],[0],[3.4100202513223985e-10],[5.0422060845756716e-11],Bool[0],[0.55081493109285],[0.19553540352580656],[3.0413625304136245],Bool[0],[0.455],Bool[1],[2.510205e6],[0.455],[0.521060411630343],[2.500329e6],[0.519],[2.5091875e6],[7.167677934895364e-11],[-2.0],[3.0413625304136245],Bool[0],[1.6733601070950468],[0.4],Bool[0],[1.7458100558659218],[20],[0.9959952605774727],[1.0],[4.6833375381506456e-11],Bool[0],Bool[0],[20],[2.3474e6],[0],[1.94075105263158e8],[0.35807661221697323],[2.0],[2.0],Bool[0],[7.000165954379511e-11],[2.3474e6],[2.500625e6],[1],[4.091563766358921e-10],Bool[0],Bool[0],[0.49992860800000005],[0.4],[5],Bool[1],[0.6777932146182144],[0.519],[2.5091875e6],[20],[0.9966853559390406],[2.500775e6],[0.48394435864557034],[0.1],[0.5000658],[4],[3.826413342920997e-10],[0.20815536032492654],[0],[5]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L3""]","String7[""C3_2""]","String7[""D3_1""]","String7[""F3_1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[2.0],[5],[2.501491e6],Bool[0],Bool[0],[0],[0.5301742705852299],[1.1834942105263156e8],[2.0],[20],[1],[2.51135e6],[0.017658397662302226],[0.49986484],[0.32748016075342834],[0.6424682857142856],[2.511529e6],[1.0],[20],[20],[0.9959044868683579],[0.9960032314976256],[6.049698100758816e-10],[1.8421052631578946e8],[0.14],[0],Bool[0],[20],[2.51135e6],[0.5002486],[1.1834942105263156e8],[20],[1.612308228209891e-10],Bool[0],[0.96],[2.0],Bool[0],[0],[0.9971499784786415],[0.96],[9.229208305296261e-11],[0.9959071996803328],[0],[9.084221665723214e-11],[8.513263997495284e-11],Bool[0],[0.6177694903938126],[0.1800732601137659],[3.048780487804877],Bool[0],[0.384],Bool[1],[2.511529e6],[0.384],[0.4619801570507863],[2.501243e6],[0.5109999999999999],[2.670733333333333e6],[2.1361619256865468e-10],[2.0],[3.048780487804877],Bool[0],[1.8545994065281899],[0.4],Bool[0],[1.8463810930576072],[20],[0.9960061116772232],[1.0],[8.86707761620524e-11],Bool[0],Bool[0],[20],[2.650176470588235e6],[0],[1.8421052631578946e8],[0.31300885061060507],[0.0],[0.0],Bool[0],[2.2153129233072496e-10],[2.650176470588235e6],[2.5029e6],[1],[6.247846001127437e-10],Bool[0],Bool[0],[0.49986484],[0.4],[5],Bool[1],[0.6424682857142856],[0.5109999999999999],[2.670733333333333e6],[20],[0.9970559698317023],[2.5019e6],[0.27612900459921597],[0.16],[0.5002486],[5],[1.7223572565984701e-10],[0.1770165500963116],[0],[5]
