X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_med_pos,prop_qual_n_winning_parties,plur_util_winner_avg,prop_qual_min_govt_unstable,prop_qual_condorcet_winner,prop_strict_min_govt_size,spat_char_corr4,prop_strict_util_winner,major_qual_med_pos,prop_strict_unanimity,prop_qual_coalition_size,plur_util_max_med,prop_gallagher_index,tangian_adj_pop_parties,spat_char_corr5,prop_qual_util_eff,major_util_max_avg,major_cond_eff,prop_strict_nonzero_pos,major_qual_nonzero_pos,major_vse,plur_vse,spat_med_entropy1,prop_strict_util_max,major_util_max_elec_rate,major_cond_paradox,prop_qual_elec_failed,major_strict_nonzero_pos,major_util_max_med,tangian_raw_pop_body,prop_qual_util_winner,prop_qual_nonzero_pos,spat_med_entropy3,prop_strict_cond_paradox,plur_smith_eff,major_strict_med_pos,prop_strict_util_maxer_elected,prop_qual_min_govt_size,plur_util_eff_med,plur_cond_eff,spat_med_entropy2,major_util_eff_avg,plur_cond_paradox,spat_avg_entropy2,spat_med_entropy5,prop_strict_min_govt_unstable,spat_agg_dist_corr,plur_gallagher_index,prop_qual_n_parties_eff,prop_qual_util_maxer_elected,tangian_raw_uni_parties,prop_qual_single_party_win,plur_util_max_avg,tangian_adj_uni_parties,spat_char_corr2,major_util_winner_avg,tangian_adj_uni_body,plur_qual_social_util,spat_med_entropy4,prop_qual_med_pos,prop_strict_n_parties_eff,prop_strict_min_govt_elected,major_n_parties_eff,prop_qual_unanimity_rate,prop_qual_winner_smith,plur_n_parties_eff,plur_qual_nonzero_pos,plur_util_eff_avg,major_smith_eff,spat_avg_entropy5,prop_strict_elec_failed,prop_strict_winner_smith,plur_strict_nonzero_pos,major_strict_social_util,major_n_winning_parties,prop_qual_util_max,spat_char_corr3,plur_qual_med_pos,plur_strict_med_pos,prop_qual_cond_paradox,spat_avg_entropy4,major_qual_social_util,plur_util_winner_med,prop_strict_coalition_size,spat_avg_entropy1,prop_strict_condorcet_winner,prop_qual_min_govt_elected,tangian_raw_pop_parties,prop_strict_unanimity_rate,prop_strict_n_parties,prop_strict_single_party_win,prop_strict_util_eff,tangian_raw_uni_body,plur_strict_social_util,prop_qual_unanimity,major_util_eff_med,major_util_winner_med,spat_char_corr1,plur_util_max_elec_rate,tangian_adj_pop_body,prop_strict_n_winning_parties,spat_avg_entropy3,major_gallagher_index,plur_n_winning_parties,prop_qual_n_parties
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_1""]","String7[""F2_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","[""L0""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[7],[2.503148e6],Bool[0],Bool[0],[0],[0.7457991117716682],[1.5627435e8],[2.0],[10],[2],[2.51015e6],[0.016737773806572973],[0.499966784],[0.8368806699453403],[0.8334632],[2.51054e6],[1.0],[10],[20],[0.9970277310857425],[0.9970556135333434],[0.9017260766081133],[1.875e8],[0.42],[0],Bool[0],[20],[2.51015e6],[0.5006156],[1.5627435e8],[10],[1.2492686976547944],Bool[0],[0.94],[2.0],Bool[0],[0],[0.9992808608911097],[0.94],[1.0013663862922404],[0.9970359391252598],[0],[0.9987123693046155],[0.6588746330773402],Bool[0],[0.9168042775308839],[0.15034943655364993],[4.78927203065134],Bool[0],[0.477],Bool[1],[2.51054e6],[0.477],[0.7371358379541925],[2.503078e6],[0.541],[2.6634e6],[1.3355921566163669],[0.0],[4.78927203065134],Bool[0],[2.8153153153153148],[0.2],Bool[0],[2.9691211401425175],[20],[0.9970625069210196],[1.0],[0.611837114766788],Bool[0],Bool[0],[20],[2.495214285714286e6],[0],[1.875e8],[0.5595612965394158],[-2.0],[-2.0],Bool[0],[1.334147148485355],[2.495214285714286e6],[2.50365e6],[2],[0.9174017313851494],Bool[0],Bool[0],[0.499966784],[0.2],[7],Bool[1],[0.8334632],[0.541],[2.6634e6],[10],[0.9992808608911097],[2.50365e6],[0.5693520388954787],[0.42],[0.5006156],[7],[1.2503979187552903],[0.16348820468767775],[0],[7]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_2""]","String7[""F2_2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[7],[3.396129714285715e6],Bool[0],Bool[0],[2],[0.8028262223974969],[1.9998545714285713e8],[0.0],[8],[2],[3.4337714285714347e6],[0.020226185799601473],[0.3489383359999999],[0.6989923320889228],[0.9655102920536172],[3.466456571428572e6],[0.96],[2],[3],[0.9753446046757669],[0.9797121770621594],[2.2789261214040927e-10],[2.0712928571428573e8],[0.44],[0],Bool[0],[0],[3.4337714285714347e6],[0.34662499999999996],[1.9998545714285713e8],[2],[1.2806971194776584],Bool[1],[0.8],[0.0],Bool[0],[0],[1.0],[0.8],[0.8690504891688586],[0.9752125932046951],[0],[0.8573433015284294],[0.5346126668872027],Bool[0],[0.8470902964642705],[0.1952024041655225],[4.78927203065134],Bool[0],[0.0],Bool[0],[3.466456571428572e6],[0.0],[0.6616025550302824],[3.3809897142857146e6],[0.0],[2.4046e6],[1.1852627154858217],[0.0],[4.78927203065134],Bool[1],[2.181500872600349],[0.38],Bool[0],[2.5303643724696356],[3],[0.9794293310023008],[0.96],[0.5630276768805651],Bool[0],Bool[1],[0],[2.00155e6],[0],[2.0712928571428573e8],[0.5493239875985056],[0.0],[0.0],Bool[0],[1.1273272262264582],[2.4046e6],[3.36344285714286e6],[2],[2.35171291515764e-10],Bool[0],Bool[0],[0.348938336],[0.16],[7],Bool[0],[0.9655102920536172],[0.0],[2.00155e6],[19],[0.9967987961030081],[3.361678571428569e6],[0.19209483869510602],[0.52],[0.34662500000000007],[7],[1.2795230795509382],[0.23405276881934128],[0],[7]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_1""]","String7[""F2_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","[""L0""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[7],[2.500815e6],Bool[0],Bool[0],[2],[0.8732992151342865],[1.5452984210526305e8],[-2.0],[9],[2],[2.509525e6],[0.018291944893859696],[0.4999670400000001],[-0.05622089833373898],[0.8388762857142839],[2.510077e6],[1.0],[9],[20],[0.9966096657592576],[0.9963100733563154],[0.966973339688468],[1.8421052631578976e8],[0.34],[0],Bool[0],[20],[2.509525e6],[0.5003134],[1.5452984210526305e8],[9],[1.373486464163483],Bool[1],[0.92],[-2.0],Bool[0],[2],[0.9985638606733866],[0.92],[0.8639151029866197],[0.9966172540932747],[0],[0.8871985911049032],[0.647751194230613],Bool[0],[0.901400797506802],[0.15211139092125878],[4.7892720306513406],Bool[0],[0.471],Bool[0],[2.510077e6],[0.471],[0.7159672353603275],[2.501567e6],[0.522],[2.46735e6],[1.3396742070094085],[0.0],[4.7892720306513406],Bool[1],[3.2051282051282044],[0.18],Bool[1],[2.997601918465228],[20],[0.9963185527294104],[1.0],[0.6435278934687412],Bool[0],Bool[1],[20],[2.3171176470588236e6],[0],[1.8421052631578976e8],[0.583073228111969],[-2.0],[-2.0],Bool[1],[1.3231789284729916],[2.3171176470588236e6],[2.500375e6],[2],[0.9514612186107786],Bool[0],Bool[1],[0.4999670400000001],[0.18],[7],Bool[0],[0.8388762857142839],[0.522],[2.46735e6],[9],[0.9985638606733866],[2.501e6],[0.2780550386785895],[0.34],[0.5003134],[7],[1.3593366570206786],[0.1310054779312682],[0],[7]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_2""]","String7[""F2_2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[7],[3.4160014285714286e6],Bool[0],Bool[0],[2],[0.26189060657570146],[1.999794615384615e8],[0.0],[7],[2],[3.43607142857143e6],[0.01086594238895089],[0.3516317560000001],[0.7133076400718382],[0.981109883591433],[3.4997260000000014e6],[1.0],[1],[1],[0.9749591825188597],[0.9760768210343973],[2.7316522968938473e-10],[2.0382983076923078e8],[0.5],[0],Bool[0],[0],[3.43607142857143e6],[0.3487308],[1.999794615384615e8],[1],[0.9594299284221335],Bool[1],[0.92],[0.0],Bool[0],[0],[1.0],[0.92],[0.5347314074539362],[0.9745588918243367],[0],[0.5904778283416225],[0.6630790220375861],Bool[0],[0.8124504578496891],[0.27299199384597345],[4.7892720306513406],Bool[0],[0.0],Bool[0],[3.4997260000000014e6],[0.0],[0.6271636902547258],[3.41209e6],[0.0],[2.274636363636364e6],[0.7665164522557586],[0.0],[4.7892720306513406],Bool[1],[1.8628912071535018],[0.38],Bool[0],[1.8628912071535018],[1],[0.9757319431831902],[1.0],[0.6580983458860252],Bool[0],Bool[1],[0],[2.0054e6],[0],[2.0382983076923078e8],[0.2943106870512001],[0.0],[0.0],Bool[0],[0.7845413959474143],[2.274636363636364e6],[3.4173571428571483e6],[2],[2.710149024561038e-10],Bool[0],Bool[0],[0.351631756],[0.14],[7],Bool[0],[0.981109883591433],[0.0],[2.0054e6],[19],[0.9994502473886746],[3.3884642857142845e6],[0.4213517065357412],[0.52],[0.3487308],[7],[0.9596057516216859],[0.27345886108151624],[0],[7]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_1""]","String7[""F2_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","[""L0""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[1.0],[7],[2.498981e6],Bool[0],Bool[0],[0],[0.7290858629975017],[1.5627255e8],[2.0],[10],[2],[2.5102e6],[0.022626118005526275],[0.50016668],[0.5578161671202954],[0.8334536],[2.510205e6],[1.0],[10],[20],[0.9956210747727775],[0.9955286520423631],[0.7863135727479196],[1.875e8],[0.36],[0],Bool[0],[20],[2.5102e6],[0.4998425999999999],[1.5627255e8],[10],[0.9808502532074541],Bool[0],[0.98],[2.0],Bool[0],[0],[0.9974005060342281],[0.98],[0.6849807744501033],[0.9956275462076687],[0],[0.6460286765328606],[0.6825481509028997],Bool[0],[0.795026656859891],[0.17876896043776724],[4.7892720306513406],Bool[0],[0.5939999999999999],Bool[1],[2.510205e6],[0.5939999999999999],[0.7396882162209298],[2.499213e6],[0.523],[2.335333333333333e6],[1.3617447059904353],[1.0],[4.7892720306513406],Bool[0],[2.705627705627706],[0.2],Bool[0],[2.705627705627706],[20],[0.995535612225778],[1.0],[0.6755487149903803],Bool[0],Bool[0],[20],[2.3329333333333335e6],[0],[1.875e8],[0.6099667130531357],[2.0],[2.0],Bool[0],[1.364122628656726],[2.3329333333333335e6],[2.498675e6],[2],[0.7995334531301441],Bool[0],Bool[0],[0.50016668],[0.2],[7],Bool[1],[0.8334536],[0.523],[2.335333333333333e6],[10],[0.9974005060342281],[2.498675e6],[0.3661280059415881],[0.36],[0.4998425999999999],[7],[0.9930903949527413],[0.17876896043776724],[0],[7]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_2""]","String7[""F2_2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[7],[3.4217678873239444e6],Bool[0],Bool[0],[0],[0.6711502989099155],[2.00741e8],[0.0],[10],[3],[3.522042253521131e6],[0.023528056443318898],[0.35109468400000005],[0.02900329760510209],[1.0],[3.5179284507042277e6],[1.0],[1],[1],[0.9710074254646974],[0.972665571591988],[3.9521670035542854e-10],[2.0452436363636363e8],[0.42],[0],Bool[0],[0],[3.522042253521131e6],[0.347918],[2.0452436363636363e8],[0],[1.2361834753256589],Bool[0],[0.9],[0.0],Bool[0],[0],[0.9990002725899287],[0.9],[0.6634355278374292],[0.9710279846270035],[0],[0.6192679681099352],[0.6428322794617343],Bool[0],[0.78753696532773],[0.16552911961343844],[4.78927203065134],Bool[1],[0.0],Bool[0],[3.5179284507042277e6],[0.0],[0.49093890792730005],[3.415934647887324e6],[0.0],[2.3810952380952383e6],[1.4692650176227255],[0.0],[4.78927203065134],Bool[0],[2.6652452025586353],[0.22],Bool[0],[2.8473804100227786],[1],[0.9727323343868519],[1.0],[0.6338087192237366],Bool[0],Bool[0],[0],[2.1081578947368423e6],[0],[2.0452436363636363e8],[0.63660155015218],[0.0],[0.0],Bool[0],[1.4142634987514537],[2.3810952380952383e6],[3.445774647887329e6],[2],[3.920266827983892e-10],Bool[0],Bool[0],[0.351094684],[0.2],[7],Bool[1],[0.9815016481699447],[0.0],[2.1081578947368423e6],[11],[0.9849472720246568],[3.4127957746478794e6],[0.8186152475814877],[0.46],[0.34791799999999995],[7],[1.2432517614568814],[0.185782155870794],[0],[7]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_1""]","String7[""F2_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","[""L0""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[7],[2.50364e6],Bool[0],Bool[0],[0],[0.5424990961689571],[1.563132e8],[2.0],[10],[2],[2.509775e6],[0.021200967525091863],[0.5000799039999999],[0.3926599775668576],[0.8336704],[2.51023e6],[1.0],[10],[20],[0.9972138011257933],[0.9973747425534712],[1.048010658606853],[1.875e8],[0.36],[0],Bool[0],[20],[2.509775e6],[0.5006472],[1.563132e8],[10],[1.431613646505697],Bool[0],[0.96],[2.0],Bool[0],[0],[0.999342577126556],[0.96],[0.6397216362533691],[0.9972172741491147],[0],[0.6806826305756476],[0.3757050806716214],Bool[0],[0.9042800312271548],[0.257884394688783],[4.7892720306513406],Bool[0],[0.519],Bool[1],[2.51023e6],[0.519],[0.6927385808619196],[2.503236e6],[0.545],[2.3106e6],[1.4146649143570802],[0.0],[4.7892720306513406],Bool[0],[2.04582651391162],[0.2],Bool[0],[2.0424836601307184],[20],[0.9973782727859717],[1.0],[0.4130301449687698],Bool[0],Bool[0],[20],[2.478071428571428e6],[0],[1.875e8],[0.7760857329883966],[2.0],[2.0],Bool[0],[1.407392674324168],[2.478071428571428e6],[2.5025e6],[2],[1.043259965567683],Bool[0],Bool[0],[0.5000799039999999],[0.2],[7],Bool[1],[0.8336704],[0.545],[2.3106e6],[10],[0.9988182154682794],[2.502025e6],[0.5914741991956871],[0.4],[0.5006472],[7],[1.4338148154390729],[0.2573325494841257],[0],[7]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_2""]","String7[""F2_2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[7],[3.2038701538461554e6],Bool[0],Bool[0],[3],[0.25290072866744284],[2.0011476923076922e8],[0.0],[2],[3],[3.3081384615384643e6],[0.010105639613601902],[0.34846347200000005],[0.270447948337568],[0.9811623756213368],[3.320274461538465e6],[0.94],[1],[5],[0.967511860928642],[0.9649413598060284],[1.1398062156592336e-10],[2.0395843076923078e8],[0.42],[0],Bool[0],[0],[3.3081384615384643e6],[0.3439772],[2.0011633846153843e8],[1],[0.7739096797684709],Bool[1],[0.82],[0.0],Bool[0],[0],[0.9758828795994803],[0.82],[0.546397201654278],[0.9677928183690885],[0],[0.5753655635936521],[0.4861580839974035],Bool[0],[0.8651501503169035],[0.19352509902335666],[5.040322580645161],Bool[0],[0.0],Bool[0],[3.320274461538465e6],[0.0],[0.5941691744233462],[3.2124049230769253e6],[0.0],[2.6811785714285714e6],[1.0388502837632045],[0.0],[5.040322580645161],Bool[1],[2.6483050847457625],[0.2],Bool[0],[2.5510204081632653],[4],[0.9651416499980747],[0.94],[0.468180541226479],Bool[0],Bool[1],[0],[2.02035e6],[0],[2.0395843076923078e8],[0.8735473630511035],[0.0],[0.0],Bool[0],[1.0468743999816403],[2.6646333333333335e6],[3.165323076923077e6],[3],[1.0001004760478808e-10],Bool[0],Bool[0],[0.34846347200000005],[0.04],[7],Bool[0],[0.9811546817458578],[0.0],[2.02035e6],[10],[0.9773709034717901],[3.164861538461538e6],[0.8252497901784149],[0.38],[0.3439772],[7],[0.7880658813073276],[0.18638488123235747],[0],[7]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_1""]","String7[""F2_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","[""L0""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[7],[2.499662e6],Bool[0],Bool[0],[0],[0.68124502380625],[1.562047e8],[-2.0],[10],[2],[2.5104e6],[0.020730785609812282],[0.49991056800000006],[0.23954756483139497],[0.8330917333333333],[2.511972e6],[0.94],[10],[20],[0.995168735957248],[0.9950994676692256],[0.9943712790524721],[1.875e8],[0.18],[0],Bool[0],[20],[2.5104e6],[0.49996719999999994],[1.562047e8],[10],[0.8043125207727573],Bool[1],[0.84],[-2.0],Bool[0],[0],[0.9950107320752843],[0.84],[0.9878495864806441],[0.9951758414282099],[0],[0.9586861870671605],[0.38251772191338373],Bool[0],[0.8169152460087616],[0.32722800227364407],[4.7892720306513406],Bool[0],[0.42299999999999993],Bool[1],[2.511972e6],[0.42299999999999993],[0.6564286768284427],[2.499836e6],[0.507],[2.467785714285714e6],[1.4198231575892737],[0.0],[4.7892720306513406],Bool[0],[1.6108247422680408],[0.2],Bool[1],[1.6108247422680408],[20],[0.9951063623596101],[0.94],[0.4181367063183702],Bool[0],Bool[1],[20],[2.7826875e6],[0],[1.875e8],[0.4109553458746041],[-2.0],[-2.0],Bool[1],[1.4254389568284014],[2.7826875e6],[2.499875e6],[2],[0.9794475329952729],Bool[0],Bool[0],[0.49991056800000006],[0.2],[7],Bool[1],[0.8330917333333333],[0.507],[2.467785714285714e6],[10],[0.995219619624468],[2.500575e6],[0.2660995858552607],[0.22],[0.49996719999999994],[7],[0.8133051814748447],[0.32717519079539026],[0],[7]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_1""]","String7[""F2_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","[""L0""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[7],[2.502842e6],Bool[0],Bool[0],[2],[0.8179090894311812],[1.6874975e8],[2.0],[6],[2],[2.51265e6],[0.02096550004173522],[0.499834704],[0.4521242941789091],[0.8999986666666666],[2.513236e6],[0.98],[6],[20],[0.9956152148067272],[0.9958642960708823],[0.6139791969615741],[1.875e8],[0.16],[0],Bool[0],[20],[2.51265e6],[0.5004432],[1.6874975e8],[6],[1.2156026338869057],Bool[1],[0.86],[2.0],Bool[0],[2],[0.9967123642357886],[0.86],[0.5568561883448047],[0.995620603395792],[0],[0.5561850603629148],[0.6255053541086417],Bool[0],[0.8871718398910023],[0.3848483755870615],[4.7892720306513406],Bool[0],[0.4100000000000001],Bool[0],[2.513236e6],[0.4100000000000001],[0.46778423882211617],[2.502216e6],[0.529],[2.4835714285714286e6],[1.325489582266591],[0.0],[4.7892720306513406],Bool[1],[1.3412017167381975],[0.12],Bool[1],[1.3412017167381975],[20],[0.995868574194902],[0.98],[0.6068740308801928],Bool[0],Bool[1],[20],[2.48825e6],[0],[1.875e8],[0.5707846749555625],[2.0],[2.0],Bool[1],[1.3661258764774202],[2.48825e6],[2.50115e6],[2],[0.6142566045823967],Bool[0],Bool[1],[0.499834704],[0.12],[7],Bool[0],[0.8999986666666666],[0.529],[2.4835714285714286e6],[6],[0.9968582780127646],[2.50115e6],[0.7239314922563701],[0.16],[0.5004432],[7],[1.2111971480503758],[0.3849747422779836],[0],[7]
