U,A_j,alpha,threshold,mean_corr,median_corr,std_corr
0.6,1.5,0.5,0.1,0.394151872590313,0.3751144947187705,0.13681921521443743
0.3,1.5,0.5,0.1,0.3311245436898418,0.32952181171161266,0.12116248893996837
0.9,2.0,0.5,0.1,0.43944609502148635,0.43371419697802566,0.17072636136698505
0.6,2.0,0.5,0.1,0.3654497525081034,0.38365067688505605,0.13649162823206887
0.3,2.0,0.5,0.1,0.2882384076848409,0.2867608931905311,0.11318073436765988
0.9,2.5,0.5,0.1,0.4188433071701237,0.43140520814200706,0.17604127418041912
0.6,2.5,0.5,0.1,0.34275299637359025,0.338810491449434,0.1310732768774053
0.3,2.5,0.5,0.1,0.2714369181638836,0.26665652836382536,0.11963665905528645
0.9,3.0,0.5,0.1,0.3847626478989058,0.37453444898999466,0.16951685488155485
0.6,3.0,0.5,0.1,0.3325140001601475,0.309870927434753,0.13519952755900844
0.3,3.0,0.5,0.1,0.2502858856977223,0.23833096184938735,0.1095302989805287
0.9,3.5,0.5,0.1,0.4028214382575759,0.3897863195847804,0.17909891444296652
0.6,3.5,0.5,0.1,0.3088065224801748,0.27792321165839035,0.13839945432071005
0.3,3.5,0.5,0.1,0.24097453667507057,0.2263051181127924,0.11119099275909754
0.9,4.0,0.5,0.1,0.3660562627942943,0.3653069557698711,0.16084794602009914
0.6,4.0,0.5,0.1,0.2736296731488719,0.24953233421680618,0.13453682831522645
0.3,4.0,0.5,0.1,0.2372830101556634,0.2235678351664854,0.09598906090113551
0.9,4.5,0.5,0.1,0.31776081471347967,0.2838554494491802,0.16806461966028874
0.6,4.5,0.5,0.1,0.26406601332090723,0.25744650174121825,0.10974879687245867
0.3,4.5,0.5,0.1,0.19481474093941326,0.18580317912829925,0.08772301279648886
0.9,5.0,0.5,0.1,0.3086840424695703,0.28098531306203617,0.15313972565061462
0.6,5.0,0.5,0.1,0.24979542941360142,0.2297708555009047,0.11599206442742059
0.3,5.0,0.5,0.1,0.18845887590325824,0.18830169722604198,0.08837416960837205
0.9,0.0,0.75,0.1,-0.0032653447002879386,-0.00463791571383149,0.027377075426984386
0.6,0.0,0.75,0.1,-0.004742898374528082,-0.005892664435112237,0.025694651921862585
0.3,0.0,0.75,0.1,-0.002679009577342354,-0.006272382691018064,0.025562376718073456
0.9,0.5,0.75,0.1,0.5029521824325974,0.5343461643181633,0.16168922976817784
0.6,0.5,0.75,0.1,0.4472199781463808,0.4312610288347391,0.13756851309390403
0.3,0.5,0.75,0.1,0.40819949112994885,0.437399598402627,0.12701869858093462
0.9,1.0,0.75,0.1,0.4900869860331599,0.48529133298202515,0.17885651860089358
0.6,1.0,0.75,0.1,0.42016824363532884,0.42424856763655494,0.15191443987040168
0.3,1.0,0.75,0.1,0.36171071415784056,0.3593897603085864,0.12139606135743035
0.9,1.5,0.75,0.1,0.46071380781347737,0.445053644400109,0.18754705274965996
0.6,1.5,0.75,0.1,0.38989764454885695,0.39292308713431845,0.16203323881509404
0.3,1.5,0.75,0.1,0.3313256950311609,0.34609168783622346,0.1101415248102135
0.9,2.0,0.75,0.1,0.4429808873974775,0.4435821642652741,0.16141299142766513
0.6,2.0,0.75,0.1,0.33919358800593485,0.3309051584928867,0.126942361549538
0.3,2.0,0.75,0.1,0.2961317558688173,0.29574374189141506,0.11051062951307954
0.9,2.5,0.75,0.1,0.38743000021775553,0.3721838481194027,0.18701245845599618
0.6,2.5,0.75,0.1,0.3374193477995449,0.33661756430123296,0.13424297008299785
0.3,2.5,0.75,0.1,0.2786808983706114,0.2714658868271221,0.11574445844448572
0.9,3.0,0.75,0.1,0.3933193085962008,0.3827880830096887,0.16051158530545848
0.6,3.0,0.75,0.1,0.3065823761200744,0.29670111457681647,0.13599902249925902
0.3,3.0,0.75,0.1,0.2467825743284096,0.23468993815477582,0.11955685952616317
0.9,3.5,0.75,0.1,0.3653140477819469,0.36116825105143596,0.17072989387255744
0.6,3.5,0.75,0.1,0.2899462170026579,0.2730197190849202,0.12658772097022641
