X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_med_pos,prop_qual_n_winning_parties,plur_util_winner_avg,prop_qual_min_govt_unstable,prop_qual_condorcet_winner,prop_strict_min_govt_size,spat_char_corr4,prop_strict_util_winner,major_qual_med_pos,prop_strict_unanimity,prop_qual_coalition_size,plur_util_max_med,prop_gallagher_index,tangian_adj_pop_parties,spat_char_corr5,prop_qual_util_eff,major_util_max_avg,major_cond_eff,prop_strict_nonzero_pos,major_qual_nonzero_pos,major_vse,plur_vse,spat_med_entropy1,prop_strict_util_max,major_util_max_elec_rate,major_cond_paradox,prop_qual_elec_failed,major_strict_nonzero_pos,major_util_max_med,tangian_raw_pop_body,prop_qual_util_winner,prop_qual_nonzero_pos,spat_med_entropy3,prop_strict_cond_paradox,plur_smith_eff,major_strict_med_pos,prop_strict_util_maxer_elected,prop_qual_min_govt_size,plur_util_eff_med,plur_cond_eff,spat_med_entropy2,major_util_eff_avg,plur_cond_paradox,spat_avg_entropy2,spat_med_entropy5,prop_strict_min_govt_unstable,spat_agg_dist_corr,plur_gallagher_index,prop_qual_n_parties_eff,prop_qual_util_maxer_elected,tangian_raw_uni_parties,prop_qual_single_party_win,plur_util_max_avg,tangian_adj_uni_parties,spat_char_corr2,major_util_winner_avg,tangian_adj_uni_body,plur_qual_social_util,spat_med_entropy4,prop_qual_med_pos,prop_strict_n_parties_eff,prop_strict_min_govt_elected,major_n_parties_eff,prop_qual_unanimity_rate,prop_qual_winner_smith,plur_n_parties_eff,plur_qual_nonzero_pos,plur_util_eff_avg,major_smith_eff,spat_avg_entropy5,prop_strict_elec_failed,prop_strict_winner_smith,plur_strict_nonzero_pos,major_strict_social_util,major_n_winning_parties,prop_qual_util_max,spat_char_corr3,plur_qual_med_pos,plur_strict_med_pos,prop_qual_cond_paradox,spat_avg_entropy4,major_qual_social_util,plur_util_winner_med,prop_strict_coalition_size,spat_avg_entropy1,prop_strict_condorcet_winner,prop_qual_min_govt_elected,tangian_raw_pop_parties,prop_strict_unanimity_rate,prop_strict_n_parties,prop_strict_single_party_win,prop_strict_util_eff,tangian_raw_uni_body,plur_strict_social_util,prop_qual_unanimity,major_util_eff_med,major_util_winner_med,spat_char_corr1,plur_util_max_elec_rate,tangian_adj_pop_body,prop_strict_n_winning_parties,spat_avg_entropy3,major_gallagher_index,plur_n_winning_parties,prop_qual_n_parties,prop_true_gallagher_index,maj_true_gallagher_index,plur_true_gallagher_index
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_1""]","String7[""F1_2""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L2""]","String3[""L_1""]","String3[""M_2""]","String7[""N1_1""]",[0.0],[3],[4.12778525e6],Bool[0],Bool[0],[0],[0.010074455523827519],[2.0626682432432434e8],[0.0],[20],[1],[4.19664375e6],[0.013864789965067273],[0.4258192],[-0.005613515584257518],[0.9384902339495295],[4.19902775e6],[0.82],[4],[0],[0.9868856546613678],[0.983033572474009],[1.913454959802369e-10],[2.1978579729729724e8],[0.52],[0],Bool[0],[0],[4.19664375e6],[0.474458],[2.0626682432432434e8],[4],[1.0280382334847518e-10],Bool[0],[0.64],[0.0],Bool[0],[0],[0.9977850531361512],[0.64],[1.7276525068381026e-10],[0.9868629657037096],[0],[3.038832566497469e-10],[2.3562415434202576e-10],Bool[0],[-0.01305343243024433],[0.2522437499245522],[1.8684603886397613],Bool[0],[0.614],Bool[1],[4.19902775e6],[0.614],[0.017168436224810058],[4.14396025e6],[0.762],[2.7944e6],[1.6072015983401246e-10],[0.0],[1.8684603886397613],Bool[0],[1.0407993338884265],[0.4],Bool[0],[1.0407993338884265],[0],[0.9830013342992381],[0.82],[3.4067394088371923e-10],Bool[0],Bool[1],[0],[2.7944e6],[2],[2.1978579729729724e8],[-0.01809002614189035],[0.0],[0.0],Bool[0],[2.6072050331689133e-10],[2.7944e6],[4.1302875e6],[1],[3.0208688830614875e-10],Bool[1],Bool[0],[0.42581920000000006],[0.4],[3],Bool[1],[0.9384902339495295],[0.762],[2.7944e6],[20],[1.0],[4.18475e6],[-0.03552630576373111],[0.4],[0.474458],[3],[2.0696413127041342e-10],[0.2522437499245522],[2],[3],[0.011580560262785209],[0.2522437499245522],[0.2522437499245522]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String7[""C1_1""]","String7[""D1_3""]","String7[""F1_3""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L3""]","String3[""L_1""]","String3[""M_1""]","String7[""N1_2""]",[0.0],[3],[4.0317510963455094e6],Bool[0],Bool[0],[2],[-0.1226529338998464],[2.2216369924812037e8],[-1.0],[1],[2],[4.0925797342192554e6],[0.005059503902238019],[0.196653348],[0.04784884436593695],[0.9957430406226825],[4.064952956810627e6],[0.96],[1],[19],[0.992100794111669],[0.9918321661239672],[1.1452541108466756e-10],[2.2216369924812037e8],[0.66],[0],Bool[0],[0],[4.0925797342192554e6],[0.220475],[2.192199396226415e8],[5],[1.494547269120308],Bool[1],[0.92],[0.0],Bool[1],[0],[1.0],[0.92],[0.5016327974311091],[0.9919275773027743],[0],[0.5016319118891295],[0.6931471805415529],Bool[0],[-0.04303274773692128],[0.25918244301649757],[2.735229759299781],Bool[0],[0.0],Bool[0],[4.064952956810627e6],[0.0],[-0.009948912706905693],[4.0328430564784e6],[0.0],[3.60225e6],[1.402177059400592],[0.0],[2.735229759299781],Bool[1],[2.7114967462039044],[0.26],Bool[0],[2.7233115468409586],[20],[0.9916601969696661],[0.96],[0.6931471803211331],Bool[0],Bool[1],[0],[3.117478873239437e6],[3],[2.201571396226415e8],[-0.004157443887886667],[-1.0],[0.0],Bool[0],[1.402178017325272],[3.589317880794702e6],[4.0343521594684245e6],[2],[1.1452469171104972e-10],Bool[0],Bool[0],[0.19665334800000003],[0.02],[3],Bool[0],[1.0],[0.0],[3.117478873239437e6],[13],[1.0],[4.041093023255798e6],[0.009049577867195843],[0.68],[0.22047500000000003],[3],[1.494548908690569],[0.25163262659679086],[3],[3],[0.009449802537619512],[0.25163262659679086],[0.25918244301649757]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_1""]","String7[""F1_2""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L3""]","String3[""L_1""]","String3[""M_2""]","String7[""N1_1""]",[0.0],[2],[4.102371e6],Bool[0],Bool[0],[0],[-0.03794117999271374],[2.079081690140845e8],[0.0],[20],[1],[4.195325e6],[0.0014262626262626502],[0.46612770400000003],[0.2116393910278887],[0.9517166964145027],[4.212628e6],[0.74],[3],[0],[0.9771528603997315],[0.973827026739603],[2.393892694305211e-10],[2.1845594366197175e8],[0.36],[0],Bool[0],[0],[4.195325e6],[0.4672006],[2.079081690140845e8],[3],[1.093425619555006e-10],Bool[0],[0.58],[0.0],Bool[0],[0],[0.984645647483924],[0.58],[1.4306216569608127e-10],[0.9772854995686674],[0],[1.9473927260278146e-10],[1.6467348977247826e-10],Bool[0],[0.20590396588429513],[0.2600157917973445],[1.3676148796498908],Bool[0],[0.738],Bool[1],[4.212628e6],[0.738],[0.1557644301915873],[4.1163815e6],[0.741],[2.73285e6],[1.0892492591706864e-10],[0.0],[1.3676148796498908],Bool[0],[1.0407993338884265],[0.4],Bool[0],[1.0407993338884265],[0],[0.9740084198671984],[0.74],[2.267047626531041e-10],Bool[0],Bool[1],[0],[2.73285e6],[2],[2.1845594366197175e8],[0.10636995587115226],[0.0],[0.0],Bool[0],[1.676157875413308e-10],[2.73285e6],[4.12583125e6],[1],[2.878789396358702e-10],Bool[1],Bool[0],[0.466127704],[0.4],[3],Bool[1],[0.9517166964145027],[0.741],[2.73285e6],[20],[0.9854568144988736],[4.12741875e6],[0.1400968037376603],[0.38],[0.46720059999999997],[2],[2.247788860568911e-10],[0.2597890913491173],[2],[3],[0.16139508042068693],[0.2597890913491173],[0.2600157917973445]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String7[""C1_1""]","String7[""D1_3""]","String7[""F1_3""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L1""]","String3[""L_1""]","String3[""M_2""]","String7[""N1_2""]",[0.0],[3],[3.8095554109589052e6],Bool[0],Bool[0],[0],[0.06701618311722331],[1.9746735684647304e8],[1.0],[20],[1],[3.8977739726027474e6],[0.006633413239578849],[0.22077236],[0.04896163539240306],[0.8921675167944473],[3.8542356849315083e6],[1.0],[9],[20],[0.9897929765617585],[0.9884074878588031],[1.1452212438326437e-10],[2.2133439419087136e8],[0.76],[0],Bool[0],[0],[3.8977739726027474e6],[0.19958219999999996],[1.9746735684647304e8],[9],[1.508146259813865],Bool[0],[0.94],[0.0],Bool[0],[0],[1.0],[0.94],[0.6124023576717985],[0.989438884678087],[0],[0.6124038872619831],[0.693147180317043],Bool[0],[0.047431582202622155],[0.29323869070775777],[2.6652452025586357],Bool[0],[0.0],Bool[1],[3.8542356849315083e6],[0.0],[0.008300409684060405],[3.8148954109589052e6],[0.0],[3.543489795918368e6],[1.549228426345297],[0.0],[2.6652452025586357],Bool[0],[2.6205450733752618],[0.4],Bool[0],[2.6371308016877633],[20],[0.9881755745265423],[1.0],[0.6931471799971117],Bool[0],Bool[1],[0],[3.295319444444444e6],[3],[2.2133439419087136e8],[-0.03200935182058874],[1.0],[0.0],Bool[0],[1.5492274113225235],[3.089683673469388e6],[3.889150684931515e6],[1],[1.1452253375577995e-10],Bool[1],Bool[0],[0.22077236],[0.4],[3],Bool[1],[0.8921675167944473],[0.0],[3.295319444444444e6],[20],[1.0],[3.889150684931515e6],[-0.0059449251698342],[0.76],[0.19958219999999996],[3],[1.5081476448356375],[0.2966732372965246],[3],[3],[0.003459729469192664],[0.2966732372965246],[0.29323869070775777]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_1""]","String7[""F1_2""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L1""]","String3[""L_2""]","String3[""M_1""]","String7[""N1_1""]",[0.0],[3],[3.926857922077768e6],Bool[0],Bool[0],[2],[0.11995895041931134],[2.0789457746478868e8],[0.0],[5],[2],[4.0941428571426542e6],[0.007975261751190343],[0.355085168],[0.0483042690792455],[1.0],[4.0615181818179917e6],[0.66],[3],[0],[0.9766596138799148],[0.9668448462589554],[1.6793834362993678e-10],[2.184477605633802e8],[0.56],[0],Bool[0],[0],[4.0941428571426542e6],[0.438231],[2.184477605633802e8],[0],[9.78741756969341e-11],Bool[1],[0.54],[0.0],Bool[0],[0],[0.9990496285717577],[0.54],[1.9571344868432416e-10],[0.976502270317515],[0],[3.0671963954142125e-10],[1.206497666083394e-10],Bool[0],[0.0984183773455343],[0.12453232993885563],[2.9904306220095696],Bool[1],[0.39999999999999997],Bool[0],[4.0615181818179917e6],[0.39999999999999997],[0.005001943115344629],[3.9667207792206137e6],[0.6530000000000001],[2.7626e6],[1.986964168336456e-10],[0.0],[2.9904306220095696],Bool[1],[1.3904338153503895],[0.34],Bool[0],[1.4518002322880375],[0],[0.967027975567348],[0.66],[1.771906526970521e-10],Bool[0],Bool[1],[0],[2.7626e6],[3],[2.184477605633802e8],[0.1282544121700358],[0.0],[0.0],Bool[0],[2.382646384504939e-10],[2.7626e6],[3.9651298701297343e6],[2],[2.595767322239916e-10],Bool[0],Bool[0],[0.355085168],[0.1],[3],Bool[0],[0.9516901291577688],[0.6530000000000001],[2.7626e6],[17],[1.0],[4.0237922077920455e6],[0.06902302849661177],[0.46],[0.438231],[3],[1.2371903073616478e-10],[0.1434137413220923],[3],[3],[0.2740742621991346],[0.1434137413220923],[0.12453232993885563]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String7[""C1_1""]","String7[""D1_3""]","String7[""F1_3""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L2""]","String3[""L_1""]","String3[""M_2""]","String7[""N1_2""]",[0.0],[2],[3.8554302456140285e6],Bool[0],Bool[0],[0],[-0.05174237301857746],[2.066224600760456e8],[1.0],[20],[1],[3.9235087719298154e6],[0.009119012926369963],[0.230421272],[-0.051308855008214756],[0.9353446536086398],[3.905576912280693e6],[1.0],[9],[20],[0.992706318239913],[0.987160240908588],[1.1452387915677979e-10],[2.2375131178707224e8],[0.78],[0],Bool[0],[0],[3.9235087719298154e6],[0.209866],[2.0741109541984734e8],[9],[1.5329883890614044],Bool[0],[0.84],[0.0],Bool[0],[0],[1.0],[0.84],[0.5079009424542571],[0.9924627083817228],[0],[0.507899813897043],[0.6931471804344103],Bool[0],[-0.07134686485571344],[0.31277325335776396],[1.6254876462938883],Bool[0],[0.0],Bool[1],[3.905576912280693e6],[0.0],[-0.0367676259631239],[3.8770908771929746e6],[0.0],[3.5143677419354836e6],[1.20980605971376],[0.0],[1.6254876462938883],Bool[0],[2.6371308016877633],[0.4],Bool[0],[2.5354969574036508],[20],[0.9871375307652589],[1.0],[0.6931471801820186],Bool[0],Bool[1],[0],[3.1743571428571427e6],[3],[2.217483091603053e8],[-0.00981210200098531],[1.0],[0.0],Bool[0],[1.2098085072935325],[3.351803149606299e6],[3.894682456140342e6],[1],[1.145234521577158e-10],Bool[1],Bool[0],[0.23042127199999998],[0.4],[3],Bool[1],[0.9234469216103327],[0.0],[3.1743571428571427e6],[20],[1.0],[3.916498245614034e6],[-0.021665328253086924],[0.7],[0.209866],[2],[1.532988414733345],[0.29203751131661154],[3],[3],[0.24739358927829957],[0.29203751131661154],[0.31277325335776396]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_1""]","String7[""F1_2""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L2""]","String3[""L_2""]","String3[""M_1""]","String7[""N1_1""]",[0.0],[3],[3.90123025e6],Bool[0],Bool[0],[2],[0.04636855968219331],[2.095384875e8],[0.0],[4],[2],[4.19521875e6],[0.007621493816831469],[0.32233187999999996],[0.008777809896364135],[1.0],[4.18816325e6],[0.14],[4],[0],[0.9480290077040335],[0.9314895378063403],[2.712622600631354e-10],[2.220503875e8],[0.24],[0],Bool[0],[0],[4.19521875e6],[0.4288826],[2.220503875e8],[0],[8.729287955358085e-11],Bool[1],[0.1],[0.0],Bool[0],[0],[0.9411163653511923],[0.1],[2.1559902090135032e-10],[0.9484303653176879],[0],[3.23254489151008e-10],[9.11486532595386e-11],Bool[0],[0.19742650258808644],[0.11628913015411203],[2.983293556085919],Bool[1],[0.30000000000000004],Bool[0],[4.18816325e6],[0.30000000000000004],[0.11985438059544583],[3.97050025e6],[0.623],[2.75195e6],[1.6713176032369886e-10],[0.0],[2.983293556085919],Bool[1],[1.2242899118511263],[0.32],Bool[0],[1.4988009592326137],[0],[0.9318206709058211],[0.14],[1.3216056914596512e-10],Bool[0],Bool[1],[0],[2.75195e6],[3],[2.220503875e8],[0.19968650407257812],[0.0],[0.0],Bool[0],[2.411504208589397e-10],[2.75195e6],[3.91044375e6],[2],[4.1536381932277416e-10],Bool[0],Bool[0],[0.32233188],[0.08],[3],Bool[0],[0.9436528792367003],[0.623],[2.75195e6],[16],[0.9562166617000858],[3.9984875e6],[0.062060832349871455],[0.18],[0.4288826],[3],[1.4219745918467815e-10],[0.1912137071237311],[3],[3],[0.27825679109771967],[0.1912137071237311],[0.11628913015411203]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String7[""C1_1""]","String7[""D1_3""]","String7[""F1_3""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L3""]","String3[""L_1""]","String3[""M_2""]","String7[""N1_2""]",[0.0],[2],[3.963634750830559e6],Bool[0],Bool[0],[0],[0.1967931432697525],[2.055957081712062e8],[-1.0],[20],[1],[4.0335299003322185e6],[0.0028460170998052814],[0.22733870399999995],[-0.0735373415613725],[0.9336668043362361],[4.0369920930232513e6],[0.94],[12],[19],[0.9910638049305186],[0.981828712937172],[1.1452390746549705e-10],[2.2214815953307396e8],[0.6],[0],Bool[0],[0],[4.0335299003322185e6],[0.2165802],[2.055957081712062e8],[12],[1.4776396752627994],Bool[0],[0.8],[0.0],Bool[0],[0],[0.9992853887899255],[0.8],[0.6056361883110075],[0.9909385211881536],[0],[0.6056350497752393],[0.693147180520768],Bool[0],[0.20865556573886557],[0.2814193625179334],[1.6254876462938883],Bool[0],[0.0],Bool[1],[4.0369920930232513e6],[0.0],[0.08746972459134149],[4.0009167441860414e6],[0.0],[3.6114968152866242e6],[1.3924287296366247],[0.0],[1.6254876462938883],Bool[0],[2.900232018561485],[0.4],Bool[0],[2.587991718426501],[20],[0.9818606225378304],[0.94],[0.6931471802762712],Bool[0],Bool[1],[0],[3.148905405405405e6],[3],[2.20202439688716e8],[0.19567844562325876],[-1.0],[0.0],Bool[0],[1.392428472811468],[3.49403875968992e6],[3.9807225913621234e6],[1],[1.1452402497561478e-10],Bool[1],Bool[0],[0.227338704],[0.4],[3],Bool[1],[0.9254891357341928],[0.0],[3.148905405405405e6],[20],[1.0],[4.0211079734219257e6],[-0.03197622192472374],[0.5],[0.2165802],[2],[1.4776411159335663],[0.19318814042274957],[3],[3],[0.23897124847981188],[0.19318814042274957],[0.2814193625179334]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_1""]","String7[""F1_2""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L3""]","String3[""L_2""]","String3[""M_1""]","String7[""N1_1""]",[0.0],[3],[3.8685916883115377e6],Bool[0],Bool[0],[2],[0.04400117249228671],[2.1493430985915488e8],[0.0],[5],[2],[4.223324675324446e6],[0.008651218642480406],[0.359145284],[0.1296250947532036],[0.9838416517199183],[4.222265974025747e6],[0.08],[1],[0],[0.9290772899441583],[0.9162359055801035],[3.6900026462448266e-10],[2.1845943661971825e8],[0.12],[0],Bool[0],[0],[4.223324675324446e6],[0.4267138],[2.1492949295774642e8],[1],[2.651435243549269e-10],Bool[1],[0.06],[0.0],Bool[0],[0],[0.9263293700320407],[0.06],[3.0095447504030123e-10],[0.9294427131108937],[0],[3.4882888791971675e-10],[1.0263336822674746e-10],Bool[0],[0.2332330668380903],[0.0260681970224256],[2.969121140142518],Bool[0],[0.41200000000000003],Bool[0],[4.222265974025747e6],[0.41200000000000003],[0.02298513725278082],[3.9228114285712726e6],[0.618],[2.76175e6],[1.2954543578573454e-10],[0.0],[2.969121140142518],Bool[1],[1.4484356894553885],[0.36],Bool[0],[2.025931928687196],[0],[0.9164587521301891],[0.08],[2.8654237182929957e-10],Bool[0],Bool[1],[0],[2.76175e6],[3],[2.1845943661971825e8],[0.18560404852789283],[0.0],[0.0],Bool[0],[1.7339196464098567e-10],[2.76175e6],[3.903759740259586e6],[2],[4.937246663008869e-10],Bool[0],Bool[0],[0.359145284],[0.1],[3],Bool[0],[0.9838637011286461],[0.618],[2.76175e6],[18],[0.9391421356204279],[3.968909090908909e6],[0.12213821068339555],[0.1],[0.4267138],[3],[4.841524286736822e-10],[0.13759662385393037],[3],[3],[0.2970985541802585],[0.13759662385393037],[0.0260681970224256]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_1""]","String7[""F1_2""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L1""]","String3[""L_2""]","String3[""M_2""]","String7[""N1_1""]",[0.0],[2],[4.0306245e6],Bool[0],Bool[0],[0],[0.38627976705723277],[2.1446259740259737e8],[0.0],[20],[1],[4.18343125e6],[0.012807999999999958],[0.43565279999999995],[0.25246525586571456],[0.9850867533384795],[4.141904e6],[0.58],[2],[0],[0.978037395362133],[0.9731332498290641],[3.0672646130819605e-10],[2.1770935064935058e8],[0.48],[0],Bool[0],[0],[4.18343125e6],[0.4500716],[2.1446259740259737e8],[2],[1.9635239094986597e-10],Bool[0],[0.46],[0.0],Bool[0],[0],[0.9866139024754554],[0.46],[6.906399677337594e-11],[0.9782845463059954],[0],[1.1951281004613676e-10],[2.611144517897947e-10],Bool[0],[0.47356824742998926],[0.22962912606200458],[1.7241379310344829],Bool[0],[0.645],Bool[1],[4.141904e6],[0.645],[0.06536240898223268],[4.050937e6],[0.688],[2.7485e6],[1.214922431105149e-10],[0.0],[1.7241379310344829],Bool[0],[1.0407993338884265],[0.4],Bool[0],[1.1291779584462511],[0],[0.9731542181712467],[0.58],[3.116806735557699e-10],Bool[0],Bool[1],[0],[2.7485e6],[2],[2.1770935064935058e8],[0.16517187874230527],[0.0],[0.0],Bool[0],[2.39053734384753e-10],[2.7485e6],[4.0694125e6],[1],[7.673106586084395e-10],Bool[1],Bool[0],[0.43565279999999995],[0.4],[3],Bool[1],[0.9850867533384795],[0.688],[2.7485e6],[20],[0.9997471682734074],[4.065375e6],[0.3186099153085601],[0.42],[0.4500716],[2],[3.2993714583338535e-10],[0.2637546123501919],[3],[3],[0.15729594888616807],[0.2637546123501919],[0.22962912606200458]
