"String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","String7[""C3_2""]","String7[""D3_2""]","String7[""F3_2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L_3""]","String3[""M_1""]","String7[""N3_1""]",[0.0],[3],[3.0626446428571427e6],Bool[0],Bool[0],[2],[0.179840968536983],[1.9218632692307687e8],[0.0],[4],[2],[3.2505982142857267e6],[0.0008287629335340715],[0.36308518000000006],[0.005669917834811861],[0.9499121895828462],[3.2604575e6],[0.76],[1],[2],[0.9509350188695036],[0.9393297237756182],[1.0072891281870702],[1.9218632692307687e8],[0.24],[0],Bool[0],[0],[3.2505982142857267e6],[0.36151160000000004],[1.8256013461538464e8],[3],[1.4179583352335459],Bool[1],[0.52],[0.0],Bool[1],[0],[0.9533526250315093],[0.52],[0.9158387443644393],[0.9517163946819136],[0],[0.8606148245511435],[0.6055998471761009],Bool[0],[0.1968469965058569],[0.03330620290576515],[2.723311546840958],Bool[0],[0.0],Bool[0],[3.2604575e6],[0.0],[0.1790248271203104],[3.1004832142857146e6],[0.0],[2.7695e6],[1.3318556042231071],[0.0],[2.723311546840958],Bool[1],[2.4177949709864603],[0.28],Bool[0],[2.759381898454746],[2],[0.9401221059891776],[0.76],[0.549163669164931],Bool[0],Bool[1],[0],[2.19025e6],[3],[1.9218632692307687e8],[0.0920397399135224],[0.0],[0.0],Bool[0],[1.3060288540449625],[2.7324e6],[3.081633928571428e6],[2],[0.9872012822860021],Bool[0],Bool[0],[0.36308518],[0.08],[3],Bool[0],[1.0],[0.0],[2.19025e6],[14],[0.9630787689691485],[3.0864553571428484e6],[-0.011265398554585786],[0.16],[0.36151160000000004],[3],[1.3662303031368472],[0.06278617006953048],[3],[3],[0.048892771981142565],[0.06278617006953048],[0.03330620290576515]
"String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","String3[""L_2""]","String3[""M_1""]","String7[""N3_2""]",[0.0],[6],[3.031202603550296e6],Bool[0],Bool[0],[2],[0.3281625588998179],[2.0149425287356317e8],[1.0],[2],[2],[3.2783639053254398e6],[0.01790857156419628],[0.202673936],[0.010370542905468065],[0.9450433907257739],[3.2757197633136082e6],[0.42857142857142855],[2],[19],[0.924129163789723],[0.9253546770081555],[0.9455014935169832],[2.08634816091954e8],[0.18],[1],Bool[0],[0],[3.2783639053254398e6],[0.2106514],[1.9716895402298847e8],[5],[1.3823595567056868],Bool[1],[0.3],[0.0],Bool[0],[0],[0.9249222212176716],[0.2857142857142857],[0.936782385097064],[0.9246536214567374],[1],[0.9055073005532793],[0.4714498853107215],Bool[0],[0.3983280444966893],[0.11674631547076764],[4.921259842519685],Bool[0],[0.0],Bool[0],[3.2757197633136082e6],[0.0],[0.351402103984165],[3.027188165680474e6],[0.0],[2.9590315789473685e6],[1.332135613512777],[0.0],[4.921259842519685],Bool[1],[4.646840148698884],[0.22],Bool[0],[4.208754208754209],[20],[0.9262129989827611],[0.44],[0.4567388842093254],Bool[0],Bool[1],[0],[2.9749019607843137e6],[6],[2.08634816091954e8],[0.2050544995635069],[1.0],[0.0],Bool[0],[1.329701054172237],[2.854673913043478e6],[3.0241065088757426e6],[2],[0.9020413909552443],Bool[0],Bool[0],[0.202673936],[0.04],[7],Bool[0],[0.9657748243934335],[0.0],[2.9749019607843137e6],[11],[0.9208316237630481],[3.0121094674556246e6],[0.09883325239463885],[0.16],[0.2106514],[6],[1.339618817902809],[0.06734999759465475],[6],[7],[0.06579682496899071],[0.06734999759465475],[0.11674631547076764]
"String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","String7[""C3_1""]","String7[""D3_2""]","String7[""F3_1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","String3[""L_1""]","String3[""M_2""]","String7[""N3_2""]",[0.0],[4],[2.501895e6],Bool[0],Bool[0],[0],[0.297869736483165],[1.513010526315791e8],[2.0],[10],[2],[2.5114e6],[0.009042080676690307],[0.49987335200000005],[0.18985107684611885],[0.821348571428571],[2.511763e6],[0.36],[10],[20],[0.9956954537510108],[0.9960712853879924],[0.9687193389621016],[1.8421052631578976e8],[0.12],[0],Bool[0],[20],[2.5114e6],[0.5001902],[1.513010526315791e8],[10],[1.2441300935264676],Bool[0],[0.24],[2.0],Bool[0],[0],[0.9966299031053922],[0.24],[0.9844008890269906],[0.9956980451590602],[0],[0.9368794422666197],[0.5828044397157254],Bool[0],[0.44807517886883735],[0.04901371759007881],[3.894080996884735],Bool[0],[0.44],Bool[0],[2.511763e6],[0.44],[0.1976228170418501],[2.500951e6],[0.504],[2.646058823529412e6],[1.376127027198295],[0.0],[3.894080996884735],Bool[0],[5.656108597285067],[0.2],Bool[0],[6.009615384615385],[20],[0.996073797875808],[0.36],[0.536363654936806],Bool[0],Bool[0],[20],[2.4996875e6],[7],[1.8421052631578976e8],[0.3640799795396383],[2.0],[2.0],Bool[0],[1.338566720027825],[2.4996875e6],[2.500825e6],[2],[0.9077299185757147],Bool[0],Bool[0],[0.49987335200000005],[0.2],[7],Bool[0],[0.821348571428571],[0.504],[2.646058823529412e6],[10],[0.9959383902827794],[2.50065e6],[0.09876510203156597],[0.14],[0.5001902],[4],[1.247297206728211],[0.062497556048216794],[7],[7],[0.1345642765075486],[0.062497556048216794],[0.04901371759007881]
"String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","String7[""C3_2""]","String7[""D3_2""]","String7[""F3_2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L_3""]","String3[""M_1""]","String7[""N3_1""]",[0.0],[5],[3.064438214285712e6],Bool[0],Bool[0],[2],[0.2105920601229082],[1.8886805263157892e8],[0.0],[4],[2],[3.1939642857142817e6],[0.014982930020526693],[0.3576809],[0.08312379580869599],[0.9563784818658901],[3.206351071428572e6],[0.96],[3],[0],[0.9749365739849131],[0.955740075250203],[0.9256275274866228],[2.0210289473684204e8],[0.52],[0],Bool[0],[0],[3.1939642857142817e6],[0.3637984],[1.9328685964912277e8],[2],[1.3732520624999798],Bool[1],[0.74],[0.0],Bool[0],[0],[0.9767634095560838],[0.74],[0.8607414904195296],[0.9748483295969389],[0],[0.8403480588276504],[0.6575634961333114],Bool[0],[0.4269547500782809],[0.11253547707278805],[3.8226299694189594],Bool[0],[0.0],Bool[0],[3.206351071428572e6],[0.0],[0.18310424462948074],[3.1259889285714272e6],[0.0],[2.634894736842105e6],[1.3449959982347257],[0.0],[3.8226299694189594],Bool[1],[1.9142419601837672],[0.32],Bool[0],[2.115059221658206],[1],[0.9558120106859278],[0.96],[0.6020823475751202],Bool[0],Bool[1],[0],[2.4546875e6],[5],[2.0210289473684204e8],[0.48337800295346417],[0.0],[0.0],Bool[0],[1.3294302887607867],[2.4546875e6],[3.0272857142857146e6],[2],[0.8868004646907187],Bool[0],Bool[0],[0.35768089999999997],[0.08],[5],Bool[0],[0.9345143367565507],[0.0],[2.4546875e6],[16],[1.0],[3.101428571428569e6],[0.17885698100538314],[0.36],[0.3637984],[5],[1.3205789379968746],[0.13040273616761267],[5],[5],[0.14429273578389173],[0.13040273616761267],[0.11253547707278805]
"String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","String7[""C3_1""]","String7[""D3_2""]","String7[""F3_1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","String3[""L_2""]","String3[""M_1""]","String7[""N3_2""]",[0.0],[3],[2.369524210526313e6],Bool[0],Bool[0],[0],[0.3910938331583717],[1.5127321052631593e8],[2.0],[10],[2],[2.3766052631578892e6],[0.010422047399623532],[0.4999206879999999],[0.06860254019339021],[0.9385974680452323],[2.377094736842102e6],[0.9],[10],[20],[0.9967381677766765],[0.9968152189315577],[0.8775214772085435],[1.6116942105263156e8],[0.3],[0],Bool[0],[20],[2.3766052631578892e6],[0.5001747999999999],[1.5127321052631593e8],[10],[1.3240494978516182],Bool[0],[0.76],[2.0],Bool[0],[0],[0.9972083674548202],[0.76],[0.7795836772404838],[0.996742476545046],[0],[0.7775876807985531],[0.6218316668603316],Bool[0],[0.47829194470662617],[0.0895853151359083],[2.7533039647577096],Bool[0],[0.42200000000000004],Bool[0],[2.377094736842102e6],[0.42200000000000004],[0.28356140349539694],[2.3693410526315775e6],[0.505],[2.673866666666667e6],[1.3218533030553132],[0.0],[2.7533039647577096],Bool[0],[2.23613595706619],[0.2],Bool[0],[2.413127413127413],[20],[0.996820108326867],[0.9],[0.5698759028304121],Bool[0],Bool[0],[20],[2.3310666666666665e6],[3],[1.6116942105263156e8],[0.2529838804681635],[0.0],[0.0],Bool[0],[1.2976586926538665],[2.3310666666666665e6],[2.369342105263155e6],[2],[0.8438686832409356],Bool[0],Bool[0],[0.4999206879999999],[0.2],[3],Bool[0],[0.9385974680452323],[0.505],[2.673866666666667e6],[10],[0.9968784339044325],[2.3687368421052545e6],[0.2689180127987466],[0.34],[0.5001747999999999],[3],[1.3171799328729077],[0.07569523557001456],[3],[3],[0.07426391242050207],[0.07569523557001456],[0.0895853151359083]
"String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","String3[""L_2""]","String3[""M_2""]","String7[""N3_2""]",[0.0],[3],[3.1049188505746983e6],Bool[0],Bool[0],[0],[0.269792627040951],[1.7017821768707484e8],[-1.0],[20],[1],[3.192206896551711e6],[0.011963258419009443],[0.213638344],[0.11614482420006511],[0.8548463520158063],[3.1829777011494064e6],[0.8],[14],[19],[0.9785410220589373],[0.9754761553791218],[0.9395095548321066],[2.0252323809523812e8],[0.6],[0],Bool[0],[0],[3.192206896551711e6],[0.21274879999999996],[1.6902836486486486e8],[14],[1.3167494963528388],Bool[0],[0.74],[0.0],Bool[0],[0],[1.0],[0.74],[0.8392187997543403],[0.9787613742490215],[0],[0.7840450579724407],[0.5276258322438685],Bool[0],[0.49664620130879983],[0.07828369700007784],[2.598752598752599],Bool[0],[0.0],Bool[0],[3.1829777011494064e6],[0.0],[0.3887577315984423],[3.114674252873547e6],[0.0],[2.921529411764706e6],[1.3329204158680215],[0.0],[2.598752598752599],Bool[0],[2.6824034334763946],[0.4],Bool[0],[2.7292576419213974],[20],[0.9758622830187259],[0.8],[0.5015531362586281],Bool[0],Bool[1],[0],[2.509056603773585e6],[3],[1.9772952702702707e8],[0.2628849727754872],[0.0],[0.0],Bool[0],[1.2699769521858244],[2.791326732673267e6],[3.115531609195388e6],[1],[0.8910033082470928],Bool[1],Bool[0],[0.213638344],[0.4],[3],Bool[1],[0.8402898318614046],[0.0],[2.509056603773585e6],[20],[1.0],[3.1210057471264284e6],[0.3314003655007562],[0.54],[0.2127488],[3],[1.307764619615757],[0.04735923580464532],[3],[3],[0.027623490293588876],[0.04735923580464532],[0.07828369700007784]
"String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","String7[""C3_2""]","String7[""D3_2""]","String7[""F3_2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L_3""]","String3[""M_1""]","String7[""N3_1""]",[0.0],[4],[3.0498329629629636e6],Bool[0],Bool[0],[0],[0.3335181540033663],[1.6792582692307693e8],[0.0],[11],[2],[3.225509259259269e6],[0.008045472794616175],[0.34368704],[0.10665242803326937],[0.975692743046433],[3.2223714814814855e6],[0.74],[6],[1],[0.9510687033692568],[0.9464560434729278],[0.9871372094782249],[1.9681998076923066e8],[0.38],[0],Bool[0],[0],[3.225509259259269e6],[0.3655348],[1.9203582692307687e8],[1],[1.185273069428989],Bool[0],[0.5],[0.0],Bool[0],[0],[0.9502004434717201],[0.5],[0.9392859642199396],[0.9519248703905215],[0],[0.8869385559296483],[0.6227894300618532],Bool[0],[0.42787836081692676],[0.12400561245363051],[3.799392097264438],Bool[0],[0.0],Bool[0],[3.2223714814814855e6],[0.0],[0.1325686718234352],[3.0646966666666674e6],[0.0],[2.34175e6],[1.4130352979994507],[0.0],[3.799392097264438],Bool[0],[3.2637075718015667],[0.26],Bool[0],[2.834467120181406],[1],[0.9470644382169806],[0.74],[0.5471257485103369],Bool[0],Bool[0],[0],[2.4621875e6],[4],[1.9681998076923066e8],[0.36391563470187427],[0.0],[0.0],Bool[0],[1.3592372091606695],[2.34175e6],[3.030268518518525e6],[2],[0.9369391052371248],Bool[0],Bool[0],[0.34368704],[0.22],[5],Bool[1],[0.8531950174305127],[0.0],[2.4621875e6],[13],[0.9736336529850154],[3.0695555555555443e6],[0.13120592761944322],[0.3],[0.3655348],[4],[1.1450874332069776],[0.039241201816458175],[4],[5],[0.11266211395140782],[0.039241201816458175],[0.12400561245363051]
"String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","String7[""C3_1""]","String7[""D3_2""]","String7[""F3_1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L_2""]","String3[""M_1""]","String7[""N3_2""]",[2.0],[2],[2.498865e6],Bool[0],Bool[0],[0],[0.2690693351607961],[1.3164184210526314e8],[2.0],[20],[1],[2.510475e6],[0.010767106950604871],[0.500165752],[0.025202787766058186],[0.7551162610258456],[2.510855e6],[0.4],[20],[20],[0.9952860678932077],[0.9952247342040859],[0.9165296370874982],[1.7433321052631575e8],[0.18],[0],Bool[0],[20],[2.510475e6],[0.49980379999999996],[1.3164184210526314e8],[20],[1.416346209441322],Bool[0],[0.26],[2.0],Bool[0],[0],[0.9960004347693143],[0.26],[0.9657259421836593],[0.9952906646458463],[0],[0.9403191191291654],[0.5577826382235556],Bool[0],[0.29801310303883377],[0.04353615931613628],[1.675603217158177],Bool[0],[0.5720000000000001],Bool[1],[2.510855e6],[0.5720000000000001],[0.05029657827016008],[2.499019e6],[0.491],[2.494625e6],[1.3297476691413732],[2.0],[1.675603217158177],Bool[0],[1.5743073047858942],[0.4],Bool[0],[1.5964240102171137],[20],[0.9952288595640311],[0.4],[0.5316004998792632],Bool[0],Bool[0],[20],[2.4945e6],[2],[1.7433321052631575e8],[0.24961454398455007],[2.0],[2.0],Bool[0],[1.2898755527590373],[2.4945e6],[2.498475e6],[1],[0.8874309275883665],Bool[0],Bool[0],[0.500165752],[0.4],[3],Bool[1],[0.7551162610258456],[0.491],[2.494625e6],[20],[0.9958785099974095],[2.498875e6],[0.10397321766821667],[0.18],[0.49980379999999996],[2],[1.3671324136217984],[0.05320561218518211],[3],[3],[0.09293243334810514],[0.05320561218518211],[0.04353615931613628]
"String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","String7[""C3_2""]","String7[""D3_2""]","String7[""F3_2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L_3""]","String3[""M_1""]","String7[""N3_1""]",[0.0],[3],[3.1886790163934394e6],Bool[0],Bool[0],[0],[0.45183224380433884],[1.556503962264151e8],[0.0],[20],[1],[3.4420409836065574e6],[0.001104785652761412],[0.3577886],[0.4770222621094506],[0.785792101130403],[3.4561826229508207e6],[0.56],[9],[8],[0.9268856941283734],[0.9226014259833897],[0.8963218751381306],[1.9808088679245296e8],[0.2],[0],Bool[0],[0],[3.4420409836065574e6],[0.3568872],[1.556503962264151e8],[9],[1.298299787405062],Bool[0],[0.22],[0.0],Bool[0],[0],[0.9293063580576064],[0.22],[0.8877893735224349],[0.9273712033258594],[0],[0.8396894619935071],[0.4970554398110708],Bool[0],[0.5672186989010464],[0.08848965706793084],[2.3277467411545625],Bool[0],[0.0],Bool[1],[3.4561826229508207e6],[0.0],[0.08037306447824191],[3.2034862295081937e6],[0.0],[2.7711851851851847e6],[1.224398157060905],[0.0],[2.3277467411545625],Bool[0],[2.166377816291161],[0.4],Bool[0],[2.189141856392294],[4],[0.923317684681369],[0.56],[0.470233407422568],Bool[0],Bool[0],[0],[2.526125e6],[3],[1.9808088679245296e8],[0.3538628153886262],[0.0],[0.0],Bool[0],[1.1891814411913757],[2.817058823529412e6],[3.2114590163934343e6],[1],[0.8823973114985536],Bool[0],Bool[0],[0.3577886],[0.4],[5],Bool[1],[0.785792101130403],[0.0],[2.526125e6],[20],[0.9295787467496097],[3.2371065573770422e6],[0.25324800955320736],[0.2],[0.3568872],[3],[1.2714165915150977],[0.10509661939377499],[3],[5],[0.126575903741589],[0.10509661939377499],[0.08848965706793084]
"String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L_2""]","String3[""M_2""]","String7[""N3_2""]",[0.0],[3],[3.0780419767441843e6],Bool[0],Bool[1],[2],[0.15657083685822357],[1.8569627044025156e8],[1.0],[4],[2],[3.270328488372095e6],[0.0108974830121455],[0.205716556],[0.0948912891692166],[1.0],[3.275343837209301e6],[0.44],[3],[20],[0.9447110061975742],[0.9397614814592338],[0.9155241141760067],[1.9671624528301886e8],[0.24],[0],Bool[0],[0],[3.270328488372095e6],[0.2120662],[1.94458949044586e8],[5],[1.321881051823095],Bool[1],[0.42],[0.0],Bool[0],[0],[0.9505347356103454],[0.42],[0.8692041950559968],[0.9452865320580404],[0],[0.8570197002793151],[0.6011234793330988],Bool[0],[0.38436161210213],[0.03129420956023653],[2.860411899313501],Bool[1],[0.0],Bool[0],[3.275343837209301e6],[0.0],[0.3110264949269834],[3.0942533720930223e6],[0.0],[2.7484255319148935e6],[1.3949485780893287],[0.0],[2.860411899313501],Bool[1],[2.9274004683840746],[0.28],Bool[1],[2.860411899313501],[18],[0.9403423103498851],[0.44],[0.5789699753986706],Bool[0],Bool[1],[0],[2.700458333333333e6],[3],[1.94458949044586e8],[0.21478037214149195],[0.5],[0.0],Bool[0],[1.3539345617335221],[2.8755106382978726e6],[3.091215116279071e6],[2],[0.8962058538212847],Bool[0],Bool[0],[0.205716556],[0.08],[3],Bool[0],[0.9439803518671644],[0.0],[2.700458333333333e6],[14],[0.961103083228531],[3.106651162790706e6],[0.13683995861888443],[0.2],[0.2120662],[3],[1.2964873512762447],[0.027689123351958975],[3],[3],[0.03129420956023653],[0.027689123351958975],[0.03129420956023653]
