X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_med_pos,plur_util_from_winner_avg,prop_qual_min_govt_unstable,prop_qual_condorcet_winner,prop_strict_min_govt_size,spat_char_corr4,prop_strict_util_from_winner,major_qual_med_pos,prop_strict_unanimity,prop_qual_coalition_size,plur_util_from_max_med,prop_gallagher_index,tangian_adj_pop_parties,spat_char_corr5,prop_qual_util_eff,major_util_from_max_avg,major_cond_eff,prop_strict_nonzero_pos,major_qual_nonzero_pos,major_vse,plur_vse,spat_med_entropy1,prop_strict_util_from_max,major_util_max_elec_rate,major_cond_paradox,prop_qual_elec_failed,major_strict_nonzero_pos,major_util_from_max_med,tangian_raw_pop_body,prop_qual_util_from_winner,prop_qual_nonzero_pos,spat_med_entropy3,prop_strict_cond_paradox,plur_smith_eff,major_strict_med_pos,prop_strict_util_max_elec,prop_qual_min_govt_size,plur_util_eff_med,plur_cond_eff,spat_med_entropy2,major_util_eff_avg,plur_cond_paradox,spat_avg_entropy2,spat_med_entropy5,prop_strict_min_govt_unstable,spat_agg_dist_corr,plur_gallagher_index,prop_qual_util_max_elec,tangian_raw_uni_parties,prop_qual_single_party_win,plur_util_from_max_avg,tangian_adj_uni_parties,spat_char_corr2,major_util_from_winner_avg,tangian_adj_uni_body,plur_qual_social_util,spat_med_entropy4,prop_qual_med_pos,prop_strict_min_govt_elec,prop_qual_unanimity_rate,plur_qual_nonzero_pos,prop_qual_winner_smith,plur_util_eff_avg,major_smith_eff,spat_avg_entropy5,prop_strict_elec_failed,prop_strict_winner_smith,plur_strict_nonzero_pos,major_strict_social_util,prop_qual_util_from_max,spat_char_corr3,plur_qual_med_pos,plur_strict_med_pos,prop_qual_cond_paradox,spat_avg_entropy4,major_qual_social_util,plur_util_from_winner_med,prop_strict_coalition_size,spat_avg_entropy1,prop_strict_condorcet_winner,prop_qual_min_govt_elec,tangian_raw_pop_parties,prop_strict_unanimity_rate,prop_strict_single_party_win,prop_strict_util_eff,tangian_raw_uni_body,plur_strict_social_util,prop_qual_unanimity,major_util_eff_med,major_util_from_winner_med,spat_char_corr1,plur_util_max_elec_rate,tangian_adj_pop_body,spat_avg_entropy3,major_gallagher_index
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String7[""C1_3""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],[4.745759618794118e6],Bool[0],Bool[0],[0],[0.038926290581860125],[2.3204249865640837e8],[-2.0],[20],[1],[4.749578244588988e6],[0.01310354944280365],[0.499917928],[-0.03622493969265785],[0.9627324813100596],[4.749048288099835e6],[1.0],[20],[20],[0.9993674862916735],[0.999307509819608],[1.1452424339298481e-10],[2.410248985685529e8],[0.32],[0],Bool[0],[20],[4.749578244588988e6],[0.5000903999999999],[2.3204249865640837e8],[20],[1.4738951037478776],Bool[0],[0.98],[-2.0],Bool[0],[0],[0.9997248357801274],[0.98],[0.5620157307861154],[0.9993678122669815],[0],[0.5620140182092093],[0.6931471803955023],Bool[0],[-0.019233263315323965],[0.13599184904986034],Bool[0],[0.43700000000000006],Bool[1],[4.749048288099835e6],[0.43700000000000006],[-0.02722437479868522],[4.746044449956107e6],[0.506],[4.382130009918142e6],[1.498483507741708],[-2.0],Bool[1],[0.4],[20],Bool[0],[0.9993079557378707],[1.0],[0.693147180119438],Bool[0],Bool[0],[20],[4.325923095891291e6],[2.410248985685529e8],[-0.025009922669486925],[-2.0],[-2.0],Bool[0],[1.4984837968796456],[4.325923095891291e6],[4.744895581319086e6],[1],[1.145239232616821e-10],Bool[0],Bool[1],[0.499917928],[0.4],Bool[1],[0.9627324813100596],[0.506],[4.382130009918142e6],[20],[0.9997885906493524],[4.74501078754209e6],[-0.022285600496060563],[0.32],[0.5000903999999999],[1.4738945244042796],[0.14448481929946827]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String7[""C1_3""]","String7[""D1_2""]","String7[""F1_1""]","String3[""L3""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],[4.686076289318039e6],Bool[0],Bool[0],[0],[0.8197312034560964],[2.3513077860290703e8],[-2.0],[20],[1],[4.689773727981184e6],[0.3544253508680515],[0.4999192],[0.38878565237429324],[0.9693445169986605],[4.689468165083159e6],[0.76],[20],[20],[0.9993443383958969],[0.9992767035310368],[1.7125309940432564e-10],[2.425667804166596e8],[0.12],[0],Bool[0],[20],[4.689773727981184e6],[0.500399],[2.3513077860290703e8],[20],[4.712008620821232e-11],Bool[0],[0.58],[-2.0],Bool[0],[0],[0.999538459709909],[0.58],[2.0046769236991414e-11],[0.9993446737655566],[0],[2.8664822490545e-11],[1.5708347770893448e-9],Bool[0],[0.5677075993779821],[0.2115178894372767],Bool[0],[0.515],Bool[1],[4.689468165083159e6],[0.515],[0.6330870809144187],[4.68639346086365e6],[0.539],[4.424056634764722e6],[3.61086636491256e-11],[-2.0],Bool[1],[0.4],[20],Bool[0],[0.9992770435250352],[0.76],[1.4189924714167413e-9],Bool[0],Bool[0],[20],[4.4201241401026435e6],[2.425667804166596e8],[0.49887885498985435],[2.0],[2.0],Bool[0],[3.017263179235778e-11],[4.4201241401026435e6],[4.686631854715395e6],[1],[1.9927449614998626e-10],Bool[0],Bool[1],[0.4999192],[0.4],Bool[1],[0.9693445169986605],[0.539],[4.424056634764722e6],[20],[0.9996119280625861],[4.68697790650573e6],[0.6976795640361723],[0.14],[0.500399],[4.2726267975364127e-11],[0.32699941521660253]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String7[""C1_3""]","String7[""D1_2""]","String7[""F1_3""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.730955903132874e6],Bool[0],Bool[0],[2],[0.6111377005574915],[2.3990137746925247e8],[-1.0],[7],[2],[4.74725891704868e6],[0.009312383153629367],[0.227321368],[0.03190901241575951],[0.9867224337863578],[4.748600379577055e6],[1.0],[6],[20],[0.9967430825994864],[0.9962842785170832],[1.3444501543484687e-10],[2.4164963377517223e8],[0.62],[0],Bool[0],[0],[4.74725891704868e6],[0.23361539999999997],[2.3844111476222e8],[11],[1.2254692707964163],Bool[0],[0.96],[0.0],Bool[0],[0],[1.0],[0.96],[0.7450989525782167],[0.9967325647829213],[0],[0.721909677730249],[0.6265015434212209],Bool[0],[0.438978442932512],[0.16620084380050543],Bool[0],[0.0],Bool[1],[4.748600379577055e6],[0.0],[0.026231260473006415],[4.733134580372725e6],[0.0],[4.70393709739923e6],[1.296915764011354],[-1.0],Bool[1],[0.38],[20],Bool[0],[0.9962752821186046],[1.0],[0.5798079954525805],Bool[0],Bool[0],[0],[4.388530518389836e6],[2.4164963377517223e8],[0.2521611739489557],[-1.0],[0.0],Bool[0],[1.2764185140465336],[4.621679686544121e6],[4.739187408134639e6],[2],[1.843255523936223e-10],Bool[0],Bool[1],[0.22732136800000002],[0.14],Bool[0],[0.9927653260689552],[0.0],[4.388530518389836e6],[19],[1.0],[4.7417661417624075e6],[0.12328193627814282],[0.62],[0.23361539999999997],[1.1424468726007304],[0.15005759054443063]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String7[""C1_3""]","String7[""D1_1""]","String7[""F1_3""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.869732283163911e6],Bool[0],Bool[0],[0],[0.5904902864170551],[2.4202108150580278e8],[0.0],[20],[1],[4.877335793350936e6],[0.004039685136245162],[0.23848660800000002],[0.43241656854953037],[0.9912470330503118],[4.877364049985606e6],[0.96],[10],[13],[0.9987960477530531],[0.9984352681605306],[1.0426244297168052],[2.4455830390009606e8],[0.66],[0],Bool[0],[0],[4.877335793350936e6],[0.2376412],[2.4202108150580278e8],[10],[1.4177508990705379],Bool[0],[0.82],[0.0],Bool[0],[0],[1.0],[0.82],[0.8680267166045592],[0.9987971474161418],[0],[0.838011033384781],[0.5236763679702057],Bool[0],[0.788819217797011],[0.1073238047033369],Bool[0],[0.0],Bool[0],[4.877364049985606e6],[0.0],[0.44664711909020355],[4.871491936578448e6],[0.0],[4.572294730554345e6],[1.345704007019172],[0.0],Bool[1],[0.4],[13],Bool[0],[0.9984362526653124],[0.96],[0.5022995506503957],Bool[0],Bool[0],[0],[4.5644656997525e6],[2.4415819007401633e8],[0.6058176395012739],[0.0],[0.0],Bool[0],[1.3385739839918256],[4.50061168002831e6],[4.872600802988987e6],[1],[1.034134833247831],Bool[0],Bool[1],[0.23848660800000002],[0.4],Bool[1],[0.9896252862657661],[0.0],[4.5644656997525e6],[20],[1.0],[4.873825841603015e6],[0.46817922606930074],[0.58],[0.2376412],[1.4156655107525495],[0.09597874272983577]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String7[""C1_3""]","String7[""D1_2""]","String7[""F1_1""]","String3[""L3""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],[4.712821888948668e6],Bool[0],Bool[0],[0],[0.5330806377469111],[2.3562985062594843e8],[2.0],[20],[1],[4.716251813722999e6],[0.30144128295256495],[0.4998886],[0.030388297436207603],[0.9733033888649524],[4.715784030533306e6],[0.66],[20],[20],[0.9994310899438191],[0.9993718665728838],[1.6808826668977935e-10],[2.420929109275325e8],[0.14],[0],Bool[0],[20],[4.716251813722999e6],[0.5003568],[2.3562985062594843e8],[20],[2.1106203187433956e-10],Bool[0],[0.5],[2.0],Bool[0],[0],[0.9995100263329595],[0.5],[1.2837867159262563e-10],[0.9994313195007143],[0],[1.329414846312684e-10],[3.367837079211714e-11],Bool[0],[0.6996076316315514],[0.22878858849164657],Bool[0],[0.44500000000000006],Bool[1],[4.715784030533306e6],[0.44500000000000006],[0.4308819363863327],[4.713101173575559e6],[0.529],[4.597319525435325e6],[2.7421019420354394e-10],[-2.0],Bool[1],[0.4],[20],Bool[1],[0.9993721252751689],[0.66],[3.457450152114324e-11],Bool[0],Bool[0],[20],[4.54035132257984e6],[2.420929109275325e8],[0.15753271962793836],[2.0],[2.0],Bool[1],[2.7233095423197955e-10],[4.54035132257984e6],[4.712780650175843e6],[1],[1.5335198264608515e-10],Bool[0],Bool[1],[0.4998886],[0.4],Bool[1],[0.9733033888649524],[0.529],[4.597319525435325e6],[20],[0.9995100263329595],[4.713139587059377e6],[0.6763720676842554],[0.16],[0.5003568],[2.0495175942014343e-10],[0.2740205434342469]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String7[""C1_3""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.695591629983467e6],Bool[0],Bool[0],[3],[-0.01827427312272946],[2.3935928776758245e8],[-2.0],[8],[3],[4.699968889404841e6],[0.012501654930448209],[0.500008904],[-0.10177114650656241],[0.9874543883084186],[4.700374432025958e6],[1.0],[8],[20],[0.9989577395382492],[0.9989824636076005],[1.1452541241929522e-10],[2.4240034841267186e8],[0.24],[0],Bool[0],[20],[4.699968889404841e6],[0.49970939999999997],[2.3935928776758245e8],[8],[1.2221487217251283],Bool[0],[0.98],[-2.0],Bool[0],[3],[0.9995870564858618],[0.98],[0.6178717886062247],[0.9989584595489649],[0],[0.6178719613985573],[0.6931471804300832],Bool[0],[-0.10092914064948755],[0.21972976897999053],Bool[0],[0.516],Bool[0],[4.700374432025958e6],[0.516],[0.10490456531552875],[4.695475417600033e6],[0.504],[4.556967135698794e6],[1.157595452157516],[0.0],Bool[1],[0.16],[20],Bool[0],[0.9989831875148463],[1.0],[0.6931471801629062],Bool[0],Bool[0],[20],[4.606353346686203e6],[2.4240034841267186e8],[-0.11688080878277045],[-2.0],[-2.0],Bool[0],[1.157596438485216],[4.606353346686203e6],[4.695930159682693e6],[3],[1.1452519063778114e-10],Bool[0],Bool[1],[0.500008904],[0.16],Bool[0],[0.9874543883084186],[0.504],[4.556967135698794e6],[8],[0.9995131897166518],[4.6958107720191125e6],[-0.034583865603818716],[0.26],[0.49970939999999997],[1.222149778859149],[0.22632430575614276]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String7[""C1_3""]","String7[""D1_2""]","String7[""F1_3""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.637332437163255e6],Bool[0],Bool[0],[2],[0.28930205042903456],[2.4169901527498767e8],[-1.0],[4],[2],[4.67648482635548e6],[0.0123002087787159],[0.23202342799999998],[0.13983856363381444],[0.9990825653924112],[4.669039567630377e6],[0.98],[3],[20],[0.9941844170744463],[0.9932090679447351],[5.965118800596429e-11],[2.42341305345748e8],[0.62],[0],Bool[0],[0],[4.67648482635548e6],[0.22724640000000002],[2.421189730453756e8],[1],[1.0001110710247993],Bool[0],[0.94],[0.0],Bool[0],[0],[1.0],[0.94],[0.8435438009476319],[0.9941853555149808],[0],[0.8330974538516136],[0.6187519567886227],Bool[0],[0.6012687623519849],[0.18283920568630785],Bool[0],[0.0],Bool[0],[4.669039567630377e6],[0.0],[0.6248545740278366],[4.641886380842131e6],[0.0],[4.570006247840447e6],[1.2766151526399327],[0.0],Bool[1],[0.24],[20],Bool[0],[0.993192995654721],[0.98],[0.5745347818705656],Bool[0],Bool[0],[0],[4.377336539311878e6],[2.42341305345748e8],[0.28141932967679256],[-1.0],[0.0],Bool[0],[1.2055870719673054],[4.502455263382739e6],[4.661340284777877e6],[2],[8.852171065831686e-11],Bool[0],Bool[1],[0.23202342800000003],[0.08],Bool[0],[0.9973496467313157],[0.0],[4.377336539311878e6],[12],[1.0],[4.661340284777877e6],[0.23382820792130674],[0.62],[0.22724640000000002],[0.9831531264350053],[0.1707154800713749]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String7[""C1_3""]","String7[""D1_1""]","String7[""F1_3""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[-1.0],[4.824401863384829e6],Bool[0],Bool[0],[0],[0.57108908684791],[2.3969381245233506e8],[0.0],[20],[1],[4.828319770591965e6],[0.0630647059455604],[0.19503800000000002],[0.8104519844192775],[0.9949808953228733],[4.8284640571599435e6],[1.0],[18],[16],[0.9988610964673414],[0.9991586985577554],[0.8115140481946995],[2.422445292832118e8],[0.56],[0],Bool[0],[0],[4.828319770591965e6],[0.23111539999999997],[2.3969381245233506e8],[18],[1.3763840268281653],Bool[0],[0.88],[0.0],Bool[0],[0],[1.0],[0.88],[0.9498497190321661],[0.998861916594459],[0],[0.9512524292763667],[0.37738257293864436],Bool[0],[0.9223853251868513],[0.07369421372129567],Bool[0],[0.0],Bool[1],[4.8284640571599435e6],[0.0],[0.41765258154235324],[4.822964902387929e6],[0.0],[4.4807974664595025e6],[1.4131555047832802],[-1.0],Bool[1],[0.4],[16],Bool[0],[0.9991581882654463],[1.0],[0.46310632954317726],Bool[0],Bool[1],[0],[4.571061866645388e6],[2.4090292947238344e8],[0.709337466061818],[0.0],[0.0],Bool[0],[1.4154185569147502],[4.48878745217221e6],[4.825095151887495e6],[1],[0.7928334753341673],Bool[1],Bool[1],[0.19503800000000002],[0.4],Bool[1],[0.9894704873690061],[0.0],[4.571061866645388e6],[20],[1.0],[4.824982978845403e6],[0.5980027490143577],[0.64],[0.23111539999999997],[1.3578808848951764],[0.07369421372129567]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String7[""C1_3""]","String7[""D1_2""]","String7[""F1_1""]","String3[""L3""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[2.0],[4.679901718770023e6],Bool[0],Bool[0],[0],[0.45522398776957873],[2.3706987250004745e8],[0.0],[20],[1],[4.6826885046079075e6],[0.15635121840220034],[0.5001003199999999],[0.5508097349837313],[0.9734497227513238],[4.683033413168247e6],[0.74],[20],[20],[0.9993398936240205],[0.9993312679791229],[1.309336836105768e-10],[2.4353581593305257e8],[0.12],[0],Bool[0],[20],[4.6826885046079075e6],[0.500026],[2.3706987250004745e8],[20],[9.306294890563741e-11],Bool[0],[0.56],[0.0],Bool[0],[0],[0.9995208660814676],[0.56],[9.231826976677226e-10],[0.9993401147550917],[0],[9.776723504822586e-10],[2.726804922663767e-11],Bool[0],[0.6342811149890984],[0.2290832356677372],Bool[0],[0.516],Bool[1],[4.683033413168247e6],[0.516],[0.27437802966440894],[4.679942112953289e6],[0.496],[4.455058568903512e6],[1.1114398563964877e-10],[2.0],Bool[1],[0.4],[20],Bool[0],[0.9993315724121916],[0.74],[3.086042055264461e-11],Bool[0],Bool[0],[20],[4.22822300750421e6],[2.4353581593305257e8],[0.7106475229360523],[-2.0],[-2.0],Bool[0],[1.1427552460142986e-10],[4.22822300750421e6],[4.67931765011733e6],[1],[1.5866218728824228e-10],Bool[0],Bool[1],[0.5001003199999999],[0.4],Bool[1],[0.9734497227513238],[0.496],[4.455058568903512e6],[20],[0.9995003971380239],[4.679498510356689e6],[0.566951824383325],[0.2],[0.500026],[1.2078038490262229e-10],[0.3344186730193157]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String7[""C1_3""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.68731302596326e6],Bool[0],Bool[0],[0],[-0.05951569671546598],[2.3921580244673115e8],[2.0],[11],[2],[4.690447814825605e6],[0.022804930344116358],[0.4998741440000001],[0.01990913013280048],[0.9842370704007267],[4.690659426407853e6],[1.0],[11],[20],[0.9992921411959197],[0.9992865820899822],[1.1452509768400115e-10],[2.4304693415920186e8],[0.3],[0],Bool[0],[20],[4.690447814825605e6],[0.4997174],[2.3921580244673115e8],[11],[1.510475395692135],Bool[0],[0.92],[2.0],Bool[0],[0],[0.999788719809523],[0.92],[0.47974981586120136],[0.9992925452757808],[0],[0.4797519332335862],[0.6931471801526314],Bool[0],[-0.07487787219945453],[0.24636749957735904],Bool[0],[0.463],Bool[0],[4.690659426407853e6],[0.463],[0.023299051995336464],[4.687339101835928e6],[0.47400000000000003],[4.595759553594645e6],[1.266444840116365],[0.0],Bool[1],[0.22],[20],Bool[0],[0.9992869744801038],[1.0],[0.69314718013919],Bool[0],Bool[0],[20],[4.595759553594645e6],[2.4304693415920186e8],[-0.10402439521923917],[2.0],[2.0],Bool[0],[1.2664430743354513],[4.595759553594645e6],[4.686892705432842e6],[2],[1.145249009467987e-10],Bool[0],Bool[1],[0.4998741440000001],[0.22],Bool[0],[0.9842370704007267],[0.47400000000000003],[4.595759553594645e6],[11],[0.999788719809523],[4.687073351394587e6],[0.011319304922057778],[0.34],[0.4997174],[1.5104759615147416],[0.24147543321837112]
