X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_med_pos,plur_util_from_winner_avg,prop_qual_min_govt_unstable,prop_qual_condorcet_winner,prop_strict_min_govt_size,spat_char_corr4,prop_strict_util_from_winner,major_qual_med_pos,prop_strict_unanimity,prop_qual_coalition_size,plur_util_from_max_med,prop_gallagher_index,tangian_adj_pop_parties,spat_char_corr5,prop_qual_util_eff,major_util_from_max_avg,major_cond_eff,prop_strict_nonzero_pos,major_qual_nonzero_pos,major_vse,plur_vse,spat_med_entropy1,prop_strict_util_from_max,major_util_max_elec_rate,major_cond_paradox,prop_qual_elec_failed,major_strict_nonzero_pos,major_util_from_max_med,tangian_raw_pop_body,prop_qual_util_from_winner,prop_qual_nonzero_pos,spat_med_entropy3,prop_strict_cond_paradox,plur_smith_eff,major_strict_med_pos,prop_strict_util_max_elec,prop_qual_min_govt_size,plur_util_eff_med,plur_cond_eff,spat_med_entropy2,major_util_eff_avg,plur_cond_paradox,spat_avg_entropy2,spat_med_entropy5,prop_strict_min_govt_unstable,spat_agg_dist_corr,plur_gallagher_index,prop_qual_util_max_elec,tangian_raw_uni_parties,prop_qual_single_party_win,plur_util_from_max_avg,tangian_adj_uni_parties,spat_char_corr2,major_util_from_winner_avg,tangian_adj_uni_body,plur_qual_social_util,spat_med_entropy4,prop_qual_med_pos,prop_strict_min_govt_elec,prop_qual_unanimity_rate,plur_qual_nonzero_pos,prop_qual_winner_smith,plur_util_eff_avg,major_smith_eff,spat_avg_entropy5,prop_strict_elec_failed,prop_strict_winner_smith,plur_strict_nonzero_pos,major_strict_social_util,prop_qual_util_from_max,spat_char_corr3,plur_qual_med_pos,plur_strict_med_pos,prop_qual_cond_paradox,spat_avg_entropy4,major_qual_social_util,plur_util_from_winner_med,prop_strict_coalition_size,spat_avg_entropy1,prop_strict_condorcet_winner,prop_qual_min_govt_elec,tangian_raw_pop_parties,prop_strict_unanimity_rate,prop_strict_single_party_win,prop_strict_util_eff,tangian_raw_uni_body,plur_strict_social_util,prop_qual_unanimity,major_util_eff_med,major_util_from_winner_med,spat_char_corr1,plur_util_max_elec_rate,tangian_adj_pop_body,spat_avg_entropy3,major_gallagher_index
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_2""]","String7[""F1_3""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.711992280306281e6],Bool[0],Bool[0],[0],[0.5230382465880166],[2.3368726887281147e8],[-1.0],[20],[1],[4.720359735564594e6],[0.6931089380465382],[0.248677012],[0.1273215874137377],[0.9830537047207335],[4.723992612127987e6],[1.0],[10],[19],[0.998019672785095],[0.9974597056331338],[0.8452168611750547],[2.3802278581115353e8],[0.7],[0],Bool[0],[0],[4.720359735564594e6],[0.2313556],[2.3368726887281147e8],[10],[1.3730258944868003],Bool[0],[0.96],[0.0],Bool[0],[0],[1.0],[0.96],[0.8951544451090877],[0.9980135788753489],[0],[0.8609478105928824],[0.5396914519407906],Bool[0],[0.41294737338862364],[0.08849442350792507],Bool[0],[0.0],Bool[1],[4.723992612127987e6],[0.0],[0.07994190926862871],[4.714637560995179e6],[0.0],[4.478202017802934e6],[1.3278489706623517],[0.0],Bool[1],[0.4],[19],Bool[0],[0.9974524529254555],[1.0],[0.5339750704264277],Bool[0],Bool[1],[0],[4.498175546569712e6],[2.377156687886116e8],[0.2661230267752507],[-1.0],[0.0],Bool[0],[1.2735452024309735],[4.3471153988867635e6],[4.716173782348817e6],[1],[0.8359954990531994],Bool[1],Bool[1],[0.24867701200000003],[0.4],Bool[1],[0.9817852861289429],[0.0],[4.498175546569712e6],[20],[1.0],[4.716173782348817e6],[0.25152860692024953],[0.66],[0.2313556],[1.3290099254898893],[0.08456750553256259]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String7[""C1_2""]","String7[""D1_3""]","String7[""F1_3""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.749868111491388e6],Bool[0],Bool[0],[0],[-0.02947804192735664],[2.3866829635846663e8],[1.0],[20],[1],[4.762661842159791e6],[0.6931089380465382],[0.24300179200000002],[-0.00843757323079992],[0.9852859934296225],[4.760445407213284e6],[1.0],[12],[16],[0.9979328639388508],[0.9977780869609661],[1.1452486650726193e-10],[2.4244494790025192e8],[0.62],[0],Bool[0],[0],[4.762661842159791e6],[0.2260958],[2.3866829635846663e8],[12],[1.4966881686745217],Bool[0],[0.9],[0.0],Bool[0],[0],[1.0],[0.9],[0.5385668464472664],[0.9979293636133109],[0],[0.538567003085955],[0.6931471803188334],Bool[0],[-0.042383682346227324],[0.003318286304706079],Bool[0],[0.0],Bool[1],[4.760445407213284e6],[0.0],[0.012940282944438875],[4.750604918844901e6],[0.0],[4.517531133128888e6],[1.3547260090731688],[0.0],Bool[1],[0.4],[17],Bool[0],[0.9977746494023917],[1.0],[0.6931471800684961],Bool[0],Bool[1],[0],[4.336382688272417e6],[2.4223250705889013e8],[-0.05023976367586255],[1.0],[0.0],Bool[0],[1.3547262153339914],[4.551749071120833e6],[4.753568978119748e6],[1],[1.1452441713680443e-10],Bool[1],Bool[1],[0.24300179199999997],[0.4],Bool[1],[0.9844226428535887],[0.0],[4.336382688272417e6],[20],[1.0],[4.754977699580565e6],[-0.013814695651962765],[0.58],[0.2260958],[1.4966886973953066],[0.003318286304706079]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_2""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[2.0],[4.600902094422451e6],Bool[0],Bool[0],[0],[0.19827211067673214],[2.30153118561175e8],[2.0],[20],[1],[4.603675338088464e6],[0.6791170738539858],[0.49610428],[0.1553215372746595],[0.958864385909444],[4.605184563989741e6],[0.7],[20],[20],[0.9991218629710964],[0.9990700764523585],[1.3447789956226495e-10],[2.4002676702074412e8],[0.16],[0],Bool[0],[20],[4.603675338088464e6],[0.4998868],[2.30153118561175e8],[20],[1.2943089934969605e-10],Bool[0],[0.46],[2.0],Bool[0],[0],[0.9995090596127127],[0.46],[2.764352238944684e-10],[0.9991226297199839],[0],[4.235707727902176e-10],[1.8502151258577678e-10],Bool[0],[0.2889380442051661],[0.1540660982825229],Bool[0],[0.098],Bool[1],[4.605184563989741e6],[0.098],[0.12082335069450365],[4.601140580899166e6],[0.47400000000000003],[4.376904241805248e6],[1.6800598146704455e-10],[2.0],Bool[1],[0.4],[20],Bool[0],[0.9990709664850225],[0.7],[2.700777594755423e-10],Bool[0],Bool[0],[20],[4.252732416995047e6],[2.4002676702074412e8],[0.1871849747501556],[2.0],[2.0],Bool[0],[1.9418491302103138e-10],[4.252732416995047e6],[4.600358893335832e6],[1],[2.2329752091439234e-10],Bool[0],Bool[1],[0.49610428],[0.4],Bool[1],[0.958864385909444],[0.47400000000000003],[4.376904241805248e6],[20],[0.9995090596127127],[4.600699897377538e6],[0.11793342613739585],[0.22],[0.4998868],[4.543328704061133e-10],[0.1420105722824889]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String7[""C1_2""]","String7[""D1_3""]","String7[""F1_1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[2.0],[4.593894733764085e6],Bool[0],Bool[0],[0],[0.3639462399141629],[2.303424954252897e8],[2.0],[20],[1],[4.603169158200452e6],[0.6791170738539858],[0.5064232399999998],[0.1670874345544906],[0.9606177692356576],[4.603035105344558e6],[1.0],[20],[20],[0.9980724521710537],[0.9980142728935827],[5.009947700121181e-10],[2.3978579493544883e8],[0.04],[0],Bool[0],[20],[4.603169158200452e6],[0.5006294],[2.303424954252897e8],[20],[1.309458692678793e-10],Bool[0],[0.88],[2.0],Bool[0],[0],[0.9985631944401367],[0.88],[2.0095664154480105e-9],[0.9980738944709762],[0],[2.0475658384470373e-9],[3.435522646811149e-10],Bool[0],[0.4734894912927965],[0.16171467203689344],Bool[0],[0.826],Bool[1],[4.603035105344558e6],[0.826],[0.38607000684091297],[4.594162535020688e6],[0.5459999999999999],[4.437380800917719e6],[7.509500251714603e-11],[2.0],Bool[1],[0.4],[20],Bool[0],[0.99801579586597],[1.0],[3.5973162772761417e-10],Bool[0],Bool[0],[20],[4.417213186656408e6],[2.3978579493544883e8],[0.4517427624227976],[2.0],[2.0],Bool[0],[7.606051639374055e-11],[4.417213186656408e6],[4.594265567643545e6],[1],[5.118006767474616e-10],Bool[0],Bool[1],[0.5064232399999998],[0.4],Bool[1],[0.9606177692356576],[0.5459999999999999],[4.437380800917719e6],[20],[0.9985940682402265],[4.594265567643545e6],[0.41002085944044664],[0.08],[0.5006294],[1.4303829349034297e-10],[0.16762158319261874]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_2""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],[4.576272257038317e6],Bool[0],Bool[0],[0],[0.26014078033903343],[2.3065280307094157e8],[-2.0],[20],[1],[4.580703445344532e6],[0.6791170738539858],[0.506293872],[-0.03013023864161608],[0.9593681485636739],[4.580737563789624e6],[0.72],[20],[20],[0.9989578907572487],[0.9990251991760879],[3.0946777693202087e-10],[2.4042157686417395e8],[0.1],[0],Bool[0],[20],[4.580703445344532e6],[0.5006618],[2.3065280307094157e8],[20],[1.6868965067306653e-10],Bool[0],[0.5],[-2.0],Bool[0],[0],[0.9994015842495161],[0.5],[3.070158393496341e-10],[0.9989582814675597],[0],[4.756288430220926e-10],[2.9199063868997886e-10],Bool[0],[0.19642125465280424],[0.17029521111293763],Bool[0],[0.976],Bool[1],[4.580737563789624e6],[0.976],[-0.11148531342731735],[4.57596393483578e6],[0.54],[4.0230439447583146e6],[1.5741387368262853e-10],[-2.0],Bool[1],[0.4],[20],Bool[0],[0.9990257017659281],[0.72],[4.221638884771679e-10],Bool[0],Bool[0],[20],[4.340085457539045e6],[2.4042157686417395e8],[0.2808395029142702],[2.0],[2.0],Bool[0],[2.522353164671135e-10],[4.340085457539045e6],[4.5761976069498975e6],[1],[4.3552996721544636e-10],Bool[0],Bool[1],[0.506293872],[0.4],Bool[1],[0.9593681485636739],[0.54],[4.0230439447583146e6],[20],[0.9992169439037908],[4.575523889296507e6],[-0.03652119514773164],[0.22],[0.5006618],[2.6810445005179563e-10],[0.21635318099810785]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String7[""C1_2""]","String7[""D1_3""]","String7[""F1_1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],[4.584986522787669e6],Bool[0],Bool[0],[0],[0.4157390386009854],[2.3045195449259347e8],[2.0],[20],[1],[4.593922480661605e6],[0.6791170738539858],[0.4957209919999999],[0.9010376795230327],[0.9596367730630152],[4.594242870942643e6],[0.98],[20],[20],[0.9980368508985935],[0.9979852288146284],[3.419136706947454e-10],[2.4014498085252166e8],[0.06],[0],Bool[0],[20],[4.593922480661605e6],[0.5014301999999999],[2.3045195449259347e8],[20],[3.0146156695501455e-10],Bool[0],[0.8],[2.0],Bool[0],[0],[0.998517094585408],[0.8],[3.9270297842338956e-11],[0.9980392159376771],[0],[3.9158861073174095e-11],[4.583272236479179e-10],Bool[0],[0.8997596462597952],[0.27330084168183605],Bool[0],[0.277],Bool[1],[4.594242870942643e6],[0.277],[0.42010537814403925],[4.585223687178909e6],[0.564],[4.48774596098166e6],[2.3266360913878673e-10],[-2.0],Bool[1],[0.4],[20],Bool[0],[0.9979875746482858],[0.98],[3.85456767914e-10],Bool[0],Bool[0],[20],[4.461012907814844e6],[2.4014498085252166e8],[0.672265350945291],[2.0],[2.0],Bool[0],[2.2856555403105786e-10],[4.461012907814844e6],[4.585006674902711e6],[1],[3.3097305769310874e-10],Bool[0],Bool[1],[0.4957209919999999],[0.4],Bool[1],[0.9596367730630152],[0.564],[4.48774596098166e6],[20],[0.9986834602694288],[4.585448774205098e6],[0.7967410208826347],[0.12],[0.5014301999999999],[3.425997105769659e-10],[0.24397210919283377]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String7[""C1_2""]","String7[""D1_3""]","String7[""F1_3""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],[4.710733113850916e6],Bool[0],Bool[0],[0],[-0.013377974959568575],[2.2864702826973492e8],[1.0],[20],[1],[4.72506428968565e6],[0.6931089380465382],[0.14122710400000002],[-0.0320501221614526],[0.9423031032259559],[4.722119483594366e6],[1.0],[20],[20],[0.9976915948521577],[0.9975887162993209],[1.1452293787955724e-10],[2.4264700762097287e8],[0.58],[0],Bool[0],[0],[4.72506428968565e6],[0.22151579999999998],[2.2864702826973492e8],[20],[1.3741135564226628],Bool[0],[0.9],[0.0],Bool[0],[0],[1.0],[0.9],[0.6509995690682808],[0.9976890844670016],[0],[0.6510009934603582],[0.6931471804473244],Bool[0],[-0.011531251991116907],[0.0651303593725691],Bool[0],[0.0],Bool[1],[4.722119483594366e6],[0.0],[-0.012119424882229746],[4.711218918669711e6],[0.0],[4.362741127860289e6],[1.268252383782484],[-2.0],Bool[1],[0.4],[20],Bool[0],[0.9975887829231281],[1.0],[0.6931471800274153],Bool[0],Bool[0],[0],[4.263680653973294e6],[2.4264700762097287e8],[0.043329020656823675],[1.0],[0.0],Bool[0],[1.2682516240684927],[4.465465174003107e6],[4.718114571608968e6],[1],[1.1452310802553019e-10],Bool[0],Bool[1],[0.14122710399999996],[0.4],Bool[1],[0.9423031032259559],[0.0],[4.263680653973294e6],[20],[1.0],[4.719113142108523e6],[-0.04006669533567518],[0.56],[0.22151580000000004],[1.374110894967234],[0.05435773828996199]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_2""]","String7[""F1_3""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],[4.694807099326305e6],Bool[0],Bool[0],[0],[0.26547394422369003],[2.2854530979194546e8],[1.0],[20],[1],[4.709693569158988e6],[0.6931089380465382],[0.17130482],[0.17545252836969027],[0.9624530741361448],[4.708513731106836e6],[1.0],[19],[20],[0.9977454923724526],[0.9970889685018909],[0.8515678745541255],[2.3840383229270136e8],[0.7],[0],Bool[0],[0],[4.709693569158988e6],[0.2272746],[2.2854530979194546e8],[19],[1.2941608954417232],Bool[0],[0.9],[0.0],Bool[0],[0],[1.0],[0.9],[1.0005752730290727],[0.9977367974960256],[0],[0.9473600898290298],[0.5525530410427192],Bool[0],[0.43769243081162557],[0.02878327097464773],Bool[0],[0.0],Bool[1],[4.708513731106836e6],[0.0],[0.23989536162926345],[4.697898350985644e6],[0.0],[4.201468288047815e6],[1.3580841882999415],[-2.0],Bool[1],[0.4],[20],Bool[0],[0.9970846046536486],[1.0],[0.5022973854905554],Bool[0],Bool[0],[0],[4.293611835550666e6],[2.3746124973113894e8],[0.2384350622310247],[1.0],[0.0],Bool[0],[1.3191026928648326],[4.263806632897483e6],[4.703215090705721e6],[1],[0.7852308021656499],Bool[0],Bool[1],[0.17130482],[0.4],Bool[1],[0.9586478019000464],[0.0],[4.293611835550666e6],[20],[1.0],[4.708416972027237e6],[0.21274511569034515],[0.68],[0.2272746],[1.2689659968713436],[0.02878327097464773]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_2""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[2.0],[4.589364106306694e6],Bool[0],Bool[0],[0],[0.08987690244211277],[2.314328295559408e8],[2.0],[20],[1],[4.592437154720265e6],[0.6791170738539858],[0.502483864],[-0.09653507922431927],[0.976503179571489],[4.593564017583144e6],[0.78],[20],[20],[0.9990129709202478],[0.9990856965832253],[1.2556640590282592e-10],[2.3700161391947398e8],[0.16],[0],Bool[0],[20],[4.592437154720265e6],[0.5004054],[2.314328295559408e8],[20],[1.1362866336694567e-10],Bool[1],[0.52],[2.0],Bool[0],[0],[0.999629048402829],[0.52],[2.661530891874738e-10],[0.9990137418446559],[0],[7.824942208768736e-10],[1.7267930409012317e-10],Bool[0],[0.04018587275640583],[0.1758578892628932],Bool[0],[0.701],Bool[1],[4.593564017583144e6],[0.701],[0.01987208214856842],[4.589030036318086e6],[0.511],[4.2218615960852625e6],[8.605307561286612e-11],[2.0],Bool[1],[0.4],[20],Bool[0],[0.9990866048109104],[0.78],[3.599822836869815e-10],Bool[0],Bool[1],[20],[4.389153122726824e6],[2.3700161391947398e8],[0.02816308794689014],[0.0],[0.0],Bool[0],[2.6787149408737036e-10],[4.389153122726824e6],[4.589372535957776e6],[1],[3.3495762077763456e-10],Bool[0],Bool[1],[0.502483864],[0.4],Bool[1],[0.976503179571489],[0.511],[4.2218615960852625e6],[20],[0.9993737718840219],[4.588477207951726e6],[-0.015404126211115981],[0.26],[0.5004054],[1.9565124742836517e-10],[0.2643674662586151]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String7[""C1_2""]","String7[""D1_3""]","String7[""F1_1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[2.0],[4.629925441608008e6],Bool[0],Bool[0],[0],[0.48591967487402943],[2.3145304446701366e8],[2.0],[20],[1],[4.636625792432809e6],[0.6791170738539858],[0.5037499120000001],[0.2486502496154243],[0.9612305949471234],[4.63759345822418e6],[1.0],[20],[20],[0.9985907448270022],[0.9983465526495053],[8.807621296928597e-10],[2.4078826213365144e8],[0.02],[0],Bool[0],[20],[4.636625792432809e6],[0.5013952],[2.3145304446701366e8],[20],[5.737415988265247e-11],Bool[0],[0.8],[2.0],Bool[0],[0],[0.9988302658874368],[0.8],[1.2741617935368923e-10],[0.9985909649085712],[0],[1.332805919329214e-10],[1.8228143183971355e-11],Bool[0],[0.6570858783869763],[0.2478430422666733],Bool[0],[0.723],Bool[1],[4.63759345822418e6],[0.723],[0.5183196810219032],[4.631057905652917e6],[0.5559999999999999],[4.513497627620884e6],[5.6495493570641184e-11],[2.0],Bool[1],[0.4],[20],Bool[0],[0.9983471168179824],[1.0],[2.0747702570884265e-11],Bool[0],Bool[0],[20],[4.421343501031118e6],[2.4078826213365144e8],[0.6270123808474225],[2.0],[2.0],Bool[0],[5.789835684080312e-11],[4.421343501031118e6],[4.629628946022404e6],[1],[9.605906466694622e-10],Bool[0],Bool[1],[0.5037499120000001],[0.4],Bool[1],[0.9612305949471234],[0.5559999999999999],[4.513497627620884e6],[20],[0.9990252806773021],[4.630435757277297e6],[0.3971952261143783],[0.02],[0.5013952],[5.772307340813227e-11],[0.1749036694869493]
