X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_med_pos,plur_util_from_winner_avg,prop_qual_min_govt_unstable,prop_qual_condorcet_winner,prop_strict_min_govt_size,spat_char_corr4,prop_strict_util_from_winner,major_qual_med_pos,prop_strict_unanimity,prop_qual_coalition_size,plur_util_from_max_med,prop_gallagher_index,tangian_adj_pop_parties,spat_char_corr5,prop_qual_util_eff,major_util_from_max_avg,major_cond_eff,prop_strict_nonzero_pos,major_qual_nonzero_pos,major_vse,plur_vse,spat_med_entropy1,prop_strict_util_from_max,major_util_max_elec_rate,major_cond_paradox,prop_qual_elec_failed,major_strict_nonzero_pos,major_util_from_max_med,tangian_raw_pop_body,prop_qual_util_from_winner,prop_qual_nonzero_pos,spat_med_entropy3,prop_strict_cond_paradox,plur_smith_eff,major_strict_med_pos,prop_strict_util_max_elec,prop_qual_min_govt_size,plur_util_eff_med,plur_cond_eff,spat_med_entropy2,major_util_eff_avg,plur_cond_paradox,spat_avg_entropy2,spat_med_entropy5,prop_strict_min_govt_unstable,spat_agg_dist_corr,plur_gallagher_index,prop_qual_util_max_elec,tangian_raw_uni_parties,prop_qual_single_party_win,plur_util_from_max_avg,tangian_adj_uni_parties,spat_char_corr2,major_util_from_winner_avg,tangian_adj_uni_body,plur_qual_social_util,spat_med_entropy4,prop_qual_med_pos,prop_strict_min_govt_elec,prop_qual_unanimity_rate,plur_qual_nonzero_pos,prop_qual_winner_smith,plur_util_eff_avg,major_smith_eff,spat_avg_entropy5,prop_strict_elec_failed,prop_strict_winner_smith,plur_strict_nonzero_pos,major_strict_social_util,prop_qual_util_from_max,spat_char_corr3,plur_qual_med_pos,plur_strict_med_pos,prop_qual_cond_paradox,spat_avg_entropy4,major_qual_social_util,plur_util_from_winner_med,prop_strict_coalition_size,spat_avg_entropy1,prop_strict_condorcet_winner,prop_qual_min_govt_elec,tangian_raw_pop_parties,prop_strict_unanimity_rate,prop_strict_single_party_win,prop_strict_util_eff,tangian_raw_uni_body,plur_strict_social_util,prop_qual_unanimity,major_util_eff_med,major_util_from_winner_med,spat_char_corr1,plur_util_max_elec_rate,tangian_adj_pop_body,spat_avg_entropy3,major_gallagher_index
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","String7[""C2_1""]","String7[""D2_3""]","String7[""F2_2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[2.0],[4.4136590183221195e6],Bool[0],Bool[0],[0],[-0.044548419388373076],[2.1549015416178948e8],[0.0],[20],[1],[4.469074822987899e6],[0.6931089380465382],[0.307207856],[0.0027134699647603355],[0.9212660604396626],[4.459833055296494e6],[0.9387755102040817],[15],[0],[0.9906899737624761],[0.9896466893711329],[1.0986122881948446],[2.3390653733509895e8],[0.46],[1],Bool[0],[0],[4.469074822987899e6],[0.4072500000000001],[2.1549015416178948e8],[15],[1.6094379117396276],Bool[0],[0.76],[0.0],Bool[0],[0],[0.9992800026612674],[0.7551020408163265],[1.0986122881964244],[0.9906665397669053],[1],[1.0986122879580704],[0.6931471804264075],Bool[0],[0.004988632589398385],[0.0994470423089596],Bool[0],[0.255],Bool[1],[4.459833055296494e6],[0.255],[0.0035806801623105068],[4.418311892536707e6],[0.557],[3.926969130382794e6],[1.6094379117738393],[2.0],Bool[1],[0.4],[0],Bool[0],[0.9896462696504505],[0.94],[0.6931471801962207],Bool[0],Bool[0],[0],[3.926969130382794e6],[2.3390653733509895e8],[0.02248741934300182],[0.0],[0.0],Bool[0],[1.6094379116540853],[3.926969130382794e6],[4.41216775615799e6],[1],[1.09861228806591],Bool[0],Bool[1],[0.307207856],[0.4],Bool[1],[0.9212660604396626],[0.557],[3.926969130382794e6],[20],[0.9992800026612674],[4.413648167664189e6],[0.0223430342423171],[0.46],[0.40725],[1.6094379116195836],[0.11293801053675417]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String7[""C2_3""]","String7[""D2_1""]","String7[""F2_2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.644592039543674e6],Bool[0],Bool[0],[0],[0.0028760850453489538],[2.343697428858565e8],[0.0],[20],[1],[4.661476123071196e6],[0.009752292858605132],[0.43484530400000004],[0.03382172293854908],[0.9774413233357212],[4.662797327913373e6],[0.9591836734693877],[6],[0],[0.9962273691761052],[0.9960956294924692],[1.1452493566762114e-10],[2.397788361208437e8],[0.58],[1],Bool[0],[0],[4.661476123071196e6],[0.43237200000000003],[2.343697428858565e8],[6],[1.4144328559893087],Bool[0],[0.88],[0.0],Bool[0],[0],[1.0],[0.8775510204081632],[0.6139129054755221],[0.9962329422991616],[1],[0.6139116313120714],[0.6931471804527158],Bool[0],[-0.018479790925678988],[0.09885457610045173],Bool[0],[0.609],Bool[1],[4.662797327913373e6],[0.609],[-0.05117027937712534],[4.645206314988513e6],[0.602],[4.392099887773438e6],[1.2935372199878543],[0.0],Bool[1],[0.4],[0],Bool[0],[0.9960941964319946],[0.96],[0.6931471800318252],Bool[0],Bool[0],[0],[4.392099887773438e6],[2.397788361208437e8],[-0.06312762359268936],[0.0],[0.0],Bool[0],[1.2935369591309587],[4.392099887773438e6],[4.64617350856026e6],[1],[1.1452477482780853e-10],Bool[0],Bool[1],[0.4348453039999999],[0.4],Bool[1],[0.9774413233357212],[0.602],[4.392099887773438e6],[20],[1.0],[4.64617350856026e6],[-0.008136096021795667],[0.56],[0.43237200000000003],[1.4144326288087923],[0.08829443479631092]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_2""]","String7[""F2_2""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.462507720444424e6],Bool[0],Bool[0],[0],[0.20851761253832882],[2.3119519922675863e8],[0.0],[11],[2],[4.517150541194197e6],[0.08014854732071461],[0.39722735600000003],[0.3737399552247931],[1.0],[4.5105343317832e6],[0.94],[3],[0],[0.9900586105785085],[0.9893523454637383],[1.0520009905377607],[2.3516317932542935e8],[0.5],[0],Bool[0],[0],[4.517150541194197e6],[0.40337080000000003],[2.3516317932542935e8],[0],[1.3419887414846685],Bool[0],[0.72],[0.0],Bool[0],[0],[0.9997118551900706],[0.72],[0.8495917775226969],[0.9900633851296581],[0],[0.8605550212041073],[0.6802063408103405],Bool[0],[0.7727838406527522],[0.09412683562087912],Bool[1],[0.5270000000000001],Bool[0],[4.5105343317832e6],[0.5270000000000001],[0.6751402517050673],[4.465693353491936e6],[0.545],[3.8447074159931084e6],[1.2834758351828093],[0.0],Bool[1],[0.34],[0],Bool[0],[0.9893662892410976],[0.94],[0.6646712489067679],Bool[0],Bool[0],[0],[3.8447074159931084e6],[2.3516317932542935e8],[0.46670134000917596],[0.0],[0.0],Bool[0],[1.2742852200433017],[3.8447074159931084e6],[4.479088830001147e6],[2],[1.0459132240365272],Bool[0],Bool[1],[0.3972273559999999],[0.22],Bool[1],[0.9831266947910258],[0.545],[3.8447074159931084e6],[17],[0.9997118551900706],[4.4721950589979645e6],[0.3162565459228599],[0.5],[0.40337080000000003],[1.3221257124666062],[0.05822182738458147]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String7[""C2_3""]","String7[""D2_2""]","String7[""F2_1""]","String3[""L3""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.477708547482312e6],Bool[0],Bool[0],[0],[0.01348011942055572],[2.3111603266171616e8],[0.0],[10],[2],[4.48066601203406e6],[0.02736692990662656],[0.5000172719999999],[0.036222313820195966],[0.9734670987125431],[4.4809475899354275e6],[0.98],[10],[20],[0.9992539395714631],[0.9992771523459925],[1.8498351256775093e-10],[2.3741535072667396e8],[0.16],[0],Bool[0],[20],[4.48066601203406e6],[0.4999402],[2.3111603266171616e8],[10],[2.230901460677176e-10],Bool[0],[0.86],[0.0],Bool[0],[0],[0.9994899927065098],[0.86],[3.8499552001646546e-10],[0.9992541358122476],[0],[6.079350627201443e-10],[1.2434212134517398e-10],Bool[0],[0.20326272314310717],[0.1064068610569826],Bool[0],[0.55],Bool[1],[4.4809475899354275e6],[0.55],[0.162110519604494],[4.477604532256229e6],[0.485],[4.0900254317978406e6],[1.5655686506520357e-10],[0.0],Bool[1],[0.2],[20],Bool[0],[0.9992773677536536],[0.98],[2.1691137659223273e-10],Bool[0],Bool[0],[20],[4.126187534304425e6],[2.3741535072667396e8],[0.15061430219619945],[0.0],[0.0],Bool[0],[2.68305220853138e-10],[4.126187534304425e6],[4.477612432137549e6],[2],[2.6529104386154085e-10],Bool[0],Bool[1],[0.5000172719999999],[0.2],Bool[1],[0.9734670987125431],[0.485],[4.0900254317978406e6],[10],[0.9994085880115615],[4.4773585014058035e6],[0.08620316207037472],[0.22],[0.4999402],[3.1651959454009654e-10],[0.11064257806107015]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String7[""C2_3""]","String7[""D2_2""]","String7[""F2_1""]","String3[""L3""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[-1.0],[4.486006895197932e6],Bool[0],Bool[0],[0],[0.14939348507937245],[2.314186183446297e8],[2.0],[12],[2],[4.48965990642244e6],[0.04925674353832175],[0.499994776],[-0.02485690193284875],[0.9731481516003962],[4.489172618796034e6],[0.94],[12],[20],[0.9992892016464147],[0.9992948091180884],[1.907817102272035e-10],[2.3780409793107957e8],[0.16],[0],Bool[0],[20],[4.48965990642244e6],[0.49974360000000007],[2.314186183446297e8],[12],[1.1691918048411615e-10],Bool[0],[0.8],[2.0],Bool[0],[0],[0.9995369328828854],[0.8],[8.633007505727945e-11],[0.9992894569436634],[0],[1.3223725490614318e-10],[1.1549477088067187e-10],Bool[0],[0.0327246969362048],[0.14579652528095446],Bool[0],[0.527],Bool[1],[4.489172618796034e6],[0.527],[-0.004859378446453538],[4.485981722289633e6],[0.48599999999999993],[4.18269824016305e6],[1.4361764784674003e-10],[-1.0],Bool[1],[0.24],[20],Bool[0],[0.9992950955396221],[0.94],[4.230607077985676e-10],Bool[0],Bool[0],[20],[4.1435247243159325e6],[2.3780409793107957e8],[0.16899874014749705],[2.0],[2.0],Bool[0],[1.878401139626098e-10],[4.1435247243159325e6],[4.48637108602988e6],[2],[3.5006446311051937e-10],Bool[0],Bool[1],[0.499994776],[0.24],Bool[1],[0.9731481516003962],[0.48599999999999993],[4.18269824016305e6],[12],[0.9994908723240301],[4.48637108602988e6],[-0.03631939044318532],[0.18],[0.49974360000000007],[1.8657722877432164e-10],[0.16261877746435066]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","String7[""C2_1""]","String7[""D2_3""]","String7[""F2_2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.39524132742058e6],Bool[0],Bool[0],[0],[0.08753665549777771],[2.160983365006078e8],[0.0],[20],[1],[4.440872933297792e6],[0.6931089380465382],[0.38953738000000004],[0.0018212250541946543],[0.9441878990105597],[4.447852043530612e6],[0.98],[10],[0],[0.9896948635074937],[0.9881716577810734],[1.098612288336453],[2.288721733534852e8],[0.44],[0],Bool[0],[0],[4.440872933297792e6],[0.402762],[2.160983365006078e8],[10],[1.609437911841134],Bool[0],[0.8],[0.0],Bool[0],[0],[0.9943135867718836],[0.8],[1.0986122881373566],[0.9896956913817044],[0],[1.0986122879845615],[0.6931471803535463],Bool[0],[-0.02749472890568889],[0.12143039415237025],Bool[0],[0.503],Bool[1],[4.447852043530612e6],[0.503],[-0.05588443115174954],[4.402016321123556e6],[0.5429999999999999],[3.912278821910398e6],[1.6094379116110273],[0.0],Bool[1],[0.4],[0],Bool[0],[0.9882052780776905],[0.98],[0.6931471802225754],Bool[0],Bool[0],[0],[3.912278821910398e6],[2.288721733534852e8],[-0.051804716931732435],[0.0],[0.0],Bool[0],[1.6094379114816966],[3.912278821910398e6],[4.394083089959604e6],[1],[1.098612288032086],Bool[0],Bool[1],[0.38953737999999993],[0.4],Bool[1],[0.9441878990105597],[0.5429999999999999],[3.912278821910398e6],[20],[0.9943135867718836],[4.407957257028511e6],[-0.037914123446570934],[0.44],[0.402762],[1.6094379117194961],[0.08679205392200368]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String7[""C2_3""]","String7[""D2_1""]","String7[""F2_2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.6508420956937345e6],Bool[0],Bool[0],[0],[0.09598377959204914],[2.3814847200899446e8],[0.0],[11],[2],[4.664848517815666e6],[0.013239379441650594],[0.42676884400000004],[-0.10313631948949151],[0.9879589991993795],[4.6683087202508915e6],[1.0],[1],[0],[0.9962768414084587],[0.9962584684081865],[1.1452291002604631e-10],[2.391095661313175e8],[0.52],[0],Bool[0],[0],[4.664848517815666e6],[0.42226740000000007],[2.3623044765409428e8],[3],[1.58465212596976],Bool[0],[0.88],[0.0],Bool[0],[0],[1.0],[0.88],[0.6245278496330176],[0.9962730390847586],[0],[0.624526585414229],[0.6931471804651588],Bool[0],[-0.0009521320319414407],[0.08403809355286448],Bool[0],[0.588],Bool[0],[4.6683087202508915e6],[0.588],[-0.09204813726645943],[4.6509278665311225e6],[0.5740000000000001],[4.254653167336801e6],[1.4477566672829423],[0.0],Bool[1],[0.4],[0],Bool[0],[0.9962543084900062],[1.0],[0.6931471803253615],Bool[0],Bool[0],[0],[4.254653167336801e6],[2.391095661313175e8],[0.023085804023617457],[0.0],[0.0],Bool[0],[1.4477555219835987],[4.254653167336801e6],[4.658730319725818e6],[2],[1.1452272694257525e-10],Bool[0],Bool[1],[0.42676884400000004],[0.22],Bool[1],[0.9959805283499398],[0.5740000000000001],[4.254653167336801e6],[20],[1.0],[4.652778125524185e6],[0.02465507306193761],[0.54],[0.4222673999999999],[1.5846510193091055],[0.07766750393826238]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_2""]","String7[""F2_2""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.4048363084016e6],Bool[0],Bool[0],[2],[0.5184598328440285],[2.3038796630678332e8],[0.0],[9],[2],[4.4565229482888635e6],[0.12562740242346207],[0.366097948],[0.5985648477457989],[0.9882530961645561],[4.455847329259481e6],[0.92],[3],[0],[0.9896367354257346],[0.9885518921344286],[0.9960436496438053],[2.3452949379540348e8],[0.52],[0],Bool[0],[0],[4.4565229482888635e6],[0.40118580000000004],[2.3177449838521355e8],[2],[1.3916913062761722],Bool[0],[0.72],[0.0],Bool[0],[0],[0.9942591538060351],[0.72],[0.6685848392113064],[0.989653892855376],[0],[0.6748524010301893],[0.6166287398746844],Bool[0],[0.8485698078325457],[0.0849093798352102],Bool[0],[0.433],Bool[0],[4.455847329259481e6],[0.433],[0.5570679595168914],[4.409670204483831e6],[0.5379999999999999],[3.9392176015253477e6],[1.4068372784447334],[0.0],Bool[1],[0.32],[0],Bool[0],[0.9885897092309688],[0.92],[0.6236638026339252],Bool[0],Bool[0],[0],[3.9392176015253477e6],[2.3452949379540348e8],[0.6018209823494446],[0.0],[0.0],Bool[0],[1.4109283002154926],[3.9392176015253477e6],[4.414488482986998e6],[2],[0.9913212892549658],Bool[0],Bool[1],[0.36609794800000006],[0.18],Bool[0],[0.9823411229794701],[0.5379999999999999],[3.9392176015253477e6],[16],[1.0],[4.413941026411469e6],[0.7391852599757304],[0.48],[0.4011857999999999],[1.3789440382500215],[0.10231013040750168]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String7[""C2_3""]","String7[""D2_2""]","String7[""F2_1""]","String3[""L3""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.413563954147062e6],Bool[0],Bool[0],[3],[0.03566492930863603],[2.3098351036427897e8],[-2.0],[8],[3],[4.416912862854274e6],[0.006029150520595746],[0.49999679999999996],[-0.03918310061338643],[0.9798151548964478],[4.416802203722111e6],[1.0],[8],[20],[0.9992183493778248],[0.9992668339161034],[3.825677525418014e-11],[2.3574192459667617e8],[0.28],[0],Bool[0],[20],[4.416912862854274e6],[0.5001494],[2.3098351036427897e8],[8],[1.4887218815043869e-10],Bool[0],[0.96],[-2.0],Bool[0],[3],[0.9995513713946942],[0.96],[2.399927720574401e-10],[0.99921890592059],[0],[4.3481891549159616e-10],[7.852450689024857e-11],Bool[0],[0.31861646044001596],[0.14987364897139188],Bool[0],[0.47600000000000003],Bool[0],[4.416802203722111e6],[0.47600000000000003],[0.11736429182402384],[4.413349807531547e6],[0.517],[4.138338514471883e6],[2.4727876725418605e-10],[0.0],Bool[1],[0.16],[20],Bool[0],[0.9992673578938145],[1.0],[2.4679029098378967e-10],Bool[0],Bool[0],[20],[4.230802735076095e6],[2.3574192459667617e8],[0.34896783949564175],[-2.0],[-2.0],Bool[0],[3.1254182732805207e-10],[4.230802735076095e6],[4.413283323573783e6],[3],[7.522316618624201e-11],Bool[0],Bool[1],[0.49999679999999996],[0.16],Bool[0],[0.9798151548964478],[0.517],[4.138338514471883e6],[8],[0.9995374304908445],[4.413121637862404e6],[0.0770174960702529],[0.32],[0.5001494],[3.828760727206183e-10],[0.1514815852042749]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","String7[""C2_1""]","String7[""D2_3""]","String7[""F2_2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.445812996546713e6],Bool[0],Bool[0],[0],[0.007599794812626352],[2.1369327608527756e8],[0.0],[20],[1],[4.4844281177905835e6],[0.6931089380465382],[0.3225407880000001],[-0.009941753870726874],[0.9251777575071933],[4.489741975388054e6],[0.96],[14],[0],[0.9931200617950983],[0.9902157007948003],[1.0986122882571676],[2.309753713286996e8],[0.56],[0],Bool[0],[0],[4.4844281177905835e6],[0.40916800000000003],[2.1369327608527756e8],[14],[1.6094379118866713],Bool[0],[0.86],[0.0],Bool[0],[0],[0.9996038150183578],[0.86],[1.0986122883353202],[0.9931166612889913],[0],[1.0986122881971447],[0.6931471803027717],Bool[0],[-0.019460513029551055],[0.12455445825822539],Bool[0],[0.3],Bool[1],[4.489741975388054e6],[0.3],[-0.017976069254962375],[4.458852828041431e6],[0.5619999999999999],[3.941073470626306e6],[1.6094379117404292],[0.0],Bool[1],[0.4],[0],Bool[0],[0.990223334186171],[0.96],[0.6931471800245121],Bool[0],Bool[0],[0],[3.941073470626306e6],[2.309753713286996e8],[0.011962103546689548],[0.0],[0.0],Bool[0],[1.6094379116127322],[3.941073470626306e6],[4.446989706099186e6],[1],[1.0986122880273832],Bool[0],Bool[1],[0.3225407880000001],[0.4],Bool[1],[0.9251777575071933],[0.5619999999999999],[3.941073470626306e6],[20],[1.0],[4.469964684184015e6],[-0.03165591772254692],[0.48],[0.409168],[1.6094379117353597],[0.16450037407860202]
